stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,2,72,0.8,0,0.0,0,2,36.0,0,2.0,0,0,0,0.0,0.1,1.6,-1.5,-1.87
,,2,180,2.0,2,90.0,2,0,0.0,0,2.0,2,1,1,0.5,3.1,2.5,0.7,0.34
,,2,69,0.8,1,45.0,0,1,24.0,0,2.0,2,0,2,2.61,0.7,0.5,0.3,0.35
,,1,90,1.0,1,90.0,1,0,0.0,2,1.0,0,0,0,0.0,1.0,0.9,0.0,0.03
,,1,27,0.3,0,0.0,0,1,27.0,0,0.0,0,0,0,0.0,0.0,0.2,-0.2,-0.63
,,4,335,3.7,4,84.0,3,0,0.0,0,2.0,6,0,6,1.61,3.6,1.2,2.5,0.67
,,4,336,3.7,4,84.0,1,0,0.0,0,1.75,6,6,0,0.0,5.4,3.4,2.0,0.53
,,3,142,1.6,1,68.0,0,2,37.0,0,0.67,1,1,0,0.0,2.4,1.9,0.5,0.31
,,4,360,4.0,4,90.0,4,0,0.0,0,2.25,9,4,5,1.25,7.5,5.1,2.4,0.6
,,4,358,4.0,4,90.0,3,0,0.0,0,0.25,1,8,-7,-1.76,2.3,6.4,-4.1,-1.03
,,1,21,0.2,0,0.0,0,1,21.0,1,0.0,0,0,0,0.0,1.2,0.3,0.9,3.91
,,2,99,1.1,1,70.0,0,1,29.0,0,2.0,1,1,0,0.0,1.5,1.3,0.2,0.15
,,4,324,3.6,4,81.0,2,0,0.0,0,2.0,5,1,4,1.11,4.8,6.7,-1.9,-0.53
,,4,315,3.5,4,79.0,3,0,0.0,0,0.5,1,6,-5,-1.43,3.4,5.7,-2.3,-0.66
,,4,257,2.9,3,79.0,1,1,21.0,0,1.5,5,6,-1,-0.35,6.4,4.1,2.3,0.8
,,2,40,0.4,0,0.0,0,2,20.0,2,3.0,2,1,1,2.25,1.6,0.8,0.8,1.78
,,2,99,1.1,1,90.0,1,1,9.0,2,2.0,1,0,1,0.91,1.0,1.7,-0.8,-0.71
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,12,0.1,0,0.0,0,1,12.0,1,3.0,0,0,0,0.0,0.1,0.0,0.1,0.87
,,1,35,0.4,0,0.0,0,1,35.0,2,1.0,1,1,0,0.0,1.0,0.2,0.8,1.97
,,1,32,0.4,0,0.0,0,1,32.0,1,0.0,0,3,-3,-8.44,0.3,1.1,-0.7,-2.04
,,3,181,2.0,2,76.0,1,1,29.0,0,0.67,3,2,1,0.5,0.8,3.1,-2.2,-1.11
