stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.6,223,6,38,73,114,16,223,0,0,0.0,0,0.0,116,512.0,301.0,4,6,1,2,1,149,33
,,4.0,248,29,110,125,14,3,248,1,1,100.0,0,0.0,123,724.0,360.0,3,4,0,1,0,152,5
,,4.0,241,9,58,107,81,10,241,22,7,31.8,8,36.4,143,1139.0,683.0,20,15,3,10,5,146,25
,,2.5,93,1,16,42,38,8,93,6,1,16.7,2,33.3,67,490.0,246.0,7,5,4,4,5,74,10
,,2.7,150,15,62,83,6,3,150,2,1,50.0,1,50.0,71,280.0,169.0,0,1,0,0,0,93,0
,,0.7,32,1,12,17,4,0,32,0,0,0.0,0,0.0,24,132.0,89.0,2,1,0,1,2,27,2
,,3.8,79,2,5,31,43,20,79,1,1,100.0,0,0.0,46,184.0,31.0,1,2,0,10,1,65,20
,,2.9,153,4,29,92,37,0,153,2,2,100.0,0,0.0,80,434.0,173.0,2,4,0,3,4,85,4
,,0.9,46,0,7,21,20,3,46,3,0,0.0,3,100.0,20,102.0,48.0,1,1,0,1,0,29,4
,,3.7,173,5,33,118,29,1,173,7,3,42.9,4,57.1,95,506.0,237.0,3,7,0,5,4,105,5
,,2.3,140,1,12,49,79,11,140,5,1,20.0,3,60.0,88,438.0,137.0,3,1,2,10,5,99,16
,,3.9,225,7,49,119,59,7,225,6,1,16.7,3,50.0,139,554.0,208.0,0,4,1,7,6,178,7
,,4.0,163,12,53,56,56,8,163,3,1,33.3,2,66.7,70,445.0,277.0,9,8,1,1,6,75,20
,,0.3,14,1,1,3,10,1,14,0,0,0.0,0,0.0,9,45.0,25.0,0,1,0,4,0,11,5
,,1.2,52,1,5,29,18,2,52,2,1,50.0,1,50.0,20,106.0,63.0,2,1,0,1,0,35,3
,,0.3,13,0,2,1,11,3,13,1,1,100.0,0,0.0,9,138.0,100.0,5,1,2,2,2,10,4
,,1.5,37,1,4,13,21,6,37,3,2,66.7,1,33.3,20,82.0,49.0,1,0,0,3,4,25,10
