stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,4.0,164,150,14,5,0,0,0,0,0,0,0,0,150,0,0
,,0.2,19,18,1,1,0,0,0,0,0,0,0,0,16,0,0
,,2.9,74,68,6,2,0,1,7,0,2,2,0,0,47,0,2
,,3.0,77,74,2,2,1,0,1,0,0,0,0,0,56,1,4
,,1.9,93,90,3,2,0,1,0,1,0,0,0,0,83,0,1
,,3.3,99,90,9,0,1,2,8,3,6,1,0,0,79,0,1
,,4.0,253,238,15,8,0,0,3,6,0,0,0,0,219,0,3
,,2.3,137,128,8,5,0,2,2,0,1,0,0,0,109,1,1
,,0.1,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
,,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
,,4.0,253,236,16,7,0,0,0,1,0,0,0,0,227,1,0
,,3.8,171,148,23,6,2,0,21,1,16,1,15,0,126,0,1
,,4.0,183,128,55,14,0,0,40,31,10,2,8,0,123,0,2
,,2.5,48,44,4,1,0,1,0,0,0,0,0,0,36,0,1
,,1.9,121,113,7,4,0,2,0,3,0,0,0,0,100,1,0
,,2.4,149,121,28,3,0,0,5,25,0,0,0,0,136,0,1
,,4.0,236,220,16,7,0,0,3,7,0,0,0,0,208,0,1
,,1.5,90,87,3,2,0,1,4,1,0,0,0,0,73,0,2
,,3.7,137,110,26,0,1,0,7,26,0,0,0,0,107,1,5
,,2.5,76,76,0,0,0,0,4,0,0,0,0,0,64,0,0
,,0.3,19,18,0,0,0,0,0,0,0,0,0,0,13,1,0
,,0.2,12,12,0,0,0,0,1,0,0,0,0,0,9,0,0
,,4.0,110,70,40,9,0,0,0,0,0,0,0,0,79,0,0
,,2.9,55,52,3,0,0,1,4,2,0,0,0,0,40,0,0
,,3.2,76,71,5,2,1,1,2,1,2,0,0,1,60,0,0
,,4.0,185,128,56,11,0,0,0,0,0,0,0,0,128,1,0
,,2.7,192,179,13,10,0,0,0,1,0,0,0,0,156,0,0
,,2.4,210,162,48,9,0,2,22,31,8,1,7,0,166,0,3
,,3.3,191,188,2,1,1,0,1,1,0,0,0,0,161,1,3
,,4.0,113,73,39,10,0,2,0,0,0,0,0,0,57,1,0
,,0.6,10,9,1,0,0,1,0,0,0,0,0,0,8,0,0
,,4.0,208,169,39,7,0,2,8,32,0,0,0,0,171,0,2
,,2.0,63,59,4,1,0,0,2,3,0,0,0,0,51,0,3
,,2.4,140,135,5,2,1,2,9,0,3,0,3,0,106,0,5
,,1.4,22,19,3,0,0,0,0,0,0,0,0,0,14,0,1
,,1.5,53,52,1,0,0,0,5,1,0,0,0,0,35,0,3
,,1.4,97,95,2,1,0,1,2,1,0,0,0,0,90,0,0
,,1.0,33,17,16,2,0,0,0,0,0,0,0,0,17,0,0
,,0.4,10,8,2,0,0,0,1,0,0,0,0,0,8,0,0
,,4.0,255,238,17,4,0,1,0,1,0,0,0,0,244,0,1
,,1.1,34,34,0,0,0,0,0,0,0,0,0,0,31,0,1
,,1.8,64,62,2,0,2,2,6,2,0,0,0,0,42,0,3
,,0.4,25,23,2,0,1,0,6,0,2,1,1,0,21,0,0
,,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
,,1.7,78,69,9,6,0,3,3,0,2,1,0,0,61,0,1
,,1.6,56,56,0,0,1,0,7,0,0,0,0,0,39,0,3
,,0.1,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0
,,1.6,59,56,3,1,2,1,3,1,1,0,0,0,45,0,1
,,2.1,39,32,7,0,0,0,7,1,0,0,0,0,28,0,1
,,4.0,119,91,27,8,0,0,0,0,0,0,0,0,85,1,1
,,2.2,105,88,16,2,0,1,3,14,0,0,0,0,84,1,4
,,2.6,40,36,4,1,1,0,8,0,3,2,0,0,30,0,0
,,3.1,98,94,4,1,1,2,12,0,3,3,0,0,62,0,3
,,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
,,0.8,29,20,8,1,0,0,9,1,6,3,2,0,16,1,0
,,0.4,22,17,5,2,0,0,5,3,0,0,0,0,15,0,1
,,0.7,42,42,0,0,0,0,0,0,0,0,0,0,40,0,0
,,1.3,49,44,5,2,0,1,0,3,0,0,0,0,42,0,2
,,3.2,185,182,3,2,0,1,1,0,0,0,0,0,167,0,0
,,1.5,104,98,4,4,0,0,2,0,0,0,0,0,91,2,0
,,3.0,208,196,12,9,0,1,3,3,0,0,0,0,194,0,1
,,3.0,237,226,11,3,0,0,0,0,0,0,0,0,206,0,3
,,0.6,20,19,1,0,0,0,0,0,0,0,0,0,11,0,1
,,2.4,63,60,3,2,0,2,3,1,0,0,0,0,47,0,2
,,1.7,61,57,3,1,2,0,5,0,2,0,2,0,49,1,3
,,0.8,24,19,5,0,0,0,3,5,0,0,0,0,17,0,2
,,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
,,0.6,12,12,0,0,0,0,1,0,0,0,0,0,8,0,4
,,3.2,118,100,17,10,0,0,11,2,5,3,2,0,95,1,2
,,1.9,48,38,10,1,0,1,2,9,0,0,0,0,35,0,1
,,2.0,60,51,9,7,0,2,0,0,0,0,0,0,49,0,1
,,1.0,40,36,4,1,0,0,0,0,0,0,0,0,31,0,0
,,2.5,142,136,6,5,0,0,1,1,0,0,0,0,125,0,2
,,3.5,178,168,9,7,0,0,1,0,0,0,0,0,157,1,1
,,2.0,46,43,3,0,0,1,1,0,0,0,0,0,27,0,2
,,3.5,122,80,42,6,0,0,18,30,6,2,3,0,69,0,3
,,3.6,49,44,4,0,0,0,2,0,0,0,0,0,38,1,2
,,0.9,20,18,2,0,0,0,3,0,2,0,2,0,15,0,0
,,1.1,28,25,3,0,0,0,0,2,0,0,0,0,22,0,2
,,2.8,120,113,7,3,0,0,6,0,4,3,1,0,103,0,0
,,2.7,35,31,4,0,0,1,1,0,0,0,0,0,27,0,2
,,1.5,50,50,0,0,1,0,1,0,0,0,0,0,44,0,1
,,2.0,68,46,22,6,0,0,0,1,0,0,0,0,52,0,0
,,1.0,33,31,1,0,0,0,0,1,0,0,0,0,30,1,0
,,1.7,36,31,5,0,0,0,0,0,0,0,0,0,22,0,1
,,3.6,149,130,18,4,0,6,29,4,9,5,1,0,100,1,5
,,1.0,51,50,1,1,0,0,0,0,0,0,0,0,44,0,1
,,4.0,303,240,61,13,0,3,14,48,0,0,0,0,249,2,7
,,1.9,86,82,4,3,0,0,2,1,0,0,0,0,64,0,1
,,4.0,137,123,13,6,0,1,0,0,0,0,0,0,106,1,1
,,3.6,165,149,16,1,2,1,27,3,12,10,1,0,129,0,5
,,1.8,93,86,7,4,1,0,6,0,0,0,0,0,78,0,1
,,0.7,17,16,1,0,1,0,1,0,0,0,0,0,11,0,0
,,3.8,195,190,4,4,0,0,1,0,0,0,0,0,161,1,2
,,2.9,161,151,9,7,0,0,0,2,0,0,0,0,138,1,2
,,2.1,76,61,15,3,1,0,11,1,7,3,3,0,51,0,6
,,0.7,28,27,1,0,0,0,4,0,1,0,1,0,18,0,2
,,2.8,148,142,5,5,2,0,1,0,0,0,0,0,133,1,0
,,3.0,92,80,12,5,0,0,0,0,0,0,0,0,64,0,0
,,3.4,56,51,5,0,0,0,2,0,0,0,0,0,45,0,1
,,3.7,134,126,8,7,2,0,1,1,0,0,0,0,122,0,2
,,1.2,61,60,1,1,0,0,1,0,0,0,0,0,55,0,1
,,1.5,80,75,5,3,0,0,3,0,2,1,1,0,72,0,0
,,4.0,272,248,23,7,0,0,0,0,0,0,0,0,251,1,0
,,4.0,230,213,17,11,0,1,3,6,0,0,0,0,195,0,1
,,0.2,20,17,3,0,0,0,0,3,0,0,0,0,18,0,0
,,2.6,192,184,8,1,1,1,5,1,3,1,2,0,172,0,2
,,4.0,211,191,20,17,0,1,0,2,0,0,0,0,188,0,0
,,3.8,229,201,27,1,0,1,12,22,4,0,1,0,193,1,7
,,2.6,101,78,22,1,0,1,17,21,0,0,0,0,59,1,1
,,1.2,48,43,5,0,0,0,2,5,0,0,0,0,40,0,1
,,1.0,78,64,13,2,0,0,10,7,4,2,1,0,66,1,0
,,0.6,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
,,1.0,47,39,8,1,0,1,2,7,0,0,0,0,39,0,2
,,1.3,61,55,6,0,0,2,8,1,5,3,1,0,46,0,0
,,1.0,20,19,1,0,0,0,0,0,0,0,0,0,12,0,1
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,2.3,135,119,15,2,0,0,4,13,0,0,0,0,122,1,1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.0,29,28,1,1,0,0,0,0,0,0,0,0,28,0,0
,,4.0,118,84,32,8,0,0,0,0,0,0,0,0,94,2,0
,,0.2,8,7,1,1,0,0,0,0,0,0,0,0,4,0,2
,,0.7,21,14,7,0,0,0,1,7,0,0,0,0,16,0,0
,,0.4,14,13,1,0,0,0,1,0,0,0,0,0,11,0,2
,,1.3,32,31,1,0,0,0,0,0,0,0,0,0,22,0,1
,,4.0,142,118,24,5,0,0,0,0,0,0,0,0,126,0,0
,,3.2,107,106,1,1,0,0,1,0,0,0,0,0,90,0,2
,,1.6,26,26,0,0,0,2,0,0,0,0,0,0,16,0,0
,,4.0,143,121,19,4,0,0,0,0,0,0,0,0,127,3,0
,,1.3,52,44,7,0,0,0,7,7,0,0,0,0,39,1,0
,,0.6,22,22,0,0,1,0,4,0,0,0,0,0,15,0,1
,,2.5,126,114,12,2,0,1,13,9,1,1,0,0,102,0,2
,,1.9,74,54,20,0,2,0,3,20,0,0,0,0,54,0,2
