Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
89,Pedro Chirivella,es ESP,MF,Nantes,27-130,1997,5.8,8,8,5,3,0,5,8,62.5,3,2,0,2,1,9,14,0,Matches
90,Joris Chotard,fr FRA,MF,Montpellier,23-006,2001,2.4,6,3,1,5,0,3,5,60.0,2,3,0,3,1,7,2,0,Matches
91,Jonathan Clauss,fr FRA,"MF,DF",Nice,32-005,1992,5.0,19,14,9,9,1,10,15,66.7,5,5,1,4,7,26,13,0,Matches
92,Marcus Coco,fr FRA,DF,Nantes,28-098,1996,3.1,11,11,5,4,2,6,11,54.5,5,5,2,3,2,13,8,0,Matches
93,Derek Cornelius,ca CAN,DF,Marseille,26-310,1997,3.8,5,3,3,2,0,4,5,80.0,1,4,1,3,3,8,18,0,Matches
94,Pierre Cornud,fr FRA,DF,Saint-Étienne,27-293,1996,2.3,3,3,2,0,1,3,4,75.0,1,3,1,2,3,6,10,1,Matches
95,David Costa,pt POR,MF,Lens,23-269,2001,1.5,1,0,0,1,0,1,2,50.0,1,4,1,3,1,2,0,0,Matches
96,Logan Costa,cv CPV,DF,Toulouse,23-182,2001,1.0,2,1,0,2,0,1,1,100.0,0,2,2,0,2,4,4,0,Matches
97,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,21-347,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
98,Soumaïla Coulibaly,fr FRA,DF,Brest,20-352,2003,1.2,1,1,0,1,0,0,0,,0,3,1,2,3,4,8,0,Matches
99,Tanguy Coulibaly,fr FRA,FW,Montpellier,23-225,2001,3.2,5,4,2,3,0,2,7,28.6,5,3,0,3,2,7,0,0,Matches
100,Nicolas Cozza,fr FRA,DF,Nantes,25-266,1999,1.3,6,5,2,3,1,5,6,83.3,1,0,0,0,1,7,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Charlie Cresswell,eng ENG,DF,Toulouse,22-044,2002,3.6,8,2,2,6,0,7,12,58.3,5,3,2,1,5,13,16,1,Matches
