Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
75,Teddy Boulhendi,fr FRA,GK,Nice,23-174,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Ismaïl Bouneb,fr FRA,MF,Le Havre,18-115,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
77,Benjamin Bourigeaud,fr FRA,MF,Rennes,30-260,1994,1,80,80,14.8,0.9,1,80,0,0,,0,3.00,2,0,+2,+2.25,+2.45,1.9,1.9,0.0,+0.02,+0.06,Matches
78,Bilal Brahimi,dz ALG,MF,Nice,24-200,2000,2,76,38,14.1,0.8,1,63,0,1,13,1,0.50,1,1,0,0.00,-1.55,0.7,1.9,-1.2,-1.42,-2.57,Matches
79,Lilian Brassier,fr FRA,DF,Marseille,24-333,1999,5,442,88,81.9,4.9,5,88,4,0,,0,2.00,10,6,+4,+0.81,-2.86,5.7,8.0,-2.2,-0.46,-1.48,Matches
80,Vincent Burlet,be BEL,DF,Lille,19-007,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
81,Maxime Busi,be BEL,DF,Reims,24-352,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
82,Aurélio Buta,pt POR,DF,Reims,27-233,1997,4,333,83,61.7,3.7,4,83,2,0,,0,2.50,7,3,+4,+1.08,+1.95,4.2,4.4,-0.2,-0.06,+1.61,Matches
83,Ludovic Butelle,fr FRA,GK,Reims,41-180,1983,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
