Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Jaydee Canvot,fr FRA,DF,Toulouse,18-063,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Pierrick Capelle,fr FRA,MF,Angers,37-168,1987,2.0,0,1,0,0.0,0.49,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
78,Maxence Caqueret,fr FRA,MF,Lyon,24-228,2000,5.1,0,4,0,0.0,0.79,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
79,Valentin Carboni,ar ARG,"MF,FW",Marseille,19-209,2005,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,17.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
80,Josué Casimir,fr FRA,"FW,DF",Le Havre,23-006,2001,4.5,0,5,1,20.0,1.11,0.22,0.00,0.00,15.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
81,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-254,2000,4.7,0,5,1,20.0,1.05,0.21,0.00,0.00,22.5,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
82,Jean-Charles Castelletto,cm CMR,DF,Nantes,29-248,1995,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,20.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
83,Brendan Chardonnet,fr FRA,DF,Brest,29-283,1994,5.0,0,4,0,0.0,0.80,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
84,Jhoanner Chávez,ec ECU,DF,Lens,22-158,2002,3.4,1,2,1,50.0,0.60,0.30,0.50,1.00,12.0,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
85,Théo Chennahi,fr FRA,DF,Montpellier,19-237,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Sidiki Cherif,fr FRA,FW,Angers,17-290,2006,3.1,0,4,2,50.0,1.28,0.64,0.00,0.00,21.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
87,Rayan Cherki,fr FRA,MF,Lyon,21-044,2003,0.5,1,2,1,50.0,3.91,1.96,0.50,1.00,6.9,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches
88,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Pedro Chirivella,es ESP,MF,Nantes,27-130,1997,5.8,0,1,0,0.0,0.17,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
90,Joris Chotard,fr FRA,MF,Montpellier,23-006,2001,2.4,0,1,0,0.0,0.41,0.00,0.00,,27.4,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
91,Jonathan Clauss,fr FRA,"MF,DF",Nice,32-005,1992,5.0,1,7,2,28.6,1.41,0.40,0.14,0.50,21.0,2,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
92,Marcus Coco,fr FRA,DF,Nantes,28-098,1996,3.1,0,1,0,0.0,0.32,0.00,0.00,,27.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
93,Derek Cornelius,ca CAN,DF,Marseille,26-310,1997,3.8,0,1,0,0.0,0.26,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
94,Pierre Cornud,fr FRA,DF,Saint-Étienne,27-293,1996,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,David Costa,pt POR,MF,Lens,23-269,2001,1.5,0,3,1,33.3,2.01,0.67,0.00,0.00,19.6,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
96,Logan Costa,cv CPV,DF,Toulouse,23-182,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,21-347,2002,0.4,1,2,1,50.0,4.74,2.37,0.50,1.00,11.8,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches
98,Soumaïla Coulibaly,fr FRA,DF,Brest,20-352,2003,1.2,0,1,0,0.0,0.84,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
99,Tanguy Coulibaly,fr FRA,FW,Montpellier,23-225,2001,3.2,0,4,1,25.0,1.27,0.32,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
100,Nicolas Cozza,fr FRA,DF,Nantes,25-266,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Charlie Cresswell,eng ENG,DF,Toulouse,22-044,2002,3.6,0,4,1,25.0,1.10,0.27,0.00,0.00,8.2,0,0,0,0.9,0.9,0.22,-0.9,-0.9,Matches
102,Kévin Danois,fr FRA,"MF,DF",Auxerre,20-094,2004,2.5,0,3,0,0.0,1.22,0.00,0.00,,13.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
103,Kevin Danso,at AUT,DF,Lens,26-011,1998,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,12.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
104,Dante,br BRA,DF,Nice,40-348,1983,5.3,0,1,0,0.0,0.19,0.00,0.00,,10.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
105,Pape Daouda Diongue,sn SEN,MF,Strasbourg,,,0.5,0,4,1,25.0,8.00,2.00,0.00,0.00,14.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
106,Mohammed Daramy,dk DEN,FW,Reims,22-267,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Jonathan David,ca CAN,FW,Lille,24-260,2000,4.1,5,11,7,63.6,2.65,1.69,0.36,0.57,13.6,0,1,1,2.9,2.1,0.19,+2.1,+1.9,Matches
