Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
56,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,6,6,504,5.6,2,2,4,2,0,0,1,0,1.8,1.8,0.9,2.7,18,21,41,0.36,0.36,0.71,0.36,0.71,0.32,0.16,0.48,0.32,0.48,Matches
57,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
58,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,3,2,171,1.9,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,12,4,12,0.00,0.53,0.53,0.00,0.53,0.16,0.19,0.36,0.16,0.36,Matches
59,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,4,4,334,3.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,5,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,6,2,257,2.9,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,9,9,19,0.00,0.00,0.00,0.00,0.00,0.26,0.10,0.35,0.26,0.35,Matches
62,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22-322,2001,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Hicham Boudaoui,dz ALG,MF,Nice,25-007,1999,4,4,359,4.0,1,1,2,1,0,0,1,0,0.4,0.4,0.5,0.9,10,24,10,0.25,0.25,0.50,0.25,0.50,0.11,0.12,0.23,0.11,0.23,Matches
64,Benjamin Bourigeaud,fr FRA,MF,Rennes,30-260,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17,Matches
65,Bilal Brahimi,dz ALG,MF,Nice,24-200,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
66,Lilian Brassier,fr FRA,DF,Marseille,24-333,1999,5,5,442,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,6,17,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
67,Aurélio Buta,pt POR,DF,Reims,27-233,1997,4,4,333,3.7,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.2,3,9,9,0.00,0.27,0.27,0.00,0.27,0.01,0.04,0.05,0.01,0.05,Matches
68,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Rémy Cabella,fr FRA,"MF,FW",Lille,34-206,1990,6,3,260,2.9,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.6,11,17,33,0.00,0.35,0.35,0.00,0.35,0.26,0.30,0.56,0.26,0.56,Matches
70,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27-189,1997,6,5,397,4.4,1,0,1,1,0,0,2,0,0.8,0.8,0.3,1.1,9,7,30,0.23,0.00,0.23,0.23,0.23,0.19,0.07,0.26,0.19,0.26,Matches
71,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-013,1996,6,6,539,6.0,1,0,1,1,0,0,3,0,0.7,0.7,0.0,0.7,1,12,0,0.17,0.00,0.17,0.17,0.17,0.11,0.00,0.11,0.11,0.11,Matches
72,Issiaga Camara,gn GUI,MF,Nice,19-241,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Lamine Camara,sn SEN,MF,Monaco,20-273,2004,5,4,337,3.7,2,1,3,2,0,0,3,1,0.6,0.6,0.7,1.4,6,17,6,0.53,0.27,0.80,0.53,0.80,0.17,0.20,0.37,0.17,0.37,Matches
74,Mahdi Camara,fr FRA,MF,Brest,26-092,1998,6,5,456,5.1,2,0,2,2,0,0,1,0,0.6,0.6,0.2,0.8,10,20,15,0.39,0.00,0.39,0.39,0.39,0.11,0.04,0.15,0.11,0.15,Matches
75,Axel Camblan,fr FRA,"MF,FW",Brest,21-031,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Jaydee Canvot,fr FRA,DF,Toulouse,18-063,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Pierrick Capelle,fr FRA,MF,Angers,37-168,1987,4,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
78,Maxence Caqueret,fr FRA,MF,Lyon,24-228,2000,6,5,458,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,12,39,12,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
79,Valentin Carboni,ar ARG,"MF,FW",Marseille,19-209,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,4,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
80,Josué Casimir,fr FRA,"FW,DF",Le Havre,23-006,2001,6,5,406,4.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,13,12,22,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.19,0.14,0.19,Matches
81,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-254,2000,6,5,427,4.7,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,3,29,4,0.00,0.21,0.21,0.00,0.21,0.05,0.04,0.09,0.05,0.09,Matches
82,Jean-Charles Castelletto,cm CMR,DF,Nantes,29-248,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,14,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
83,Brendan Chardonnet,fr FRA,DF,Brest,29-283,1994,5,5,450,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
84,Jhoanner Chávez,ec ECU,DF,Lens,22-158,2002,4,4,302,3.4,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.4,6,2,18,0.30,0.00,0.30,0.30,0.30,0.03,0.08,0.12,0.03,0.12,Matches
85,Théo Chennahi,fr FRA,DF,Montpellier,19-237,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Sidiki Cherif,fr FRA,FW,Angers,17-290,2006,5,3,282,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,8,2,14,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.19,0.14,0.19,Matches
