stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.3,57,75,76.0,741.0,41.0,37,43,86.0,15,20,75.0,2,5,40.0,1,0.1,0.1,0.9,2,0,0,1
,,5.0,225,268,84.0,3825.0,864.0,113,121,93.4,94,105,89.5,16,26,61.5,1,1.2,1.5,-0.5,8,7,4,15
,,0.7,9,13,69.2,127.0,30.0,6,7,85.7,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,2
,,1.0,14,24,58.3,170.0,24.0,8,12,66.7,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,2
,,4.7,139,191,72.8,2165.0,799.0,76,93,81.7,52,61,85.2,8,27,29.6,1,0.4,0.7,0.3,5,10,1,14
,,3.0,95,130,73.1,1710.0,684.0,28,35,80.0,63,72,87.5,2,18,11.1,0,0.0,0.0,0.0,0,5,0,6
,,1.2,90,101,89.1,1428.0,236.0,44,49,89.8,41,45,91.1,4,6,66.7,0,0.3,0.1,-0.1,1,14,0,5
,,5.0,108,166,65.1,3905.0,3168.0,8,9,88.9,51,51,100.0,49,105,46.7,0,0.0,0.0,0.0,0,5,0,0
,,3.0,134,159,84.3,2221.0,586.0,62,66,93.9,66,76,86.8,5,11,45.5,1,0.1,0.2,0.8,2,17,1,21
,,5.0,158,204,77.5,3215.0,987.0,57,69,82.6,78,98,79.6,22,35,62.9,0,0.0,0.0,0.0,1,11,0,13
,,0.8,23,29,79.3,283.0,72.0,15,19,78.9,7,8,87.5,0,1,0.0,0,0.0,0.0,0.0,0,6,0,2
,,0.1,3,4,75.0,59.0,5.0,0,0,0.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,4.0,90,168,53.6,1990.0,1026.0,36,51,70.6,36,63,57.1,18,48,37.5,0,0.5,0.1,-0.1,3,15,1,11
,,2.7,38,50,76.0,607.0,67.0,20,25,80.0,15,15,100.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,1
,,0.8,8,10,80.0,102.0,8.0,4,5,80.0,1,2,50.0,1,1,100.0,0,0.0,0.1,-0.1,2,0,0,0
,,5.0,148,202,73.3,3958.0,2761.0,25,25,100.0,82,83,98.8,41,94,43.6,0,0.0,0.0,0.0,0,9,0,0
,,2.2,81,95,85.3,1447.0,449.0,36,41,87.8,34,35,97.1,9,15,60.0,0,0.1,0.1,-0.1,2,9,0,11
,,0.1,5,7,71.4,62.0,35.0,3,3,100.0,1,3,33.3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.7,41,58,70.7,661.0,250.0,24,30,80.0,13,19,68.4,3,6,50.0,1,0.3,0.7,0.3,5,0,1,6
,,0.3,29,39,74.4,631.0,234.0,15,17,88.2,7,8,87.5,6,13,46.2,1,0.1,0.1,0.9,1,10,0,8
,,1.4,23,31,74.2,298.0,66.0,17,20,85.0,3,4,75.0,2,2,100.0,0,0.0,0.3,-0.3,1,0,0,1
,,4.8,133,173,76.9,1929.0,390.0,75,92,81.5,37,45,82.2,11,15,73.3,1,1.3,1.8,-0.8,15,6,0,16
,,3.4,128,143,89.5,2118.0,572.0,55,58,94.8,58,67,86.6,10,12,83.3,0,0.0,0.1,-0.1,1,5,0,10
