stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,4,265,2.9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.1,0.3,0.1,0.3,0.1,0.6,0.19
,,3,239,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.08,0.2,0.08,0.1,0.03,0.3,0.11
,,5,339,3.8,4,0,0.0,1,0.27,1,0.27,0,0.0,0,0,1,0,0.2,0.06,0.2,0.06,0.7,0.18,0.9,0.24
,,4,13,0.1,0,1,6.92,0,0.0,1,6.92,1,6.92,0,0,0,0,0.5,3.2,0.5,3.2,0.0,0.0,0.5,3.2
,,4,304,3.4,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,4,232,2.6,2,1,0.39,0,0.0,1,0.39,1,0.39,0,0,0,0,1.7,0.66,1.7,0.66,0.0,0.01,1.7,0.67
,,4,93,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.19,0.2,0.19,0.0,0.01,0.2,0.21
,,2,180,2.0,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0,0,0,0.7,0.34,0.7,0.34,0.5,0.26,1.2,0.61
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.01,0.0,0.01,0.1,0.02,0.1,0.03
,,2,48,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,301,3.3,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.08,0.3,0.08,1.0,0.29,1.2,0.37
,,1,30,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.07,0.0,0.07,0.0,0.1,0.1,0.17
,,5,220,2.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03
,,3,262,2.9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.0,0.01,0.1,0.04
,,5,249,2.8,3,1,0.36,0,0.0,1,0.36,1,0.36,0,0,1,0,0.2,0.08,0.2,0.08,0.0,0.0,0.2,0.08
,,5,296,3.3,4,1,0.3,1,0.3,2,0.61,1,0.3,0,0,0,0,0.2,0.07,0.2,0.07,0.1,0.03,0.3,0.1
,,4,81,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.1,0.09,0.1,0.12
,,1,58,0.6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,192,2.1,2,1,0.47,0,0.0,1,0.47,1,0.47,0,0,0,0,0.8,0.35,0.8,0.35,0.0,0.0,0.8,0.35
,,4,239,2.7,3,1,0.38,0,0.0,1,0.38,1,0.38,0,0,1,0,0.8,0.3,0.8,0.3,0.0,0.01,0.8,0.31
,,4,88,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,161,1.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.09,0.2,0.09
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.0,0.0,0.1,0.01
,,5,330,3.7,4,1,0.27,0,0.0,1,0.27,1,0.27,0,0,1,0,0.6,0.16,0.6,0.16,0.3,0.08,0.9,0.25
,,2,180,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.07,0.1,0.07,0.1,0.03,0.2,0.11
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,391,4.3,5,1,0.23,0,0.0,1,0.23,1,0.23,0,0,1,0,1.3,0.3,1.3,0.3,0.5,0.12,1.8,0.42
,,4,119,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,179,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.05
,,4,133,1.5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.18,0.3,0.18,0.0,0.0,0.3,0.18
,,6,418,4.6,5,0,0.0,1,0.22,1,0.22,0,0.0,0,0,0,0,0.2,0.04,0.2,0.04,1.1,0.24,1.3,0.28
,,5,114,1.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.06,0.1,0.06,0.0,0.0,0.1,0.06
,,1,45,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.15,0.1,0.15,0.0,0.0,0.1,0.15
,,1,45,0.5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,94,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,302,3.4,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,360,4.0,4,2,0.5,2,0.5,4,1.0,2,0.5,0,0,0,0,0.9,0.24,0.9,0.24,0.7,0.17,1.6,0.4
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,249,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,5,241,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.1,0.03,0.3,0.1
,,5,293,3.3,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.2,0.05,0.4,0.12
,,4,196,2.2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,1,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,4,208,2.3,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,174,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.9,0.45,0.9,0.45,0.6,0.33,1.5,0.78
,,3,135,1.5,1,0,0.0,1,0.67,1,0.67,0,0.0,0,0,0,0,0.2,0.13,0.2,0.13,0.1,0.09,0.3,0.22
,,5,315,3.5,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.1,0.02,0.1,0.03
,,5,293,3.3,4,0,0.0,1,0.31,1,0.31,0,0.0,0,0,0,0,0.5,0.14,0.5,0.14,0.1,0.04,0.6,0.18
,,5,450,5.0,5,0,0.0,1,0.2,1,0.2,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,1.5,0.3,1.6,0.32
,,2,65,0.7,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,426,4.7,5,0,0.0,1,0.21,1,0.21,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.7,0.16,1.0,0.2
