stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,4,360,4.0,4,1,0.25,1,0.25,2,0.5,1,0.25,0,0,1,0,0.2,0.04,0.2,0.04,0.1,0.02,0.2,0.06
,,4,281,3.1,4,1,0.32,0,0.0,1,0.32,1,0.32,0,0,1,0,0.9,0.3,0.9,0.3,0.2,0.05,1.1,0.35
,,4,298,3.3,4,1,0.3,0,0.0,1,0.3,1,0.3,0,0,1,0,0.5,0.17,0.5,0.17,0.1,0.03,0.6,0.19
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,16,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,135,1.5,1,1,0.67,0,0.0,1,0.67,1,0.67,0,0,1,0,0.6,0.37,0.6,0.37,0.0,0.0,0.6,0.37
,,2,115,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,21,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,282,3.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.19,0.6,0.19
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,6,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,83,0.9,0,0,0.0,1,1.08,1,1.08,0,0.0,0,0,0,0,0.3,0.33,0.3,0.33,1.2,1.26,1.5,1.59
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,3,265,2.9,3,1,0.34,0,0.0,1,0.34,1,0.34,0,0,1,0,0.6,0.21,0.6,0.21,0.1,0.02,0.7,0.23
,,4,315,3.5,4,0,0.0,1,0.29,1,0.29,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.6,0.19,0.7,0.21
,,1,23,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,267,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.1,0.03,0.2,0.08
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,4,279,3.1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.01,0.0,0.01,0.1,0.03,0.1,0.04
,,3,222,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02
,,4,242,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,2.0,0.73,2.0,0.73,0.6,0.24,2.6,0.97
,,4,326,3.6,4,2,0.55,0,0.0,2,0.55,2,0.55,0,0,1,0,2.1,0.58,2.1,0.58,0.4,0.12,2.5,0.7
,,3,179,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.2,0.4,0.2,0.2,0.09,0.6,0.29
,,2,94,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.04,0.1,0.06
,,3,57,0.6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.28,0.2,0.28,0.1,0.2,0.3,0.48
,,1,79,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,23,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.36,0.1,0.36
,,4,271,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.01,0.0,0.01,0.2,0.06,0.2,0.07
,,1,5,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,138,1.5,1,0,0.0,1,0.65,1,0.65,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.3,0.18,0.3,0.2
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,68,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03
,,3,117,1.3,1,1,0.77,0,0.0,1,0.77,0,0.0,1,1,0,0,0.8,0.61,0.0,0.0,0.2,0.14,0.2,0.14
,,2,89,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.11,0.1,0.11,0.0,0.0,0.1,0.11
,,1,11,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
,,1,9,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,5,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,345,3.8,4,1,0.26,1,0.26,2,0.52,1,0.26,0,0,0,0,1.0,0.27,1.0,0.27,0.4,0.12,1.5,0.39
,,2,72,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5,0.62,0.5,0.62,0.5,0.61,1.0,1.23
,,3,122,1.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,27,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,274,3.0,3,1,0.33,1,0.33,2,0.66,1,0.33,0,0,0,0,1.7,0.55,1.7,0.55,0.1,0.05,1.8,0.59
,,4,344,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.3,0.09,0.5,0.12
,,3,49,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,1.06,0.6,1.06
,,4,359,4.0,4,5,1.25,0,0.0,5,1.25,4,1.0,1,1,0,0,1.9,0.49,1.2,0.29,0.4,0.09,1.5,0.38
,,4,314,3.5,4,1,0.29,1,0.29,2,0.57,1,0.29,0,0,0,0,0.4,0.12,0.4,0.12,0.6,0.16,1.0,0.28
,,4,263,2.9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.3,0.09,0.4,0.14
,,4,357,4.0,4,2,0.5,0,0.0,2,0.5,2,0.5,0,0,0,0,2.0,0.5,2.0,0.5,0.1,0.03,2.1,0.53
,,3,11,0.1,0,1,8.18,0,0.0,1,8.18,1,8.18,0,0,0,0,0.4,3.05,0.4,3.05,0.0,0.0,0.4,3.05
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,353,3.9,4,1,0.25,2,0.51,3,0.76,1,0.25,0,0,0,0,0.3,0.07,0.3,0.07,1.6,0.41,1.9,0.47
,,3,132,1.5,1,0,0.0,1,0.68,1,0.68,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.32,0.5,0.33
,,4,300,3.3,4,1,0.3,3,0.9,4,1.2,1,0.3,0,0,0,0,0.3,0.08,0.3,0.08,0.8,0.23,1.0,0.31
,,4,212,2.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.11,0.3,0.11,0.4,0.16,0.6,0.27
,,4,323,3.6,4,3,0.84,2,0.56,5,1.39,3,0.84,0,0,0,0,0.8,0.22,0.8,0.22,0.6,0.17,1.4,0.4
,,2,129,1.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,9,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,355,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.05,0.2,0.05,0.0,0.0,0.2,0.05
,,4,90,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.31,0.3,0.31,0.3,0.27,0.6,0.58
,,1,82,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.06,0.1,0.06,0.1,0.16,0.2,0.22
,,2,47,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06
,,4,349,3.9,4,1,0.26,1,0.26,2,0.52,1,0.26,0,0,0,0,0.2,0.05,0.2,0.05,0.7,0.19,0.9,0.24
,,2,180,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.11,0.2,0.11
,,2,21,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.37,0.1,0.37,0.0,0.0,0.1,0.37
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
