stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,4.0,213,22,79,95,44,6,213,10,2,20.0,7,70.0,108,580.0,336.0,4,4,0,5,2,109,4
,,3.1,165,8,38,100,30,4,165,2,1,50.0,1,50.0,84,391.0,187.0,5,6,0,2,1,104,0
,,4.0,221,9,42,136,45,1,221,3,3,100.0,0,0.0,107,410.0,146.0,1,1,0,3,2,127,1
,,1.0,42,0,2,22,19,5,42,0,0,0.0,0,0.0,26,68.0,30.0,2,1,1,3,1,30,6
,,0.9,81,6,33,48,0,0,81,2,1,50.0,1,50.0,58,254.0,86.0,0,0,0,0,0,59,0
,,0.2,18,2,6,9,3,1,18,4,1,25.0,3,75.0,7,70.0,35.0,2,0,1,1,0,10,2
,,0.8,50,1,2,22,26,7,50,3,1,33.3,2,66.7,24,184.0,41.0,0,0,1,3,3,36,8
,,0.8,32,0,2,11,20,2,32,3,0,0.0,3,100.0,29,132.0,56.0,2,3,0,3,5,29,8
,,2.7,151,18,74,73,5,1,151,1,1,100.0,0,0.0,66,244.0,74.0,0,1,0,1,0,77,1
,,4.0,245,20,86,124,36,4,245,3,1,33.3,2,66.7,148,785.0,429.0,8,5,0,4,2,160,3
,,0.5,21,0,2,9,10,2,21,0,0,0.0,0,0.0,5,29.0,17.0,1,0,1,4,0,8,4
,,0.3,31,1,22,9,0,0,31,1,0,0.0,1,100.0,21,42.0,20.0,0,0,0,0,0,24,0
,,2.3,93,1,12,34,49,7,93,10,5,50.0,5,50.0,49,416.0,154.0,6,4,2,8,6,58,13
,,1.7,150,6,32,88,32,4,150,1,1,100.0,0,0.0,89,644.0,445.0,9,7,0,3,2,106,7
,,2.3,153,11,67,81,6,2,153,5,2,40.0,3,60.0,78,381.0,197.0,2,0,0,1,1,93,0
,,0.8,48,0,6,35,7,0,48,0,0,0.0,0,0.0,24,100.0,40.0,0,2,0,1,2,30,0
,,3.0,246,1,54,127,65,5,246,2,0,0.0,2,100.0,155,595.0,228.0,3,4,1,7,0,200,25
,,2.3,206,7,40,104,65,7,206,3,3,100.0,0,0.0,128,681.0,350.0,8,9,0,2,3,141,13
,,2.8,132,2,7,60,66,20,131,14,2,14.3,11,78.6,92,542.0,187.0,8,5,3,8,4,103,31
,,3.2,134,2,8,66,61,16,134,6,2,33.3,3,50.0,77,378.0,155.0,4,5,2,8,2,95,20
,,0.5,15,2,3,4,8,2,15,1,0,0.0,1,100.0,8,24.0,8.0,0,0,0,1,2,8,1
,,2.4,137,8,30,68,44,9,137,13,5,38.5,8,61.5,75,695.0,400.0,11,9,2,3,2,89,16
,,1.2,65,7,16,39,13,0,65,4,1,25.0,3,75.0,36,126.0,49.0,1,1,0,5,1,39,2
,,0.2,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,6.0,1.0,0,0,0,0,0,3,1
,,0.4,33,1,8,15,12,1,33,0,0,0.0,0,0.0,22,144.0,69.0,0,1,0,1,0,22,1
,,1.4,125,2,15,85,25,1,125,1,0,0.0,1,100.0,77,322.0,154.0,3,4,0,1,1,90,3
,,4.0,122,5,19,61,43,13,122,5,3,60.0,2,40.0,58,242.0,86.0,4,1,1,3,2,75,15
,,1.4,77,2,24,48,7,1,77,3,1,33.3,2,66.7,36,150.0,56.0,1,2,0,5,2,49,2
,,0.1,7,0,0,5,4,1,7,1,0,0.0,0,0.0,6,92.0,77.0,3,2,1,0,0,4,0
,,2.8,113,1,22,43,49,8,113,7,2,28.6,5,71.4,65,438.0,205.0,7,4,1,7,5,78,20
,,1.8,72,3,17,32,25,7,72,7,3,42.9,4,57.1,43,322.0,169.0,6,2,5,2,1,53,7
,,2.0,136,14,54,73,11,2,136,1,1,100.0,0,0.0,71,449.0,286.0,3,2,0,2,2,81,2
,,2.5,102,4,29,49,25,6,102,4,0,0.0,4,100.0,57,207.0,58.0,0,0,0,1,1,69,4
,,3.7,178,4,23,120,37,7,178,16,6,37.5,8,50.0,94,424.0,197.0,4,3,1,10,8,121,11
,,3.2,141,5,40,61,41,8,141,7,3,42.9,3,42.9,86,414.0,257.0,6,2,1,3,0,86,24
,,2.8,224,3,17,143,64,4,224,2,0,0.0,2,100.0,115,600.0,328.0,6,7,1,3,2,174,13
,,0.2,10,0,1,7,2,0,10,0,0,0.0,0,0.0,1,2.0,0.0,0,0,0,1,0,5,0
,,4.0,230,24,130,86,15,1,230,1,1,100.0,0,0.0,106,528.0,246.0,4,2,0,0,1,127,2
,,0.2,17,0,0,8,9,2,17,0,0,0.0,0,0.0,11,40.0,12.0,1,0,1,0,0,14,4
,,4.0,261,28,116,135,12,6,261,1,1,100.0,0,0.0,153,752.0,422.0,3,0,0,1,2,166,1
,,2.7,87,1,10,36,41,7,87,11,5,45.5,6,54.5,57,373.0,133.0,5,3,3,9,3,71,18
,,1.0,42,3,9,13,20,6,42,1,0,0.0,1,100.0,23,141.0,90.0,3,0,2,2,2,25,11
,,1.5,83,4,25,37,23,1,83,3,1,33.3,1,33.3,53,242.0,74.0,1,2,0,2,0,55,4
,,1.4,72,3,31,28,13,0,72,2,0,0.0,2,100.0,34,142.0,59.0,2,1,0,3,2,40,5
,,0.7,54,1,13,34,9,2,54,0,0,0.0,0,0.0,13,99.0,50.0,1,1,0,1,0,28,0
,,3.0,152,29,93,58,3,0,152,4,2,50.0,1,25.0,81,353.0,186.0,0,1,0,2,0,96,1
