stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,1.5,120,116,3,3,0,0,1,0,0,0,0,0,110,1,2
,,4.0,159,137,22,8,0,0,0,0,0,0,0,0,127,0,0
,,0.9,17,16,1,1,0,0,2,0,0,0,0,0,10,0,0
,,4.0,171,145,26,1,0,1,3,25,0,0,0,0,148,0,3
,,4.0,175,170,5,1,0,3,0,0,0,0,0,0,156,0,4
,,2.9,140,138,1,1,1,0,5,0,0,0,0,0,118,1,2
,,2.1,38,35,3,1,0,0,2,0,0,0,0,0,29,0,1
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,0.5,8,7,1,0,0,2,0,0,0,0,0,0,7,0,1
,,3.0,210,203,7,6,0,2,0,0,0,0,0,0,177,0,2
,,2.0,102,94,8,2,0,0,0,5,0,0,0,0,91,0,0
,,0.4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
,,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
,,4.0,121,84,37,14,0,1,0,0,0,0,0,0,90,0,0
,,2.8,145,135,10,9,0,0,0,1,0,0,0,0,127,0,1
,,3.3,156,130,24,2,0,1,4,22,0,0,0,0,128,2,4
,,1.3,91,90,1,0,0,0,2,1,0,0,0,0,79,0,2
,,3.0,162,156,6,5,2,0,0,1,0,0,0,0,134,0,5
,,2.8,114,104,10,1,0,0,9,9,0,0,0,0,88,0,3
,,0.3,11,10,1,0,0,0,1,0,0,0,0,0,8,0,1
,,3.9,246,199,44,14,1,10,33,6,18,4,12,0,177,3,5
,,1.6,126,116,10,2,0,3,11,0,8,3,5,0,97,0,2
,,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
,,2.9,142,118,24,1,1,1,3,21,0,0,0,0,118,0,3
,,0.9,68,52,15,5,0,0,1,10,0,0,0,0,58,1,2
,,1.3,86,68,18,1,1,0,1,13,0,0,0,0,71,0,1
,,3.2,190,169,21,9,0,1,14,0,11,1,9,0,146,0,2
,,1.3,109,82,27,7,0,0,8,15,5,2,2,0,85,0,2
,,1.7,36,34,2,0,0,0,1,2,0,0,0,0,26,0,1
,,3.6,106,99,7,0,0,0,21,0,6,1,3,0,75,0,5
,,3.7,119,116,3,0,0,0,5,0,0,0,0,0,98,0,4
,,1.1,47,42,5,5,0,0,0,0,0,0,0,0,45,0,0
,,2.9,56,47,8,0,0,2,0,0,0,0,0,0,37,1,0
,,3.0,168,158,10,6,0,1,0,1,0,0,0,0,137,0,2
,,1.0,87,85,2,2,0,2,0,0,0,0,0,0,83,0,0
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,3.9,168,161,5,1,1,0,15,3,0,0,0,0,120,2,8
,,1.6,39,38,1,0,0,0,0,0,0,0,0,0,25,0,1
,,3.8,213,208,5,4,0,0,0,0,0,0,0,0,191,0,0
,,0.9,14,13,1,0,0,0,0,0,0,0,0,0,7,0,0
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,2.0,96,73,23,5,0,2,8,16,2,1,1,0,70,0,3
,,3.5,275,240,35,13,0,0,0,3,0,0,0,0,243,0,4
,,0.1,12,10,2,0,0,0,1,2,0,0,0,0,11,0,1
,,1.9,54,52,2,0,0,0,2,2,0,0,0,0,46,0,4
,,1.8,110,105,4,4,0,2,1,0,0,0,0,0,88,1,0
,,1.8,78,74,2,2,1,0,0,0,0,0,0,0,65,2,0
,,3.9,186,157,29,6,0,0,16,23,0,0,0,0,150,0,1
,,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
,,0.9,76,64,12,7,0,1,4,1,2,2,0,0,66,0,0
,,0.8,30,20,10,1,0,0,0,9,0,0,0,0,22,0,2
,,2.9,80,67,13,3,0,1,21,0,10,3,6,0,45,0,2
,,3.6,191,182,8,4,1,0,6,1,3,2,0,0,156,1,3
,,1.9,112,106,4,2,0,0,1,2,0,0,0,0,95,2,4
,,3.3,118,115,1,1,0,0,0,0,0,0,0,0,102,2,0
,,2.6,99,91,8,2,0,0,8,6,0,0,0,0,76,0,4
,,3.2,194,155,37,4,2,2,7,33,0,0,0,0,148,2,4
,,0.3,20,18,2,0,0,0,3,0,2,2,0,0,11,0,1
,,0.1,6,3,3,0,0,0,4,0,3,1,2,0,2,0,1
,,3.0,309,299,10,9,2,4,0,1,0,0,0,0,295,0,4
,,0.5,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
,,2.3,40,39,1,0,0,0,0,0,0,0,0,0,30,0,2
,,2.4,93,76,16,1,1,2,5,15,0,0,0,0,73,1,4
,,4.0,172,167,4,1,0,0,0,0,0,0,0,0,149,1,2
,,2.0,53,49,4,3,0,0,0,0,0,0,0,0,45,0,0
,,0.8,85,76,9,0,0,0,0,9,0,0,0,0,80,0,0
,,2.9,186,182,4,2,0,3,1,2,0,0,0,0,175,0,0
,,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
