player_name,nation,position,age,date_of_birth
Ibrahima Sissoko,MLI,MF,26.0,1997.0
Tim Skarke,GER,"FW,MF",28.0,1996.0
Ellyes Skhiri,TUN,MF,29.0,1995.0
Eric Smith,SWE,DF,27.0,1997.0
Anton Stach,GER,DF,25.0,1998.0
Jens Stage,DEN,MF,27.0,1996.0
Niklas Stark,GER,DF,29.0,1995.0
Pascal Stenzel,GER,DF,28.0,1996.0
Angelo Stiller,GER,"MF,DF",23.0,2001.0
Kevin Stöger,AUT,"MF,FW",31.0,1993.0
Niklas Süle,GER,DF,29.0,1995.0
Mattias Svanberg,SWE,MF,25.0,1999.0
Haris Tabakovic,BIH,FW,30.0,1994.0
Jonathan Tah,GER,DF,28.0,1996.0
Edmond Tapsoba,BFA,DF,25.0,1999.0
Mathys Tel,FRA,"MF,FW",19.0,2005.0
Nathan Tella,NGA,DF,25.0,1999.0
Martin Terrier,FRA,MF,27.0,1997.0
Arthur Theate,BEL,DF,24.0,2000.0
Phillip Tietz,GER,"FW,MF",27.0,1997.0
Umut Tohumcu,GER,MF,20.0,2004.0
Tiago Tomás,POR,"FW,MF",22.0,2002.0
Lucas Tousart,FRA,MF,27.0,1997.0
Omar Traoré,GER,DF,26.0,1998.0
Kevin Trapp,GER,GK,34.0,1990.0
Philipp Treu,GER,"DF,FW",23.0,2000.0
Christopher Trimmel,AUT,DF,37.0,1987.0
Tuta,BRA,DF,25.0,1999.0
Deniz Undav,GER,"FW,MF",28.0,1996.0
Dayot Upamecano,FRA,DF,25.0,1998.0
Can Uzun,TUR,"MF,FW",18.0,2005.0
Josha Vagnoman,GER,DF,23.0,2000.0
Ruben Vargas,SUI,MF,26.0,1998.0
Nikola Vasilj,BIH,GK,28.0,1995.0
Miloš Veljković,SRB,DF,28.0,1995.0
Nikolas Veratschnig,AUT,MF,21.0,2003.0
Arthur Vermeeren,BEL,MF,19.0,2005.0
Yorbe Vertessen,BEL,"MF,FW",23.0,2001.0
Kevin Vogt,GER,DF,32.0,1991.0
Aster Vranckx,BEL,MF,21.0,2002.0
Robert Wagner,GER,MF,21.0,2003.0
Hauke Wahl,GER,DF,30.0,1994.0
Paul Wanner,GER,MF,18.0,2005.0
Julian Weigl,GER,MF,29.0,1995.0
Timon Weiner,GER,GK,25.0,1999.0
Nelson Weiper,GER,MF,19.0,2005.0
Mitchell Weiser,GER,DF,30.0,1994.0
Silvan Widmer,SUI,DF,31.0,1993.0
Patrick Wimmer,AUT,"FW,MF",23.0,2001.0
Jonas Wind,DEN,"MF,FW",25.0,1999.0
Florian Wirtz,GER,MF,21.0,2003.0
Dani de Wit,NED,MF,26.0,1998.0
Maximilian Wittek,GER,DF,29.0,1995.0
Marius Wolf,GER,DF,29.0,1995.0
Nick Woltemade,GER,MF,22.0,2002.0
Jeong Woo-yeong,KOR,"FW,MF",24.0,1999.0
