Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,0.2,0,3,0.0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,3.2,112,135,83.0,1990,560,46,52,88.5,56,63,88.9,9,15,60.0,0,0.2,0.2,-0.2,7,11,6,0,21
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,1.8,37,51,72.5,637,169,20,22,90.9,14,14,100.0,3,11,27.3,1,0.8,0.3,0.2,4,1,2,0,4
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,1.7,57,74,77.0,1169,477,22,27,81.5,28,31,90.3,7,12,58.3,0,0.0,0.0,0.0,0,4,0,0,4
72,Conor Coady,ENG,DF,Leicester City,31,1993,0.1,1,2,50.0,24,0,0,0,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1.0,32,43,74.4,535,247,17,19,89.5,13,18,72.2,2,6,33.3,0,0.0,0.0,0.0,0,3,0,0,6
74,Nathan Collins,IRL,DF,Brentford,23,2001,6.0,282,323,87.3,5408,1830,96,107,89.7,161,173,93.1,23,35,65.7,0,0.0,0.1,0.0,0,13,1,0,13
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,0.5,15,19,78.9,235,37,8,8,100.0,4,5,80.0,2,3,66.7,0,0.1,0.0,-0.1,1,1,0,0,2
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6.0,371,411,90.3,7143,2859,113,120,94.2,230,243,94.7,25,36,69.4,0,0.6,0.5,-0.6,2,24,1,0,22
77,Lewis Cook,ENG,MF,Bournemouth,27,1997,4.9,165,224,73.7,2988,1088,69,82,84.1,78,92,84.8,17,43,39.5,0,0.6,0.7,-0.6,5,25,4,0,31
78,Maxwel Cornet,CIV,FW,Southampton,28,1996,0.3,8,10,80.0,148,14,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
79,Vladimír Coufal,CZE,DF,West Ham,32,1992,2.2,72,97,74.2,1195,494,38,45,84.4,25,35,71.4,7,14,50.0,0,0.1,0.1,-0.1,1,5,1,1,6
80,Aaron Cresswell,ENG,DF,West Ham,34,1989,0.2,16,22,72.7,245,65,9,11,81.8,7,9,77.8,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3
81,Marc Cucurella,ESP,DF,Chelsea,26,1998,5.6,278,317,87.7,4289,1300,145,158,91.8,115,127,90.6,11,21,52.4,0,0.2,0.6,-0.2,1,23,0,0,16
82,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,5.1,122,168,72.6,2034,662,70,88,79.5,33,45,73.3,15,25,60.0,0,0.8,0.8,-0.8,9,15,5,2,14
83,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6.0,331,386,85.8,5694,1904,155,171,90.6,138,154,89.6,31,45,68.9,1,1.0,0.8,0.0,6,16,5,1,29
84,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,4.2,137,184,74.5,2164,676,80,90,88.9,45,61,73.8,11,24,45.8,0,0.4,0.5,-0.4,6,16,5,1,26
85,Danilo,BRA,MF,Nott'ham Forest,23,2001,0.2,3,3,100.0,85,6,0,0,0.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
86,Leif Davis,ENG,DF,Ipswich Town,24,2000,6.0,171,244,70.1,2923,1181,83,95,87.4,70,90,77.8,15,46,32.6,1,0.9,1.0,0.1,14,10,6,2,13
87,Craig Dawson,ENG,DF,Wolves,34,1990,3.3,150,178,84.3,2816,964,53,55,96.4,80,88,90.9,11,28,39.3,0,0.0,0.0,0.0,2,8,0,0,6
88,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4.0,259,321,80.7,4416,1388,146,162,90.1,82,106,77.4,29,39,74.4,1,1.7,2.2,-0.7,16,25,19,3,47
89,Liam Delap,ENG,FW,Ipswich Town,21,2003,5.0,26,48,54.2,416,110,12,17,70.6,11,21,52.4,1,4,25.0,0,0.3,0.0,-0.3,3,3,1,0,3
90,Sepp van den Berg,NED,DF,Brentford,22,2001,3.2,149,175,85.1,2348,868,76,87,87.4,65,72,90.3,5,10,50.0,0,0.1,0.3,-0.1,1,7,1,0,8
91,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,0.5,29,37,78.4,417,50,19,23,82.6,9,11,81.8,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2
92,Amad Diallo,CIV,FW,Manchester Utd,22,2002,3.8,168,204,82.4,2273,479,102,117,87.2,47,51,92.2,9,15,60.0,1,1.2,0.8,-0.2,12,6,10,0,18
93,Rúben Dias,POR,DF,Manchester City,27,1997,5.1,448,483,92.8,7676,2261,206,216,95.4,205,215,95.3,33,44,75.0,0,0.1,0.4,-0.1,3,38,2,0,26
94,Luis Díaz,COL,FW,Liverpool,27,1997,4.8,149,168,88.7,2253,519,87,94,92.6,44,51,86.3,12,13,92.3,1,1.0,0.7,0.0,9,11,8,1,15
95,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,2.3,78,94,83.0,1261,235,37,43,86.0,34,40,85.0,5,7,71.4,0,0.7,0.4,-0.7,5,5,4,0,10
96,Lucas Digne,FRA,DF,Aston Villa,31,1993,4.8,203,256,79.3,3241,927,104,113,92.0,85,104,81.7,10,25,40.0,2,1.1,1.0,0.9,5,7,8,4,10
97,Issa Diop,FRA,DF,Fulham,27,1997,3.1,120,145,82.8,2538,942,32,37,86.5,72,81,88.9,15,25,60.0,0,0.0,0.0,0.0,1,10,1,0,7
98,Axel Disasi,FRA,DF,Chelsea,26,1998,1.0,64,74,86.5,1011,433,33,35,94.3,26,28,92.9,4,8,50.0,0,0.0,0.0,0.0,0,2,0,0,5
99,Roman Dixon,ENG,DF,Everton,19,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0
100,Matt Doherty,IRL,DF,Wolves,32,1992,2.3,74,105,70.5,1262,285,34,42,81.0,34,51,66.7,6,9,66.7,0,0.1,0.1,-0.1,1,4,1,0,6
101,Jeremy Doku,BEL,FW,Manchester City,22,2002,3.4,125,148,84.5,1778,268,85,94,90.4,36,44,81.8,4,5,80.0,0,1.0,0.8,-1.0,6,1,8,1,11
102,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,1.8,56,79,70.9,742,238,36,51,70.6,17,21,81.0,1,1,100.0,0,0.0,0.1,0.0,1,8,1,0,6
103,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,3.4,86,112,76.8,1502,213,40,45,88.9,32,43,74.4,12,15,80.0,0,0.0,0.0,0.0,1,4,2,0,8
104,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,1.0,45,49,91.8,709,169,23,23,100.0,17,17,100.0,3,5,60.0,0,0.0,0.0,0.0,0,4,0,0,6
105,Flynn Downes,ENG,MF,Southampton,25,1999,5.0,294,318,92.5,4181,822,178,189,94.2,96,102,94.1,10,15,66.7,0,0.7,0.8,-0.7,8,19,7,0,25
106,Tommy Doyle,ENG,MF,Wolves,22,2001,0.8,52,70,74.3,1117,380,15,17,88.2,26,30,86.7,11,17,64.7,0,0.0,0.1,0.0,2,11,2,0,12
107,Radu Drăgușin,ROU,DF,Tottenham,22,2002,1.1,48,57,84.2,838,290,16,18,88.9,31,33,93.9,0,3,0.0,0,0.0,0.0,0.0,0,7,0,0,1
108,Lewis Dunk,ENG,DF,Brighton,32,1991,5.8,516,565,91.3,8820,2972,231,239,96.7,241,256,94.1,36,58,62.1,0,0.4,0.3,-0.4,4,45,1,0,48
109,Jhon Durán,COL,FW,Aston Villa,20,2003,1.8,28,41,68.3,402,93,14,18,77.8,10,16,62.5,2,3,66.7,0,0.0,0.1,0.0,1,4,0,0,3
110,Ederson,BRA,GK,Manchester City,31,1993,6.0,184,221,83.3,4591,3031,42,42,100.0,94,96,97.9,47,81,58.0,1,0.4,0.0,0.6,1,6,1,0,1
111,George Edmundson,ENG,DF,Ipswich Town,27,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
112,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4
113,Odsonne Édouard,FRA,"FW,MF",Leicester City,26,1998,0.1,2,3,66.7,18,5,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,1
114,Samuel Edozie,ENG,"DF,FW",Southampton,21,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4
115,Anthony Elanga,SWE,FW,Nott'ham Forest,22,2002,3.9,78,103,75.7,1109,378,47,51,92.2,16,27,59.3,7,13,53.8,1,0.6,0.5,0.4,8,3,3,0,8
116,Harvey Elliott,ENG,FW,Liverpool,21,2003,0.1,12,14,85.7,156,10,10,10,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
117,Yunus Emre Konak,TUR,"MF,FW",Brentford,18,2006,0.2,10,13,76.9,169,36,6,6,100.0,2,3,66.7,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0
118,Julio Enciso,PAR,"MF,FW",Brighton,20,2004,0.7,33,47,70.2,480,162,21,24,87.5,8,13,61.5,2,7,28.6,0,0.1,0.1,-0.1,3,5,1,1,4
119,Wataru Endo,JPN,MF,Liverpool,31,1993,0.0,1,1,100.0,6,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
120,Christian Eriksen,DEN,MF,Manchester Utd,32,1992,1.9,117,142,82.4,2136,693,61,64,95.3,42,50,84.0,13,25,52.0,0,1.3,0.7,-1.3,6,13,1,0,14
121,Pervis Estupiñán,ECU,DF,Brighton,26,1998,2.1,126,155,81.3,1843,570,79,84,94.0,37,46,80.4,7,18,38.9,0,0.2,0.3,-0.2,4,10,3,2,14
122,Evanilson,BRA,FW,Bournemouth,24,1999,3.1,25,37,67.6,326,54,16,23,69.6,5,6,83.3,2,2,100.0,0,0.5,0.4,-0.5,3,1,1,0,3
123,Jonny Evans,NIR,DF,Manchester Utd,36,1988,0.3,22,24,91.7,355,89,10,10,100.0,12,13,92.3,0,0,0.0,0,0.0,0.0,0.0,0,3,0,0,2
124,Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,1998,6.0,207,258,80.2,3592,994,96,110,87.3,87,99,87.9,19,30,63.3,0,0.6,0.8,-0.6,12,17,12,0,36
125,Łukasz Fabiański,POL,GK,West Ham,39,1985,0.5,5,8,62.5,194,144,0,0,0.0,2,2,100.0,3,6,50.0,0,0.0,0.0,0.0,0,0,0,0,0
126,Wout Faes,BEL,DF,Leicester City,26,1998,6.0,237,271,87.5,4312,1626,107,111,96.4,107,113,94.7,23,39,59.0,0,0.0,0.1,0.0,0,13,0,0,13
127,Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,2004,3.0,47,73,64.4,902,254,20,27,74.1,16,23,69.6,9,17,52.9,1,0.5,0.6,0.5,2,5,4,1,8
