Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
101,Jeremy Doku,BEL,FW,Manchester City,22,2002,3.4,194,1,7,48,145,22,194,31,15,48.4,8,25.8,140,1444,912,37,22,11,8,8,163,48
102,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,1.8,101,6,18,47,36,3,101,1,0,0.0,1,100.0,36,107,55,1,2,0,1,0,50,4
103,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,3.4,139,4,39,60,42,5,139,3,2,66.7,1,33.3,67,314,141,4,1,0,3,3,77,9
104,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,1.0,63,1,10,43,10,1,63,2,2,100.0,0,0.0,35,119,54,1,1,1,0,1,41,0
105,Flynn Downes,ENG,MF,Southampton,25,1999,5.0,375,17,92,198,85,9,375,5,1,20.0,4,80.0,160,948,486,10,5,2,7,7,270,11
106,Tommy Doyle,ENG,MF,Wolves,22,2001,0.8,78,4,19,43,16,0,78,0,0,0.0,0,0.0,41,313,112,1,1,0,2,1,52,2
107,Radu Drăgușin,ROU,DF,Tottenham,22,2002,1.1,70,7,26,36,9,2,70,1,0,0.0,0,0.0,33,138,65,0,1,0,1,0,39,0
108,Lewis Dunk,ENG,DF,Brighton,32,1991,5.8,596,63,299,260,43,4,596,1,0,0.0,1,100.0,374,1783,913,5,5,0,0,0,441,1
109,Jhon Durán,COL,FW,Aston Villa,20,2003,1.8,80,4,6,37,37,13,80,6,1,16.7,5,83.3,46,100,35,0,1,0,4,7,63,11
110,Ederson,BRA,GK,Manchester City,31,1993,6.0,239,164,235,4,0,0,239,0,0,0.0,0,0.0,151,772,453,0,0,0,1,0,156,0
111,George Edmundson,ENG,DF,Ipswich Town,27,1997,0.0,3,1,3,0,0,0,3,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0,1,0
112,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7
113,Odsonne Édouard,FRA,"FW,MF",Leicester City,26,1998,0.1,5,0,0,2,3,2,5,0,0,0.0,0,0.0,3,11,0,0,0,1,1,2,3,1
114,Samuel Edozie,ENG,"DF,FW",Southampton,21,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23
115,Anthony Elanga,SWE,FW,Nott'ham Forest,22,2002,3.9,147,2,19,52,81,18,147,15,3,20.0,7,46.7,85,662,371,11,4,10,10,5,94,20
116,Harvey Elliott,ENG,FW,Liverpool,21,2003,0.1,14,0,1,4,9,1,14,0,0,0.0,0,0.0,10,50,28,1,0,1,0,0,11,3
117,Yunus Emre Konak,TUR,"MF,FW",Brentford,18,2006,0.2,16,0,2,8,6,0,16,1,0,0.0,1,100.0,7,29,15,0,0,0,0,2,11,0
118,Julio Enciso,PAR,"MF,FW",Brighton,20,2004,0.7,59,0,3,24,33,1,59,8,3,37.5,3,37.5,32,149,75,2,3,0,3,1,41,7
119,Wataru Endo,JPN,MF,Liverpool,31,1993,0.0,1,0,1,0,0,0,1,0,0,0.0,0,0.0,1,6,0,0,0,0,0,0,0,0
120,Christian Eriksen,DEN,MF,Manchester Utd,32,1992,1.9,158,3,19,85,54,4,158,0,0,0.0,0,0.0,79,303,113,2,3,0,1,2,104,10
121,Pervis Estupiñán,ECU,DF,Brighton,26,1998,2.1,173,3,25,84,66,5,173,3,1,33.3,2,66.7,100,484,275,8,5,4,2,3,118,26
122,Evanilson,BRA,FW,Bournemouth,24,1999,3.1,69,4,5,30,34,15,68,5,1,20.0,2,40.0,35,172,85,2,0,0,2,4,47,5
123,Jonny Evans,NIR,DF,Manchester Utd,36,1988,0.3,27,1,7,18,3,0,27,0,0,0.0,0,0.0,10,34,9,0,0,0,0,0,13,0
124,Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,1998,6.0,348,2,43,166,147,23,348,31,9,29.0,20,64.5,226,1222,609,19,13,8,11,10,253,45
