Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
133,Mark Flekken,NED,GK,Brentford,31,1993,6.0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,100.0
134,Phil Foden,ENG,"MF,FW",Manchester City,24,2000,1.0,0,0,0,0,2,0,2,2,0,0,0,0,3,1,0,100.0
135,Wesley Fofana,FRA,DF,Chelsea,23,2000,5.6,4,0,0,12,5,0,1,8,5,0,0,0,27,5,2,71.4
136,Carlos Forbs,POR,MF,Wolves,20,2004,0.5,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0.0
137,Ryan Fraser,SCO,FW,Southampton,30,1994,0.9,0,0,0,0,2,1,2,0,2,0,0,0,4,0,1,0.0
138,Niclas Füllkrug,GER,FW,West Ham,31,1993,0.7,0,0,0,3,0,1,0,0,0,0,0,0,2,8,3,72.7
139,Cody Gakpo,NED,FW,Liverpool,25,1999,1.4,1,0,0,1,1,2,5,0,2,0,0,0,0,1,1,50.0
140,Idrissa Gana Gueye,SEN,MF,Everton,35,1989,3.8,0,0,0,7,3,0,0,6,8,0,0,0,17,4,1,80.0
141,Alejandro Garnacho,ARG,FW,Manchester Utd,20,2004,3.6,1,0,0,2,4,0,9,2,4,0,0,0,19,1,4,20.0
142,James Garner,ENG,"DF,MF",Everton,23,2001,1.8,1,0,0,3,0,0,4,2,4,0,0,0,3,0,1,0.0
143,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,2000,4.8,3,1,1,13,8,2,3,3,2,0,0,0,25,8,8,50.0
144,Billy Gilmour,SCO,MF,Brighton,23,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,0.0
145,João Gomes,BRA,MF,Wolves,23,2001,5.5,3,0,0,17,1,0,4,5,13,0,0,0,33,0,7,0.0
146,Rodrigo Gomes,POR,"FW,MF",Wolves,21,2003,1.3,0,0,0,0,2,0,5,0,1,0,0,0,2,2,2,50.0
147,Toti Gomes,POR,DF,Wolves,25,1999,4.0,2,0,0,4,1,2,0,1,4,0,0,0,9,6,2,75.0
148,Joe Gomez,ENG,DF,Liverpool,27,1997,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
149,Anthony Gordon,ENG,FW,Newcastle Utd,23,2001,5.6,0,0,0,6,19,1,29,2,3,1,0,0,19,0,3,0.0
150,Ryan Gravenberch,NED,MF,Liverpool,22,2002,6.0,2,0,0,10,12,0,1,10,12,0,0,0,39,5,2,71.4
151,Archie Gray,ENG,"MF,DF",Tottenham,18,2006,0.4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0
152,Jack Grealish,ENG,FW,Manchester City,29,1995,3.0,2,0,0,1,7,0,5,0,1,0,0,0,11,1,4,20.0
153,Jacob Greaves,ENG,DF,Ipswich Town,24,2000,6.0,1,0,0,2,5,0,0,8,5,0,0,0,9,17,12,58.6
154,Gonçalo Guedes,POR,"FW,MF",Wolves,27,1996,0.5,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0.0
155,Marc Guéhi,ENG,DF,Crystal Palace,24,2000,6.0,1,0,0,1,4,0,0,5,3,0,0,0,24,21,11,65.6
156,Bruno Guimarães,BRA,MF,Newcastle Utd,26,1997,6.0,2,0,0,9,24,0,4,9,8,0,0,0,24,1,0,100.0
157,Marc Guiu,ESP,FW,Chelsea,18,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
158,İlkay Gündoğan,GER,MF,Manchester City,33,1990,3.2,0,0,0,5,3,0,9,1,2,0,0,0,10,2,2,50.0
159,Malo Gusto,FRA,DF,Chelsea,21,2003,3.8,1,0,0,5,1,0,7,3,8,0,0,0,18,0,2,0.0
160,Joško Gvardiol,CRO,DF,Manchester City,22,2002,5.5,0,0,0,1,7,0,2,10,9,0,0,0,24,7,7,50.0
161,Erling Haaland,NOR,FW,Manchester City,24,2000,6.0,1,0,0,6,4,1,0,0,2,0,0,0,2,9,8,52.9
162,Lewis Hall,ENG,DF,Newcastle Utd,20,2004,3.8,1,0,0,2,1,0,14,4,2,0,0,0,19,2,2,50.0
163,Ali Al Hamadi,IRQ,FW,Ipswich Town,22,2002,0.4,2,0,0,3,0,1,0,0,0,0,0,0,0,2,1,66.7
164,Marcus Harness,ENG,MF,Ipswich Town,28,1996,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.0
165,Jack Harrison,ENG,FW,Everton,27,1996,4.1,0,0,0,1,9,2,11,3,4,0,0,0,16,2,3,40.0
166,Taylor Harwood-Bellis,ENG,DF,Southampton,22,2002,3.6,2,0,0,9,0,0,1,4,1,0,0,0,11,1,8,11.1
167,Kai Havertz,GER,"FW,MF",Arsenal,25,1999,6.0,0,0,0,11,8,3,1,3,4,0,0,0,16,24,30,44.4
168,Jan Paul van Hecke,NED,DF,Brighton,24,2000,5.0,1,0,0,3,1,0,1,5,5,0,0,0,29,12,10,54.5
169,Hwang Hee-chan,KOR,"FW,MF",Wolves,28,1996,2.5,0,0,0,1,6,0,4,1,0,0,0,0,10,2,3,40.0
170,Dean Henderson,ENG,GK,Crystal Palace,27,1997,6.0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0
171,Mads Hermansen,DEN,GK,Leicester City,24,2000,6.0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,100.0
172,Son Heung-min,KOR,FW,Tottenham,32,1992,5.0,0,0,0,1,5,1,8,2,2,0,0,0,20,1,6,14.3
173,Jack Hinshelwood,ENG,"DF,MF",Brighton,19,2005,5.7,1,0,0,5,2,0,18,2,4,0,0,0,16,3,4,42.9
174,George Hirst,ENG,FW,Ipswich Town,25,1999,0.6,0,0,0,1,1,0,1,0,1,0,0,0,1,3,3,50.0
175,Mason Holgate,ENG,"FW,DF",Everton,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
