Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
190,Mathias Jensen,DEN,MF,Brentford,28,1996,2.6,9,3.4,7,2,0,0,0,0,2,0.76,1,1,0,0,0,0
191,Gabriel Jesus,BRA,"FW,MF",Arsenal,27,1997,0.2,1,4.09,0,0,0,1,0,0,1,4.09,0,0,0,1,0,0
192,Raúl Jiménez,MEX,FW,Fulham,33,1991,2.9,5,1.71,3,0,0,1,1,0,1,0.34,1,0,0,0,0,0
193,João Pedro,BRA,"MF,FW",Brighton,23,2001,3.1,9,2.88,7,0,1,0,1,0,1,0.32,1,0,0,0,0,0
194,Joelinton,BRA,MF,Newcastle Utd,28,1996,5.3,8,1.51,7,0,0,1,0,0,1,0.19,1,0,0,0,0,0
195,Ben Johnson,ENG,"DF,FW",Ipswich Town,24,2000,1.5,2,1.35,1,0,0,0,1,0,1,0.68,1,0,0,0,0,0
196,Brennan Johnson,WAL,FW,Tottenham,23,2001,4.7,10,2.13,8,0,1,1,0,0,0,0.0,0,0,0,0,0,0
197,Sam Johnstone,ENG,GK,Wolves,31,1993,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
198,Curtis Jones,ENG,MF,Liverpool,23,2001,0.7,1,1.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
199,Jorginho,ITA,MF,Arsenal,32,1991,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
200,Diogo Jota,POR,FW,Liverpool,27,1996,4.1,7,1.69,4,0,0,2,1,0,3,0.72,2,0,0,0,1,0
201,James Justin,ENG,DF,Leicester City,26,1998,6.0,5,0.83,3,0,0,0,2,0,0,0.0,0,0,0,0,0,0
202,Ferdi Kadioglu,TUR,DF,Brighton,24,1999,1.0,5,4.79,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0
203,Daichi Kamada,JPN,MF,Crystal Palace,28,1996,4.0,14,3.48,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
204,Michael Keane,ENG,DF,Everton,31,1993,5.0,4,0.8,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
205,Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,1.0,1,1.0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0
206,Lloyd Kelly,ENG,DF,Newcastle Utd,25,1998,2.3,1,0.44,1,0,0,0,0,0,1,0.44,1,0,0,0,0,0
207,Milos Kerkez,HUN,DF,Bournemouth,20,2003,4.7,13,2.75,11,0,0,0,0,2,1,0.21,1,0,0,0,0,0
208,Bilal El Khannouss,MAR,MF,Leicester City,20,2004,0.9,2,2.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
209,Max Kilman,ENG,DF,West Ham,27,1997,6.0,7,1.17,6,0,1,0,0,0,2,0.33,1,0,1,0,0,0
210,Jakub Kiwior,POL,DF,Arsenal,24,2000,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
211,Justin Kluivert,NED,"MF,FW",Bournemouth,25,1999,3.4,12,3.52,11,0,1,0,0,0,3,0.88,3,0,0,0,0,0
212,Ibrahima Konaté,FRA,DF,Liverpool,25,1999,5.3,4,0.75,4,0,0,0,0,0,1,0.19,1,0,0,0,0,0
213,Ezri Konsa,ENG,DF,Aston Villa,26,1997,6.0,4,0.67,4,0,0,0,0,0,1,0.17,1,0,0,0,0,0
214,Mateo Kovačić,CRO,MF,Manchester City,30,1994,4.8,16,3.32,14,0,1,1,0,0,3,0.62,1,0,1,1,0,0
215,Emil Krafth,SWE,DF,Newcastle Utd,30,1994,2.7,3,1.12,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
216,Mohammed Kudus,GHA,"FW,MF",West Ham,24,2000,5.5,16,2.93,12,0,3,1,0,0,0,0.0,0,0,0,0,0,0
217,Dejan Kulusevski,SWE,"MF,FW",Tottenham,24,2000,4.9,36,7.4,26,6,2,0,2,0,2,0.41,1,0,1,0,0,0
218,Maxence Lacroix,FRA,DF,Crystal Palace,24,2000,3.0,5,1.67,5,0,0,0,0,0,1,0.33,1,0,0,0,0,0
219,Adam Lallana,ENG,MF,Southampton,36,1988,1.1,3,2.84,3,0,0,0,0,0,2,1.89,2,0,0,0,0,0
220,Roméo Lavia,BEL,MF,Chelsea,20,2004,0.9,1,1.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
221,Mario Lemina,GAB,"MF,FW",Wolves,31,1993,6.0,10,1.67,9,0,1,0,0,0,1,0.17,1,0,0,0,0,0
222,Bernd Leno,GER,GK,Fulham,32,1992,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
223,Jefferson Lerma,COL,"MF,DF",Crystal Palace,29,1994,2.4,6,2.52,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
224,Rico Lewis,ENG,"MF,DF",Manchester City,19,2004,4.4,5,1.14,5,0,0,0,0,0,1,0.23,1,0,0,0,0,0
225,Keane Lewis-Potter,ENG,"DF,MF",Brentford,23,2001,4.1,5,1.22,3,0,1,0,1,0,1,0.24,1,0,0,0,0,0
226,Myles Lewis-Skelly,ENG,DF,Arsenal,18,2006,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
