Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
156,Bruno Guimarães,BRA,MF,Newcastle Utd,26,1997,6.0,288,259,28,27,3,2,4,1,0,0,0,0,234,1,8
157,Marc Guiu,ESP,FW,Chelsea,18,2006,0.3,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
158,İlkay Gündoğan,GER,MF,Manchester City,33,1990,3.2,186,175,10,1,3,0,9,0,6,1,2,0,167,1,2
159,Malo Gusto,FRA,DF,Chelsea,21,2003,3.8,179,154,25,8,0,1,7,17,0,0,0,0,153,0,6
160,Joško Gvardiol,CRO,DF,Manchester City,22,2002,5.5,363,325,37,6,1,0,2,31,0,0,0,0,335,1,5
161,Erling Haaland,NOR,FW,Manchester City,24,2000,6.0,63,62,1,0,0,0,0,0,0,0,0,0,38,0,2
162,Lewis Hall,ENG,DF,Newcastle Utd,20,2004,3.8,238,202,35,7,1,0,14,22,6,5,0,0,192,1,4
163,Ali Al Hamadi,IRQ,FW,Ipswich Town,22,2002,0.4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
164,Marcus Harness,ENG,MF,Ipswich Town,28,1996,0.5,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1
165,Jack Harrison,ENG,FW,Everton,27,1996,4.1,99,96,1,0,0,0,11,1,0,0,0,0,72,2,3
166,Taylor Harwood-Bellis,ENG,DF,Southampton,22,2002,3.6,317,305,11,8,1,0,1,1,0,0,0,0,280,1,2
167,Kai Havertz,GER,"FW,MF",Arsenal,25,1999,6.0,128,126,2,0,1,0,1,2,0,0,0,0,96,0,1
168,Jan Paul van Hecke,NED,DF,Brighton,24,2000,5.0,426,406,20,18,0,1,1,0,0,0,0,0,390,0,3
169,Hwang Hee-chan,KOR,"FW,MF",Wolves,28,1996,2.5,55,51,4,0,0,0,4,4,0,0,0,0,45,0,3
170,Dean Henderson,ENG,GK,Crystal Palace,27,1997,6.0,182,124,58,7,0,0,0,0,0,0,0,0,125,0,0
171,Mads Hermansen,DEN,GK,Leicester City,24,2000,6.0,212,155,55,18,0,1,0,0,0,0,0,0,146,2,0
