Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
74,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,6,503.0,84.0,93.1,5.6,6,84.0,3,0,0.0,0,0.67,7.0,11.0,-4.0,-0.72,6.0,8.3,-2.3,-0.42
75,Thomas Cannon,IRL,FW,Leicester City,21,2002,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Diego Carlos,BRA,DF,Aston Villa,31,1993,2,180.0,90.0,33.3,2.0,2,90.0,2,0,0.0,3,2.0,5.0,3.0,2.0,1.0,2.5,1.7,0.9,0.43
77,Scott Carson,ENG,GK,Manchester City,39,1985,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,6,230.0,38.0,42.6,2.6,2,85.0,0,4,15.0,0,1.17,2.0,6.0,-4.0,-1.57,1.4,7.0,-5.6,-2.21
79,Cesare Casadei,ITA,MF,Chelsea,21,2003,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Casemiro,BRA,MF,Manchester Utd,32,1992,5,274.0,55.0,50.7,3.0,3,75.0,2,2,25.0,1,1.2,3.0,6.0,-3.0,-0.99,5.3,5.6,-0.3,-0.1
81,Kaelan Casey,ENG,DF,West Ham,19,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Matty Cash,POL,DF,Aston Villa,27,1997,2,96.0,48.0,17.8,1.1,2,48.0,0,0,0.0,0,1.5,2.0,1.0,1.0,0.94,1.9,1.5,0.3,0.32
83,Timothy Castagne,BEL,"DF,MF",Fulham,28,1995,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Trevoh Chalobah,ENG,"DF,MF",Crystal Palace,25,1999,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,5,93.0,19.0,17.2,1.0,1,64.0,0,4,7.0,1,0.6,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0
86,Federico Chiesa,ITA,FW,Liverpool,26,1997,1,19.0,19.0,3.5,0.2,0,0.0,0,1,19.0,1,3.0,0.0,0.0,0.0,0.0,0.4,0.5,-0.1,-0.64
87,Chiquinho,POR,MF,Wolves,24,2000,1,7.0,7.0,1.3,0.1,0,0.0,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.89
88,Hamza Choudhury,ENG,MF,Leicester City,26,1997,1,15.0,15.0,2.8,0.2,0,0.0,0,1,15.0,4,1.0,0.0,1.0,-1.0,-6.0,0.0,1.0,-1.0,-6.06
89,Ryan Christie,SCO,MF,Bournemouth,29,1995,5,292.0,58.0,64.9,3.2,4,66.0,0,1,28.0,0,1.0,2.0,5.0,-3.0,-0.92,5.0,4.1,0.9,0.28
90,Jack Clarke,ENG,FW,Ipswich Town,23,2000,4,160.0,40.0,29.6,1.8,1,89.0,0,3,24.0,0,1.0,3.0,2.0,1.0,0.56,1.9,1.7,0.2,0.13
91,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,2,153.0,77.0,28.3,1.7,2,77.0,1,0,0.0,4,1.0,2.0,3.0,-1.0,-0.59,1.8,3.6,-1.8,-1.03
92,Conor Coady,ENG,DF,Leicester City,31,1993,1,8.0,8.0,1.5,0.1,0,0.0,0,1,8.0,2,1.0,0.0,1.0,-1.0,-11.25,0.0,1.0,-1.0,-11.02
93,Séamus Coleman,IRL,DF,Everton,35,1988,1,90.0,90.0,16.7,1.0,1,90.0,1,0,0.0,0,0.0,2.0,3.0,-1.0,-1.0,1.8,2.4,-0.6,-0.57
94,Nathan Collins,IRL,DF,Brentford,23,2001,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.17,8.0,10.0,-2.0,-0.33,7.0,11.7,-4.7,-0.79
95,Toby Collyer,ENG,MF,Manchester Utd,20,2004,1,45.0,45.0,8.3,0.5,0,0.0,0,1,45.0,3,0.0,0.0,1.0,-1.0,-2.0,1.3,1.1,0.2,0.36
96,Levi Colwill,ENG,DF,Chelsea,21,2003,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,2.17,15.0,7.0,8.0,1.33,12.1,7.0,5.1,0.85
97,Lewis Cook,ENG,MF,Bournemouth,27,1997,5,443.0,89.0,98.4,4.9,5,89.0,4,0,0.0,0,1.0,4.0,8.0,-4.0,-0.81,8.3,7.3,1.1,0.21
98,Maxwel Cornet,CIV,FW,Southampton,28,1996,1,27.0,27.0,6.0,0.3,0,0.0,0,1,27.0,1,0.0,0.0,1.0,-1.0,-3.33,0.0,0.8,-0.8,-2.73
99,Vladimír Coufal,CZE,DF,West Ham,32,1992,4,200.0,50.0,37.0,2.2,2,73.0,0,2,27.0,2,1.0,2.0,3.0,-1.0,-0.45,3.3,4.1,-0.9,-0.39
100,Aaron Cresswell,ENG,DF,West Ham,34,1989,2,20.0,10.0,3.7,0.2,0,0.0,0,2,10.0,3,1.5,0.0,0.0,0.0,0.0,0.5,0.7,-0.2,-1.03
101,Marc Cucurella,ESP,DF,Chelsea,26,1998,6,500.0,83.0,92.6,5.6,6,83.0,3,0,0.0,0,2.17,15.0,6.0,9.0,1.62,11.7,6.5,5.2,0.93
102,Jorge Cuenca,ESP,DF,Fulham,24,1999,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,6,461.0,77.0,85.4,5.1,5,85.0,4,1,34.0,0,0.17,6.0,14.0,-8.0,-1.56,5.2,8.3,-3.1,-0.6
104,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.17,5.0,8.0,-3.0,-0.5,10.4,10.8,-0.4,-0.07
105,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,6,374.0,62.0,69.3,4.2,4,83.0,1,2,21.0,0,1.17,7.0,6.0,1.0,0.24,5.6,8.5,-2.9,-0.7
106,Danilo,BRA,MF,Nott'ham Forest,23,2001,1,14.0,14.0,2.6,0.2,1,14.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,-1.71
107,Ben Davies,WAL,"DF,MF",Tottenham,31,1993,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Leif Davis,ENG,DF,Ipswich Town,24,2000,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,0.67,5.0,10.0,-5.0,-0.83,4.3,11.7,-7.4,-1.23
109,Craig Dawson,ENG,DF,Wolves,34,1990,5,301.0,60.0,55.7,3.3,3,90.0,3,2,16.0,0,0.2,3.0,7.0,-4.0,-1.2,2.8,4.7,-1.9,-0.57
110,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4,356.0,89.0,65.9,4.0,4,89.0,2,0,0.0,0,3.0,11.0,3.0,8.0,2.02,9.0,2.8,6.1,1.55
111,Liam Delap,ENG,FW,Ipswich Town,21,2003,6,454.0,76.0,84.1,5.0,6,76.0,0,0,0.0,0,0.67,4.0,9.0,-5.0,-0.99,3.4,10.3,-6.9,-1.36
112,Sepp van den Berg,NED,DF,Brentford,22,2001,4,286.0,72.0,53.0,3.2,3,90.0,3,1,16.0,1,1.0,3.0,7.0,-4.0,-1.26,2.3,7.1,-4.7,-1.49
113,Will Dennis,ENG,GK,Bournemouth,24,2000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Justin Devenny,NIR,MF,Crystal Palace,20,2003,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Alfie Devine,ENG,MF,Tottenham,20,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,3,46.0,15.0,8.5,0.5,0,0.0,0,3,15.0,1,2.0,1.0,1.0,0.0,0.0,0.5,0.4,0.2,0.31
117,Amad Diallo,CIV,FW,Manchester Utd,22,2002,6,342.0,57.0,63.3,3.8,4,79.0,1,2,14.0,0,1.17,4.0,1.0,3.0,0.79,8.1,4.7,3.5,0.91
118,Rúben Dias,POR,DF,Manchester City,27,1997,6,457.0,76.0,84.6,5.1,5,90.0,5,1,7.0,0,2.33,12.0,5.0,7.0,1.38,10.1,4.3,5.9,1.16
119,Luis Díaz,COL,FW,Liverpool,27,1997,6,428.0,71.0,79.3,4.8,6,71.0,1,0,0.0,0,2.5,12.0,1.0,11.0,2.31,11.0,2.8,8.2,1.72
120,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,5,206.0,41.0,45.8,2.3,2,72.0,0,3,21.0,0,0.2,2.0,4.0,-2.0,-0.87,4.5,4.5,0.0,-0.01
121,Lucas Digne,FRA,DF,Aston Villa,31,1993,6,434.0,72.0,80.4,4.8,6,72.0,1,0,0.0,0,2.17,7.0,8.0,-1.0,-0.21,6.4,4.6,1.8,0.38
122,Issa Diop,FRA,DF,Fulham,27,1997,5,280.0,56.0,51.9,3.1,3,90.0,3,2,5.0,1,2.0,4.0,3.0,1.0,0.32,3.6,3.8,-0.2,-0.06
123,Axel Disasi,FRA,DF,Chelsea,26,1998,2,94.0,47.0,17.4,1.0,1,60.0,0,1,34.0,2,3.0,0.0,0.0,0.0,0.0,1.2,1.9,-0.6,-0.59
124,Roman Dixon,ENG,DF,Everton,19,2004,1,90.0,90.0,16.7,1.0,1,90.0,1,0,0.0,3,0.0,0.0,4.0,-4.0,-4.0,1.0,2.4,-1.5,-1.45
125,Matt Doherty,IRL,DF,Wolves,32,1992,4,210.0,53.0,38.9,2.3,2,90.0,2,2,15.0,2,0.25,2.0,9.0,-7.0,-3.0,2.6,4.0,-1.4,-0.61
126,Jeremy Doku,BEL,FW,Manchester City,22,2002,5,306.0,61.0,56.7,3.4,4,74.0,1,1,10.0,1,2.2,8.0,4.0,4.0,1.18,7.5,2.1,5.4,1.58
127,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,4,162.0,41.0,30.0,1.8,2,55.0,0,2,27.0,2,1.75,0.0,2.0,-2.0,-1.11,1.0,2.5,-1.6,-0.88
128,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,5,306.0,61.0,56.7,3.4,4,75.0,2,1,8.0,1,0.8,3.0,9.0,-6.0,-1.76,3.4,6.0,-2.6,-0.78
129,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,3,93.0,31.0,17.2,1.0,1,45.0,0,2,24.0,1,0.67,1.0,1.0,0.0,0.0,1.8,1.6,0.2,0.21
130,Flynn Downes,ENG,MF,Southampton,25,1999,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.2,2.0,9.0,-7.0,-1.4,6.9,9.5,-2.6,-0.52
131,Tommy Doyle,ENG,MF,Wolves,22,2001,5,69.0,14.0,12.8,0.8,0,0.0,0,5,14.0,1,0.2,0.0,3.0,-3.0,-3.91,0.3,2.8,-2.5,-3.24
132,Radu Drăgușin,ROU,DF,Tottenham,22,2002,2,100.0,50.0,18.5,1.1,1,90.0,1,1,10.0,4,1.5,1.0,2.0,-1.0,-0.9,1.8,2.0,-0.2,-0.17
133,Martin Dúbravka,SVK,GK,Newcastle Utd,35,1989,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
