Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,0,1,0,0.0,1.13,0.0,0.0,0.0,20.3,0,0,0,0.0,0.0,0.02,0.0,0.0
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,1,4,4,100.0,1.74,1.74,0.25,0.25,14.5,0,0,0,0.5,0.5,0.13,0.5,0.5
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,2,13,4,30.8,2.33,0.72,0.15,0.5,10.0,0,0,0,1.8,1.8,0.14,0.2,0.2
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,0,2,0,0.0,0.78,0.0,0.0,0.0,23.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,0,8,1,12.5,2.63,0.33,0.0,0.0,18.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,0.2,0,2,1,50.0,9.47,4.74,0.0,0.0,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
67,Chiquinho,POR,MF,Wolves,24,2000,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,3.2,0,1,0,0.0,0.31,0.0,0.0,0.0,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,1.8,0,5,0,0.0,2.81,0.0,0.0,0.0,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
72,Conor Coady,ENG,DF,Leicester City,31,1993,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6
74,Nathan Collins,IRL,DF,Brentford,23,2001,6.0,0,5,3,60.0,0.83,0.5,0.0,0.0,10.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
