Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
100,Aaron Cresswell,eng ENG,DF,West Ham,34-290,1989,2,20,10,3.7,0.2,0,,0,2,10,3,1.50,0,0,0,0.00,+0.69,0.5,0.7,-0.2,-1.03,-0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Marc Cucurella,es ESP,DF,Chelsea,26-070,1998,6,500,83,92.6,5.6,6,83,3,0,,0,2.17,15,6,+9,+1.62,+3.87,11.7,6.5,+5.2,+0.93,+1.01,Matches
102,Jorge Cuenca,es ESP,DF,Fulham,24-318,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-126,1999,6,461,77,85.4,5.1,5,85,4,1,34,0,0.17,6,14,-8,-1.56,+0.72,5.2,8.3,-3.1,-0.60,+0.61,Matches
104,Diogo Dalot,pt POR,DF,Manchester Utd,25-196,1999,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,5,8,-3,-0.50,,10.4,10.8,-0.4,-0.07,,Matches
105,Mikkel Damsgaard,dk DEN,MF,Brentford,24-089,2000,6,374,62,69.3,4.2,4,83,1,2,21,0,1.17,7,6,+1,+0.24,+1.87,5.6,8.5,-2.9,-0.70,+0.30,Matches
106,Danilo,br BRA,MF,Nott'ham Forest,23-154,2001,1,14,14,2.6,0.2,1,14,0,0,,0,1.00,0,0,0,0.00,-0.17,0.0,0.3,-0.3,-1.71,-2.08,Matches
107,Ben Davies,wls WAL,"DF,MF",Tottenham,31-159,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
108,Leif Davis,eng ENG,DF,Ipswich Town,24-262,2000,6,540,90,100.0,6.0,6,90,6,0,,0,0.67,5,10,-5,-0.83,,4.3,11.7,-7.4,-1.23,,Matches
109,Craig Dawson,eng ENG,DF,Wolves,34-147,1990,5,301,60,55.7,3.3,3,90,3,2,16,0,0.20,3,7,-4,-1.20,+1.06,2.8,4.7,-1.9,-0.57,+0.26,Matches
110,Kevin De Bruyne,be BEL,MF,Manchester City,33-094,1991,4,356,89,65.9,4.0,4,89,2,0,,0,3.00,11,3,+8,+2.02,+2.02,9.0,2.8,+6.1,+1.55,+1.09,Matches
111,Liam Delap,eng ENG,FW,Ipswich Town,21-235,2003,6,454,76,84.1,5.0,6,76,0,0,,0,0.67,4,9,-5,-0.99,-0.99,3.4,10.3,-6.9,-1.36,-0.80,Matches
112,Sepp van den Berg,nl NED,DF,Brentford,22-285,2001,4,286,72,53.0,3.2,3,90,3,1,16,1,1.00,3,7,-4,-1.26,-1.97,2.3,7.1,-4.7,-1.49,-1.49,Matches
113,Will Dennis,eng ENG,GK,Bournemouth,24-082,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,Justin Devenny,nir NIR,MF,Crystal Palace,20-355,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
115,Alfie Devine,eng ENG,MF,Tottenham,20-060,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-024,1998,3,46,15,8.5,0.5,0,,0,3,15,1,2.00,1,1,0,0.00,-1.46,0.5,0.4,+0.2,+0.31,-0.59,Matches
117,Amad Diallo,ci CIV,FW,Manchester Utd,22-081,2002,6,342,57,63.3,3.8,4,79,1,2,14,0,1.17,4,1,+3,+0.79,+3.52,8.1,4.7,+3.5,+0.91,+2.66,Matches
118,Rúben Dias,pt POR,DF,Manchester City,27-139,1997,6,457,76,84.6,5.1,5,90,5,1,7,0,2.33,12,5,+7,+1.38,+0.29,10.1,4.3,+5.9,+1.16,-0.13,Matches
