stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,5.7,0,0,0,0.2,0.2,0.17,-0.2,-0.2
,,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.3,0,2,0,0.0,0.86,0.0,0.0,0.0,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,2.5,0,3,1,33.3,1.19,0.4,0.0,0.0,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,1.2,0,1,0,0.0,0.85,0.0,0.0,0.0,21.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
,,1.4,0,2,0,0.0,1.43,0.0,0.0,0.0,9.6,0,0,0,0.2,0.2,0.1,-0.2,-0.2
,,1.0,0,2,0,0.0,1.94,0.0,0.0,0.0,21.8,0,0,0,0.0,0.0,0.02,0.0,0.0
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,17.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2
,,0.5,0,2,0,0.0,3.91,0.0,0.0,0.0,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0
,,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,11.5,0,0,0,0.0,0.0,0.02,0.0,0.0
,,3.8,0,2,0,0.0,0.52,0.0,0.0,0.0,15.4,1,0,0,0.2,0.2,0.08,-0.2,-0.2
,,1.2,3,8,4,50.0,6.73,3.36,0.38,0.75,13.9,0,0,0,1.0,1.0,0.13,2.0,2.0
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
,,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.9,0,6,3,50.0,2.06,1.03,0.0,0.0,17.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.5,0,2,1,50.0,4.29,2.14,0.0,0.0,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,2,0,0.0,9.47,0.0,0.0,0.0,33.0,0,0,0,0.0,0.0,0.02,0.0,0.0
,,2.3,0,6,2,33.3,2.66,0.89,0.0,0.0,14.3,0,0,1,1.9,1.1,0.19,-1.9,-1.1
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,1,18,5,27.8,4.5,1.25,0.06,0.2,19.1,3,0,0,1.6,1.6,0.09,-0.6,-0.6
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
