stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,126,1.4,1,71.0,0,3,18.0,0,0.5,3,1,2,1.43,1.9,1.7,0.2,0.11
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,5,6,-1,-0.25,5.1,7.8,-2.7,-0.67
,,4,333,3.7,4,83.0,2,0,0.0,0,1.5,3,5,-2,-0.54,6.3,5.4,0.9,0.25
,,4,359,4.0,4,90.0,3,0,0.0,0,1.5,6,6,0,0.0,5.9,7.3,-1.4,-0.36
,,1,1,0.0,0,0.0,0,1,1.0,3,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,12,0.1,0,0.0,0,3,4.0,0,0.33,0,0,0,0.0,0.3,0.2,0.1,0.71
,,2,180,2.0,2,90.0,2,0,0.0,2,0.0,0,2,-2,-1.0,1.9,2.5,-0.6,-0.3
,,4,304,3.4,4,76.0,1,0,0.0,0,2.25,6,4,2,0.59,5.8,2.9,2.9,0.87
,,4,360,4.0,4,90.0,4,0,0.0,0,0.0,4,13,-9,-2.25,4.1,8.3,-4.2,-1.05
,,2,19,0.2,0,0.0,0,2,10.0,0,1.5,1,1,0,0.0,0.8,0.6,0.2,0.91
,,1,1,0.0,0,0.0,0,1,1.0,3,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,3,1,2,0.67,3.7,1.8,1.9,0.63
,,3,169,1.9,3,56.0,0,0,0.0,0,2.33,3,1,2,1.07,2.8,2.0,0.8,0.41
,,4,271,3.0,4,68.0,0,0,0.0,0,2.0,3,2,1,0.33,4.7,2.9,1.8,0.61
,,4,358,4.0,4,90.0,3,0,0.0,0,0.5,3,7,-4,-1.01,4.8,6.5,-1.7,-0.44
,,4,351,3.9,4,88.0,1,0,0.0,0,2.0,5,2,3,0.77,6.0,4.3,1.8,0.45
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,10,0.1,0,0.0,0,1,10.0,0,3.0,0,0,0,0.0,0.2,0.1,0.1,0.98
,,1,79,0.9,1,79.0,0,0,0.0,1,3.0,1,0,1,1.14,0.2,0.9,-0.6,-0.69
,,4,354,3.9,4,89.0,3,0,0.0,0,0.5,2,7,-5,-1.27,1.5,8.2,-6.7,-1.7
,,4,360,4.0,4,90.0,4,0,0.0,0,0.25,4,11,-7,-1.75,4.4,5.4,-1.0,-0.25
,,2,105,1.2,2,53.0,0,0,0.0,0,1.5,0,1,-1,-0.86,1.9,1.0,0.9,0.78
,,2,62,0.7,1,45.0,0,1,17.0,2,2.0,2,2,0,0.0,1.4,2.1,-0.7,-0.98
,,4,252,2.8,3,78.0,0,1,18.0,0,1.25,3,3,0,0.0,3.4,2.7,0.7,0.25
,,4,350,3.9,4,88.0,3,0,0.0,0,0.5,3,7,-4,-1.03,4.6,6.5,-1.9,-0.49
,,3,270,3.0,3,90.0,3,0,0.0,0,0.67,2,5,-3,-1.0,1.1,5.9,-4.8,-1.61
,,4,360,4.0,4,90.0,4,0,0.0,0,2.0,4,2,2,0.5,5.0,3.0,2.0,0.5
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,206,2.3,3,59.0,1,1,30.0,0,2.5,3,2,1,0.44,2.8,2.9,0.0,-0.02
,,4,295,3.3,4,74.0,3,0,0.0,0,0.0,3,10,-7,-2.14,3.2,6.6,-3.3,-1.02
,,4,224,2.5,2,81.0,0,2,31.0,0,0.0,4,6,-2,-0.8,2.6,3.5,-0.9,-0.37
,,4,343,3.8,4,86.0,2,0,0.0,0,0.5,5,6,-1,-0.26,3.3,5.8,-2.5,-0.66
,,3,96,1.1,0,0.0,0,3,32.0,1,2.0,0,2,-2,-1.87,1.5,1.7,-0.2,-0.22
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,3,0.0,0,0.0,0,1,3.0,1,3.0,0,0,0,0.0,0.0,0.0,0.0,0.1
,,1,25,0.3,0,0.0,0,1,25.0,0,1.0,0,1,-1,-3.6,0.7,0.3,0.3,1.14
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,90.0,2,0,0.0,0,1.0,2,2,0,0.0,3.5,2.9,0.5,0.25
,,4,180,2.0,2,51.0,0,2,39.0,0,1.75,5,2,3,1.5,3.4,1.8,1.6,0.82
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,90.0,1,0,0.0,0,1.0,2,2,0,0.0,2.5,1.2,1.3,1.31
,,4,82,0.9,1,57.0,0,3,8.0,0,1.75,1,1,0,0.0,1.3,1.2,0.1,0.11
,,3,21,0.2,0,0.0,0,3,7.0,1,3.0,1,0,1,4.29,0.8,0.2,0.5,2.33
,,3,65,0.7,0,0.0,0,3,22.0,1,2.0,0,1,-1,-1.38,0.8,0.8,-0.1,-0.11
,,1,5,0.1,0,0.0,0,1,5.0,3,3.0,0,0,0,0.0,0.0,0.1,-0.1,-1.93
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,6,6,0,0.0,5.9,7.3,-1.4,-0.36
,,1,27,0.3,0,0.0,0,1,27.0,3,0.0,0,1,-1,-3.33,0.2,0.7,-0.5,-1.64
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,90.0,1,0,0.0,1,1.0,0,0,0,0.0,0.3,1.6,-1.3,-1.28
,,3,162,1.8,2,70.0,0,1,23.0,0,1.0,3,1,2,1.11,3.0,1.8,1.2,0.65
,,2,119,1.3,1,87.0,0,1,32.0,0,1.0,1,1,0,0.0,0.5,1.4,-0.9,-0.67
,,2,179,2.0,2,90.0,1,0,0.0,2,0.5,3,4,-1,-0.5,1.7,3.9,-2.2,-1.13
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,270,3.0,4,68.0,1,0,0.0,0,2.25,4,4,0,0.0,5.2,3.6,1.6,0.52
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,5,5,0,0.0,7.9,5.4,2.4,0.61
,,2,25,0.3,0,0.0,0,2,13.0,0,1.5,0,0,0,0.0,0.0,0.7,-0.7,-2.48
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,112,1.2,1,68.0,0,2,22.0,0,1.67,3,2,1,0.8,2.9,2.1,0.7,0.58
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,352,3.9,4,88.0,3,0,0.0,0,1.75,8,5,3,0.77,5.5,4.8,0.7,0.18
,,4,304,3.4,4,76.0,1,0,0.0,0,1.0,4,5,-1,-0.3,3.9,6.4,-2.5,-0.74
,,4,297,3.3,3,84.0,2,1,45.0,0,1.0,5,4,1,0.3,4.1,6.8,-2.7,-0.81
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,6,1,5,1.25,5.0,4.2,0.8,0.2
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,345,3.8,4,86.0,0,0,0.0,0,1.25,4,3,1,0.26,4.6,3.0,1.5,0.4
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,160,1.8,2,80.0,1,0,0.0,1,1.0,1,1,0,0.0,0.7,2.5,-1.8,-1.01
,,2,18,0.2,0,0.0,0,2,9.0,1,3.0,1,0,1,5.0,0.5,1.0,-0.5,-2.5
,,4,360,4.0,4,90.0,4,0,0.0,0,0.0,4,13,-9,-2.25,4.1,8.3,-4.2,-1.05
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,6,6,0,0.0,5.9,7.3,-1.4,-0.36
,,2,48,0.5,0,0.0,0,2,24.0,0,0.0,0,2,-2,-3.75,0.3,0.8,-0.5,-0.93
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,6,3,3,0.75,5.2,6.5,-1.3,-0.32
,,4,359,4.0,4,90.0,3,0,0.0,0,1.0,6,4,2,0.5,5.4,4.4,0.9,0.23
,,1,45,0.5,1,45.0,0,0,0.0,3,3.0,0,0,0,0.0,0.1,0.3,-0.2,-0.43
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,90.0,2,0,0.0,0,0.0,1,6,-5,-2.5,2.6,5.4,-2.8,-1.41
,,4,186,2.1,1,68.0,0,3,39.0,0,2.25,5,5,0,0.0,3.4,2.6,0.8,0.38
,,4,316,3.5,4,79.0,2,0,0.0,0,1.5,4,4,0,0.0,6.2,4.7,1.5,0.43
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,6,1,5,1.25,5.0,4.2,0.8,0.2
,,4,15,0.2,0,0.0,0,4,4.0,0,1.25,0,1,-1,-6.0,0.1,1.2,-1.1,-6.85
,,3,149,1.7,2,74.0,0,1,2.0,1,0.33,2,2,0,0.0,1.3,2.5,-1.3,-0.77
,,1,90,1.0,1,90.0,1,0,0.0,1,0.0,0,2,-2,-2.0,1.3,1.4,0.0,-0.01
,,3,222,2.5,3,74.0,1,0,0.0,0,2.33,5,0,5,2.03,3.2,1.7,1.6,0.64
,,3,254,2.8,3,85.0,1,0,0.0,1,0.33,2,5,-3,-1.06,2.5,5.0,-2.6,-0.92
,,2,25,0.3,0,0.0,0,2,13.0,0,2.0,2,0,2,7.2,0.9,0.1,0.8,2.76
,,4,324,3.6,4,81.0,1,0,0.0,0,2.25,7,1,6,1.67,6.9,2.5,4.4,1.21
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,4,4,0,0.0,4.6,4.2,0.4,0.1
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,45,0.5,0,0.0,0,1,45.0,1,3.0,0,0,0,0.0,1.4,0.0,1.4,2.76
