stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
,,0.3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
,,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0.0
,,2.0,1,0,0,1,1,0,9,1,1,0,0,0,3,1,2,33.3
,,1.0,0,0,0,3,2,0,0,1,0,0,0,0,3,2,1,66.7
,,0.9,0,0,0,2,0,0,1,1,3,0,0,0,9,1,0,100.0
,,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0.0
,,0.7,0,0,0,0,0,1,0,0,2,0,0,0,3,0,2,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,4.0,1,0,0,5,4,0,1,8,7,0,0,0,20,3,3,50.0
,,0.3,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0.0
,,1.0,0,0,0,0,0,0,0,4,2,0,0,0,2,6,1,85.7
,,1.8,0,0,0,0,2,0,5,0,2,0,0,0,9,3,0,100.0
,,1.3,0,0,0,2,5,1,3,1,1,0,0,0,4,1,3,25.0
,,2.0,1,0,0,2,2,0,0,2,2,0,0,0,9,1,3,25.0
,,3.0,2,0,0,8,6,0,1,6,3,0,0,0,12,8,7,53.3
,,4.0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0.0
,,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0
,,1.2,0,0,0,1,2,1,6,1,4,0,0,0,7,3,2,60.0
,,3.9,2,0,0,1,6,2,18,2,3,0,0,0,15,0,0,0.0
,,3.4,1,0,0,4,2,0,5,2,3,0,0,0,11,2,3,40.0
,,3.3,1,0,0,8,2,0,4,2,3,0,0,0,24,5,4,55.6
,,4.0,1,0,0,8,6,0,0,8,5,0,0,0,15,3,0,100.0
,,3.8,1,0,0,4,8,0,40,1,0,0,0,0,18,5,3,62.5
,,1.8,1,0,0,4,4,0,4,3,1,0,0,0,11,1,2,33.3
,,0.2,1,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0
,,4.0,1,0,0,1,0,0,0,7,7,0,0,1,13,9,6,60.0
,,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
,,4.0,0,0,0,5,7,0,21,5,4,0,0,0,14,1,2,33.3
,,0.5,0,0,0,2,0,0,0,1,2,0,0,0,0,2,2,50.0
,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.1,0,0,0,1,1,0,0,0,2,0,0,0,14,0,1,0.0
,,3.5,0,0,0,2,4,3,5,1,1,0,0,0,12,2,1,66.7
,,4.0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,100.0
,,0.2,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,100.0
,,1.7,0,0,0,3,1,2,1,0,1,0,0,0,7,0,3,0.0
,,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3
,,2.5,3,1,1,3,2,1,10,3,1,0,0,0,10,4,3,57.1
,,2.8,1,0,0,2,1,1,0,1,3,0,0,0,7,3,6,33.3
,,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
,,3.6,1,0,0,2,0,0,21,1,1,0,0,0,18,0,2,0.0
,,4.0,1,0,0,6,1,1,14,7,15,0,0,0,13,5,3,62.5
,,0.5,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0.0
,,3.7,2,0,0,6,4,0,2,8,4,0,0,0,21,2,1,66.7
,,2.8,0,0,0,0,3,0,7,2,1,0,0,0,10,1,0,100.0
,,4.0,0,0,0,3,5,0,2,0,2,0,0,0,20,2,6,25.0
,,4.0,0,0,0,2,4,1,1,1,11,0,0,0,24,10,8,55.6
,,1.0,0,0,0,3,2,1,1,0,0,0,0,0,0,5,2,71.4
,,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
,,3.8,1,0,0,3,9,1,17,0,7,0,0,0,16,1,3,25.0
,,3.9,0,0,0,5,5,2,5,1,2,0,0,0,9,1,0,100.0
,,4.0,1,0,0,6,3,0,0,4,7,0,0,0,8,6,3,66.7
,,4.0,1,0,0,1,1,0,0,0,0,0,1,0,12,1,0,100.0
,,0.5,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0.0
,,2.4,2,0,0,5,4,0,0,2,9,0,0,0,18,5,3,62.5
,,0.3,0,0,0,0,1,0,2,1,0,0,0,0,2,0,1,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,0.7,0,0,0,1,2,0,7,0,0,1,0,0,5,1,2,33.3
,,2.3,1,0,0,3,3,0,13,0,4,1,0,0,9,0,1,0.0
,,2.3,0,0,0,1,2,1,3,0,5,0,0,0,3,7,5,58.3
,,1.3,0,1,0,2,1,0,0,1,0,0,0,0,1,4,3,57.1
,,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
,,1.5,0,0,0,1,9,0,0,3,6,0,0,0,10,1,2,33.3
,,4.0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0.0
,,1.7,1,0,0,4,1,0,1,0,3,0,0,0,6,3,3,50.0
,,4.0,2,0,0,5,6,2,5,0,3,0,0,0,23,7,10,41.2
,,2.8,2,0,0,3,1,0,2,3,5,0,0,0,15,2,6,25.0
,,3.1,0,0,0,3,0,1,3,1,0,0,0,0,7,0,3,0.0
,,0.1,0,0,0,0,2,0,1,1,1,0,0,0,1,1,0,100.0
,,1.4,0,0,0,1,1,0,2,0,0,0,0,0,11,1,4,20.0
,,2.0,1,0,0,3,6,0,0,1,2,0,0,0,9,2,1,66.7
,,2.4,0,0,0,4,1,0,19,0,3,0,0,0,7,0,1,0.0
,,1.7,1,0,0,0,2,0,4,3,2,0,0,0,9,2,1,66.7
,,3.0,0,0,0,4,4,1,3,4,6,0,0,0,10,1,1,50.0
,,2.0,0,0,0,4,4,1,0,0,3,0,0,0,5,4,6,40.0
,,0.2,1,0,0,2,0,0,0,1,1,0,0,0,2,0,1,0.0
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
