stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.8,180,215,83.7,3038.0,692.0,90,99,90.9,72,82,87.8,15,23,65.2,0,0.5,0.1,-0.1,2,16,0,15
,,3.0,216,235,91.9,3948.0,1157.0,76,83,91.6,121,124,97.6,15,21,71.4,1,0.1,0.3,0.7,1,19,0,18
,,2.0,66,72,91.7,1518.0,1020.0,15,15,100.0,33,33,100.0,18,24,75.0,0,0.0,0.0,0.0,0,0,0,0
,,2.0,76,84,90.5,1305.0,561.0,34,35,97.1,38,41,92.7,3,7,42.9,0,0.0,0.0,0.0,0,3,0,3
,,4.0,123,139,88.5,2122.0,1196.0,46,46,100.0,71,72,98.6,6,21,28.6,0,0.0,0.0,0.0,0,0,0,1
,,1.0,68,75,90.7,1066.0,334.0,34,37,91.9,28,30,93.3,4,4,100.0,0,0.1,0.1,-0.1,1,5,0,9
,,3.9,236,263,89.7,3475.0,942.0,135,145,93.1,89,100,89.0,6,6,100.0,0,0.2,0.0,0.0,1,19,0,25
,,1.0,33,42,78.6,769.0,575.0,16,16,100.0,10,10,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0
,,2.3,61,79,77.2,850.0,352.0,36,41,87.8,20,25,80.0,2,6,33.3,0,0.1,0.1,-0.1,3,8,1,7
,,0.2,11,15,73.3,150.0,61.0,6,6,100.0,4,5,80.0,0,3,0.0,0,0.0,0.0,0.0,0,2,0,4
,,1.0,31,43,72.1,418.0,182.0,20,21,95.2,11,13,84.6,0,5,0.0,0,0.0,0.0,0.0,0,3,0,3
,,3.0,17,23,73.9,182.0,20.0,8,9,88.9,5,5,100.0,0,0,0.0,1,0.1,0.5,0.5,4,0,0,1
,,0.2,30,33,90.9,619.0,287.0,7,7,100.0,18,20,90.0,4,4,100.0,0,0.0,0.0,0.0,0,5,0,5
,,3.7,55,66,83.3,642.0,151.0,34,38,89.5,11,14,78.6,2,2,100.0,1,0.2,0.2,0.8,4,4,0,8
,,0.5,27,37,73.0,374.0,76.0,14,16,87.5,9,12,75.0,1,4,25.0,0,0.0,0.0,0.0,0,1,1,2
,,3.8,175,221,79.2,3239.0,1084.0,66,77,85.7,84,97,86.6,22,37,59.5,0,0.4,0.4,-0.4,5,27,1,36
,,4.0,150,179,83.8,2452.0,898.0,77,85,90.6,64,73,87.7,6,15,40.0,0,0.1,0.0,0.0,0,14,0,18
,,1.0,63,72,87.5,1029.0,277.0,32,35,91.4,27,31,87.1,3,5,60.0,1,0.0,0.1,0.9,1,1,0,3
,,3.1,77,106,72.6,1319.0,501.0,37,44,84.1,31,40,77.5,7,13,53.8,0,0.2,0.2,-0.2,3,4,2,5
,,0.7,17,21,81.0,216.0,64.0,12,13,92.3,4,6,66.7,1,2,50.0,1,0.1,0.6,0.4,5,2,0,4
,,0.4,15,18,83.3,172.0,50.0,11,11,100.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,1
,,4.0,193,221,87.3,2858.0,1273.0,105,111,94.6,69,77,89.6,8,17,47.1,0,0.3,0.1,-0.1,2,17,0,15
,,3.2,64,78,82.1,960.0,281.0,39,45,86.7,19,23,82.6,4,8,50.0,1,0.3,0.3,0.7,4,7,0,7
,,3.5,42,65,64.6,633.0,163.0,23,32,71.9,14,19,73.7,3,5,60.0,0,0.1,0.7,-0.7,2,2,1,6
,,3.0,127,145,87.6,2289.0,785.0,50,51,98.0,68,72,94.4,8,18,44.4,0,0.0,0.0,0.0,0,8,0,6
,,0.1,3,3,100.0,52.0,1.0,1,1,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.5,80,90,88.9,1102.0,296.0,44,49,89.8,26,27,96.3,4,6,66.7,0,0.1,0.2,-0.2,3,4,0,8
,,1.7,49,66,74.2,1033.0,535.0,22,26,84.6,19,21,90.5,8,14,57.1,0,0.2,0.1,-0.1,1,9,1,12
,,4.0,142,181,78.5,3165.0,1441.0,44,49,89.8,75,85,88.2,23,46,50.0,0,0.0,0.1,-0.1,1,12,0,15
,,0.9,53,64,82.8,873.0,190.0,27,31,87.1,23,26,88.5,2,4,50.0,0,0.0,0.0,0.0,0,3,0,6
,,2.8,53,68,77.9,708.0,187.0,32,39,82.1,16,19,84.2,1,2,50.0,0,0.1,0.1,-0.1,3,7,0,7
,,2.8,82,106,77.4,1235.0,310.0,47,56,83.9,34,43,79.1,1,2,50.0,0,0.7,0.3,-0.3,5,14,0,19
