stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.1,13,1,10,2,1,0,13,2,1,50.0,1,50.0,9,62.0,32.0,0,0,0,2,0,8,0
,,0.4,36,3,6,10,20,2,36,0,0,0.0,0,0.0,8,14.0,7.0,0,0,0,0,0,16,4
,,0.8,32,3,9,16,8,2,32,1,0,0.0,1,100.0,19,66.0,27.0,0,1,0,1,0,21,2
,,4.0,300,39,125,154,22,0,300,3,3,100.0,0,0.0,201,1254.0,801.0,8,6,0,1,1,218,2
,,3.6,147,0,11,57,85,20,147,27,16,59.3,8,29.6,103,904.0,493.0,16,7,9,7,3,114,29
,,1.0,20,15,20,0,0,0,20,0,0,0.0,0,0.0,14,86.0,17.0,0,0,0,0,0,12,0
,,0.7,52,2,11,17,26,0,52,1,1,100.0,0,0.0,20,94.0,70.0,1,1,0,0,1,24,3
,,1.9,65,1,13,21,32,8,65,5,1,20.0,4,80.0,37,269.0,97.0,6,4,2,1,7,36,7
,,0.4,36,1,11,17,8,0,36,0,0,0.0,0,0.0,17,95.0,56.0,1,1,0,0,1,25,3
,,3.8,175,32,91,64,22,1,175,2,2,100.0,0,0.0,68,264.0,114.0,2,0,0,3,0,81,0
,,3.8,260,8,51,112,98,9,260,6,2,33.3,4,66.7,137,723.0,391.0,9,7,1,3,2,175,17
,,0.2,15,1,3,9,3,0,15,1,0,0.0,0,0.0,9,43.0,11.0,0,0,0,0,1,12,1
,,0.7,31,0,5,21,5,1,31,1,0,0.0,1,100.0,16,54.0,34.0,1,0,0,0,0,19,0
,,0.1,4,0,0,0,4,1,4,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,3,1
,,4.0,377,47,173,195,10,7,377,0,0,0.0,0,0.0,210,850.0,389.0,0,3,0,0,1,260,0
