Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
436,Ignace Van Der Brempt,be BEL,DF,Como,22-182,2002,2.5,6,2.40,5,0,0,0,1,0,1,0.40,1,0,0,0,0,0,Matches
437,Devis Vásquez,co COL,GK,Empoli,26-141,1998,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
438,Johan Vásquez,mx MEX,DF,Genoa,25-344,1998,5.3,7,1.31,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
439,Matías Vecino,uy URU,MF,Lazio,33-037,1991,1.7,3,1.81,3,0,0,0,0,0,1,0.60,1,0,0,0,0,0,Matches
440,Simone Verdi,it ITA,MF,Como,32-080,1992,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
441,Samuele Vignato,it ITA,MF,Monza,20-219,2004,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
442,Nicolas Viola,it ITA,"FW,MF",Cagliari,34-354,1989,0.6,4,6.67,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
443,Mattia Viti,it ITA,DF,Empoli,22-250,2002,6.0,4,0.67,2,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
444,Vitinha,pt POR,FW,Genoa,24-199,2000,4.6,13,2.83,9,1,1,0,2,0,1,0.22,1,0,0,0,0,0,Matches
445,Dušan Vlahović,rs SRB,FW,Juventus,24-246,2000,5.4,4,0.74,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
446,Vanja Vlahović,rs SRB,MF,Atalanta,20-191,2004,0.2,1,5.63,0,0,0,0,1,0,1,5.63,0,0,0,0,1,0,Matches
447,Nikola Vlašić,hr CRO,FW,Torino,26-362,1997,0.3,1,3.21,1,0,0,0,0,0,1,3.21,1,0,0,0,0,0,Matches
448,Alessandro Vogliacco,it ITA,DF,Genoa,26-016,1998,2.7,3,1.13,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
449,Mërgim Vojvoda,xk KVX,DF,Torino,29-242,1995,3.8,5,1.33,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
450,Stefan de Vrij,nl NED,DF,Inter,32-238,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
451,Sebastian Walukiewicz,pl POL,DF,Torino,24-178,2000,1.7,3,1.76,3,0,0,0,0,0,1,0.59,1,0,0,0,0,0,Matches
452,Sebastian Walukiewicz,pl POL,DF,Empoli,24-178,2000,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Timothy Weah,us USA,FW,Juventus,24-221,2000,1.3,2,1.58,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
454,Mateusz Wieteska,pl POL,DF,Cagliari,27-232,1997,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
455,John Yeboah,ec ECU,"MF,FW",Venezia,24-099,2000,0.6,1,1.84,1,0,0,0,0,0,1,1.84,1,0,0,0,0,0,Matches
456,Kenan Yıldız,tr TUR,"FW,MF",Juventus,19-149,2005,5.5,20,3.61,14,2,2,1,1,0,3,0.54,3,0,0,0,0,0,Matches
457,Mattia Zaccagni,it ITA,"FW,MF",Lazio,29-106,1995,5.7,24,4.19,11,9,0,2,2,0,3,0.52,2,1,0,0,0,0,Matches
458,Nicola Zalewski,pl POL,"FW,DF",Roma,22-251,2002,1.6,9,5.66,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
459,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,28-319,1995,6.0,10,1.67,9,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
460,Francesco Zampano,it ITA,DF,Venezia,31-000,1993,6.0,6,1.00,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
461,Nicolò Zaniolo,it ITA,"FW,MF",Atalanta,25-090,1999,0.4,5,13.64,3,0,0,2,0,0,1,2.73,1,0,0,0,0,0,Matches
462,Alessandro Zanoli,it ITA,DF,Genoa,23-363,2000,2.4,2,0.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
463,Duván Zapata,co COL,FW,Torino,33-182,1991,5.6,19,3.40,13,0,1,3,1,1,1,0.18,0,0,0,1,0,0,Matches
464,Gabriele Zappa,it ITA,DF,Cagliari,24-283,1999,4.5,7,1.56,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
465,Davide Zappacosta,it ITA,DF,Atalanta,32-111,1992,3.5,10,2.89,9,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches
466,Oier Zarraga,es ESP,MF,Udinese,25-270,1999,1.4,3,2.16,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
467,Jordan Zemura,zw ZIM,DF,Udinese,24-321,1999,2.4,2,0.83,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
468,Kevin Zeroli,it ITA,MF,Milan,19-263,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
469,Piotr Zieliński,pl POL,MF,Inter,30-133,1994,0.6,6,9.31,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
470,Nadir Zortea,it ITA,DF,Cagliari,25-103,1999,1.4,5,3.69,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
471,Milan Đurić,ba BIH,FW,Monza,34-131,1990,3.9,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
