Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
90,Gabriel Charpentier,cg CGO,FW,Parma,25-136,1999,0.2,2,3,66.7,38,15,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
91,Walid Cheddira,ma MAR,FW,Napoli,26-252,1998,0.1,2,3,66.7,28,14,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches
92,Leandro Chichizola,ar ARG,GK,Parma,34-187,1990,1.0,36,50,72.0,854,507,6,6,100.0,23,23,100.0,7,20,35.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
93,Samuel Chukwueze,ng NGA,FW,Milan,25-131,1999,2.0,51,71,71.8,866,242,31,35,88.6,13,21,61.9,6,13,46.2,0,0.6,0.3,-0.6,4,7,3,1,6,Matches
94,Aaron Ciammaglichella,it ITA,MF,Torino,19-248,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
95,Alessandro Circati,au AUS,DF,Parma,20-356,2003,4.0,149,170,87.6,2853,696,48,56,85.7,84,90,93.3,13,20,65.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
96,Alphadjo Cissè,it ITA,MF,Hellas Verona,17-344,2006,0.0,5,6,83.3,80,10,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
97,Saúl Coco,gq EQG,DF,Torino,25-234,1999,5.0,232,260,89.2,3988,1407,95,100,95.0,120,129,93.0,13,24,54.2,0,0.0,0.0,0.0,0,14,0,0,10,Matches
98,Lorenzo Colombo,it ITA,"FW,MF",Empoli,22-206,2002,4.7,50,81,61.7,687,135,33,46,71.7,13,22,59.1,3,6,50.0,1,0.5,0.0,+0.5,2,3,0,0,2,Matches
99,Andrea Colpani,it ITA,"MF,FW",Fiorentina,25-142,1999,4.2,82,104,78.8,1284,236,44,51,86.3,27,36,75.0,5,10,50.0,0,0.0,0.2,0.0,1,6,2,0,15,Matches
100,Pietro Comuzzo,it ITA,DF,Fiorentina,19-223,2005,4.5,264,300,88.0,5328,1433,70,79,88.6,159,166,95.8,33,51,64.7,0,0.0,0.0,0.0,0,13,0,0,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Francisco Conceição,pt POR,FW,Juventus,21-291,2002,0.8,30,36,83.3,509,42,14,16,87.5,16,18,88.9,0,0,,0,0.7,0.3,-0.7,1,1,1,1,1,Matches
