Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
48,Sam Beukema,nl NED,DF,Bologna,25-318,1998,6,5,495,5.5,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,6,33,1,0.00,0.18,0.18,0.00,0.18,0.02,0.11,0.13,0.02,0.13,Matches
49,Alessandro Bianco,it ITA,MF,Monza,21-365,2002,3,2,191,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,11,1,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
50,Alessandro Bianco,it ITA,MF,Fiorentina,21-365,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Jaka Bijol,si SVN,DF,Udinese,25-238,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
52,Cristiano Biraghi,it ITA,DF,Fiorentina,32-029,1992,5,5,405,4.5,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.4,3,14,17,0.22,0.00,0.22,0.22,0.22,0.03,0.06,0.08,0.03,0.08,Matches
53,Samuele Birindelli,it ITA,DF,Monza,25-073,1999,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,5,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
54,Emil Bohinen,no NOR,MF,Genoa,25-202,1999,2,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches
55,Warren Bondo,fr FRA,MF,Monza,21-015,2003,6,5,460,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
56,Ange-Yoan Bonny,fr FRA,FW,Parma,20-341,2003,5,5,390,4.3,2,1,3,1,1,1,0,0,1.9,1.1,0.9,2.0,4,8,34,0.46,0.23,0.69,0.23,0.46,0.44,0.21,0.65,0.26,0.47,Matches
57,Edoardo Bove,it ITA,MF,Fiorentina,22-137,2002,4,3,286,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,3,11,6,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches
58,Domagoj Bradarić,hr CRO,MF,Hellas Verona,24-295,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
59,Matthias Braunöder,at AUT,MF,Como,22-187,2002,3,2,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Iker Bravo,es ESP,MF,Udinese,19-261,2005,3,0,42,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,0,1,3,0.00,0.00,0.00,0.00,0.00,0.86,0.16,1.03,0.86,1.03,Matches
61,Gleison Bremer,br BRA,DF,Juventus,27-196,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
62,Brenner,br BRA,"MF,FW",Udinese,24-258,2000,6,4,328,3.6,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,4,4,9,0.27,0.55,0.82,0.27,0.82,0.17,0.12,0.30,0.17,0.30,Matches
63,Marco Brescianini,it ITA,MF,Atalanta,24-254,2000,6,4,365,4.1,2,0,2,2,0,0,0,0,0.5,0.5,0.3,0.9,14,13,21,0.49,0.00,0.49,0.49,0.49,0.13,0.08,0.21,0.13,0.21,Matches
64,Alessandro Buongiorno,it ITA,DF,Napoli,25-116,1999,5,5,450,5.0,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,3,19,1,0.20,0.00,0.20,0.20,0.20,0.13,0.01,0.14,0.13,0.14,Matches
65,Gianluca Busio,us USA,MF,Venezia,22-125,2002,3,3,256,2.8,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,6,8,10,0.35,0.00,0.35,0.35,0.35,0.11,0.15,0.25,0.11,0.25,Matches
66,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-003,2000,4,0,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.20,0.06,0.20,Matches
67,Davide Calabria,it ITA,DF,Milan,27-299,1996,2,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
68,Luca Caldirola,it ITA,DF,Monza,33-242,1991,3,2,192,2.1,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,7,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
