Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
83,Federico Cassa,it ITA,"MF,FW",Atalanta,18-242,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Valentín Castellanos,ar ARG,FW,Lazio,25-363,1998,4.6,3,20,8,40.0,4.34,1.73,0.15,0.38,14.3,0,0,0,2.5,2.5,0.12,+0.5,+0.5,Matches
85,Santiago Castro,ar ARG,FW,Bologna,20-001,2004,5.0,3,17,7,41.2,3.42,1.41,0.18,0.43,17.2,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches
86,Gaetano Castrovilli,it ITA,MF,Lazio,27-226,1997,1.0,0,1,0,0.0,1.01,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
87,Danilo Cataldi,it ITA,MF,Fiorentina,30-055,1994,3.3,0,4,0,0.0,1.23,0.00,0.00,,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
88,Zeki Çelik,tr TUR,DF,Roma,27-226,1997,4.8,0,1,0,0.0,0.21,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
89,Alberto Cerri,it ITA,FW,Como,28-167,1996,0.7,0,2,0,0.0,2.95,0.00,0.00,,7.0,0,0,0,0.7,0.7,0.34,-0.7,-0.7,Matches
90,Gabriel Charpentier,cg CGO,FW,Parma,25-136,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,Walid Cheddira,ma MAR,FW,Napoli,26-252,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Leandro Chichizola,ar ARG,GK,Parma,34-187,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,Samuel Chukwueze,ng NGA,FW,Milan,25-131,1999,2.0,0,4,0,0.0,2.03,0.00,0.00,,20.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
94,Aaron Ciammaglichella,it ITA,MF,Torino,19-248,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,Alessandro Circati,au AUS,DF,Parma,20-356,2003,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Alphadjo Cissè,it ITA,MF,Hellas Verona,17-344,2006,0.0,0,1,1,100.0,45.00,45.00,0.00,0.00,25.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
97,Saúl Coco,gq EQG,DF,Torino,25-234,1999,5.0,2,2,2,100.0,0.40,0.40,1.00,1.00,9.3,0,0,0,0.2,0.2,0.11,+1.8,+1.8,Matches
98,Lorenzo Colombo,it ITA,"FW,MF",Empoli,22-206,2002,4.7,2,8,2,25.0,1.71,0.43,0.13,0.50,17.6,0,1,1,2.1,1.4,0.17,-0.1,-0.4,Matches
99,Andrea Colpani,it ITA,"MF,FW",Fiorentina,25-142,1999,4.2,0,9,4,44.4,2.17,0.96,0.00,0.00,18.3,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
100,Pietro Comuzzo,it ITA,DF,Fiorentina,19-223,2005,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,14.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Francisco Conceição,pt POR,FW,Juventus,21-291,2002,0.8,1,2,1,50.0,2.43,1.22,0.50,1.00,17.3,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
102,Diego Coppola,it ITA,DF,Hellas Verona,20-277,2003,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
103,Joaquín Correa,ar ARG,"MF,FW",Inter,30-048,1994,0.2,0,1,1,100.0,4.09,4.09,0.00,0.00,14.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
104,Lassana Coulibaly,ml MLI,MF,Lecce,28-173,1996,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Woyo Coulibaly,fr FRA,DF,Parma,25-133,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
