Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
70,Ermedin Demirović,ba BIH,FW,Stuttgart,26-189,1998,5,4,321,3.6,4,0,4,4,0,0,0,0,1.4,1.4,0.3,1.7,1,7,16,1.12,0.00,1.12,1.12,1.12,0.39,0.10,0.48,0.39,0.48,Matches
71,Justin Diehl,de GER,DF,Stuttgart,19-308,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,0,9,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
72,Eric Dier,eng ENG,DF,Bayern Munich,30-259,1994,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Junior Dina Ebimbe,fr FRA,"FW,MF",Eint Frankfurt,23-314,2000,2,1,88,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.51,0.63,0.12,0.63,Matches
74,Eren Dinkçi,de GER,MF,Freiburg,22-292,2001,4,2,187,2.1,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,4,7,20,0.00,0.48,0.48,0.00,0.48,0.21,0.21,0.43,0.21,0.43,Matches
75,Ritsu Doan,jp JPN,FW,Freiburg,26-106,1998,5,5,411,4.6,2,0,2,2,0,0,0,0,2.3,2.3,0.0,2.3,6,22,33,0.44,0.00,0.44,0.44,0.44,0.50,0.01,0.51,0.50,0.51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Danilho Doekhi,nl NED,DF,Union Berlin,26-092,1998,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
77,Niklas Dorsch,de GER,MF,Augsburg,26-259,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Niklas Dorsch,de GER,MF,Heidenheim,26-259,1998,3,1,122,1.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
79,Patrick Drewes,de GER,GK,Bochum,31-239,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Tim Drexler,de GER,DF,Hoffenheim,19-208,2005,5,4,319,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
81,Marvin Ducksch,de GER,FW,Werder Bremen,30-207,1994,5,5,367,4.1,1,1,2,0,1,1,0,0,2.3,1.6,0.4,2.0,1,14,28,0.25,0.25,0.49,0.00,0.25,0.58,0.11,0.68,0.38,0.49,Matches
82,Julien Duranville,be BEL,FW,Dortmund,18-148,2006,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,1,3,0.00,0.00,0.00,0.00,0.00,0.09,1.15,1.25,0.09,1.25,Matches
83,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-005,1995,4,0,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
84,Johannes Eggestein,de GER,FW,St. Pauli,26-145,1998,5,5,398,4.4,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,6,12,34,0.00,0.23,0.23,0.00,0.23,0.12,0.18,0.30,0.12,0.30,Matches
85,Maximilian Eggestein,de GER,MF,Freiburg,27-297,1996,5,5,421,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,21,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches
86,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-102,2002,4,4,290,3.2,1,2,3,1,0,0,0,0,2.8,2.8,1.8,4.6,14,7,23,0.31,0.62,0.93,0.31,0.93,0.85,0.56,1.42,0.85,1.42,Matches
87,Nico Elvedi,ch SUI,DF,Gladbach,28-000,1996,5,5,450,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,5,14,2,0.20,0.00,0.20,0.20,0.20,0.24,0.03,0.27,0.24,0.27,Matches
88,Arne Engels,be BEL,"MF,FW",Augsburg,21-022,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
89,Patrick Erras,de GER,DF,Holstein Kiel,29-253,1995,3,3,225,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
90,Samuel Essende,cd COD,FW,Augsburg,26-251,1998,4,4,326,3.6,2,0,2,2,0,0,2,1,1.5,1.5,0.8,2.3,8,3,26,0.55,0.00,0.55,0.55,0.55,0.42,0.21,0.62,0.42,0.62,Matches
91,Kilian Fischer,de GER,DF,Wolfsburg,23-354,2000,5,5,447,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,15,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
92,Jonas Föhrenbach,de GER,"DF,FW",Heidenheim,28-248,1996,5,5,450,5.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,12,16,11,0.00,0.20,0.20,0.00,0.20,0.02,0.10,0.13,0.02,0.13,Matches
