Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
63,Yan Couto,br BRA,DF,Dortmund,22-119,2002,1.6,125,4,33,65,28,3,125,2,1,50.0,1,50.0,67,428,253,6,4,0,2,1,82,12,Matches
64,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,24-048,2000,0.9,35,2,5,11,19,3,35,3,2,66.7,1,33.3,19,135,48,3,2,0,2,0,23,4,Matches
65,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,28-273,1996,0.6,33,0,4,21,8,0,33,0,0,,0,,19,76,35,0,1,0,0,0,23,0,Matches
66,Bence Dárdai,de GER,FW,Wolfsburg,18-250,2006,0.1,5,0,0,4,1,0,5,0,0,,0,,3,52,0,0,0,0,0,1,1,0,Matches
67,Lukas Daschner,de GER,"MF,FW",Bochum,25-365,1998,2.0,80,3,9,30,43,6,80,5,1,20.0,4,80.0,44,206,54,2,3,0,12,0,46,5,Matches
68,Alphonso Davies,ca CAN,DF,Bayern Munich,23-333,2000,3.3,264,7,50,136,80,6,264,16,7,43.8,6,37.5,164,859,416,13,8,3,9,4,194,24,Matches
69,Olivier Deman,be BEL,DF,Werder Bremen,24-177,2000,0.2,9,1,2,5,2,0,9,0,0,,0,,3,6,5,0,0,0,0,0,2,0,Matches
70,Ermedin Demirović,ba BIH,FW,Stuttgart,26-189,1998,3.6,100,0,4,57,40,14,100,2,1,50.0,1,50.0,53,192,48,1,1,0,7,4,79,16,Matches
71,Justin Diehl,de GER,DF,Stuttgart,19-308,2004,0.3,22,0,1,3,18,2,22,2,0,0.0,2,100.0,19,157,71,4,2,1,0,1,18,9,Matches
72,Eric Dier,eng ENG,DF,Bayern Munich,30-259,1994,0.1,10,2,6,4,0,0,10,0,0,,0,,3,12,3,0,0,0,0,0,5,0,Matches
73,Junior Dina Ebimbe,fr FRA,"FW,MF",Eint Frankfurt,23-314,2000,1.0,53,2,8,20,25,10,53,4,2,50.0,2,50.0,29,131,39,0,1,1,3,2,36,10,Matches
74,Eren Dinkçi,de GER,MF,Freiburg,22-292,2001,2.1,103,1,9,49,47,6,103,6,3,50.0,3,50.0,54,396,213,4,2,0,5,4,74,20,Matches
75,Ritsu Doan,jp JPN,FW,Freiburg,26-106,1998,4.6,229,5,35,95,102,19,229,17,7,41.2,10,58.8,120,622,191,6,6,3,13,6,149,33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Danilho Doekhi,nl NED,DF,Union Berlin,26-092,1998,5.0,213,20,119,78,16,8,213,1,1,100.0,0,0.0,104,537,220,1,1,0,3,1,130,1,Matches
77,Niklas Dorsch,de GER,MF,Augsburg,26-259,1998,0.4,29,1,3,18,8,0,29,1,0,0.0,1,100.0,15,57,32,1,1,0,0,0,21,0,Matches
78,Niklas Dorsch,de GER,MF,Heidenheim,26-259,1998,1.4,81,2,18,50,14,0,81,5,5,100.0,0,0.0,51,220,75,1,0,0,2,2,50,0,Matches
79,Patrick Drewes,de GER,GK,Bochum,31-239,1993,5.0,244,180,242,2,0,0,244,0,0,,0,,126,612,346,0,0,0,0,0,106,0,Matches
80,Tim Drexler,de GER,DF,Hoffenheim,19-208,2005,3.5,199,18,81,111,11,0,199,0,0,,0,,114,441,204,2,2,0,3,2,121,2,Matches
81,Marvin Ducksch,de GER,FW,Werder Bremen,30-207,1994,4.1,152,7,14,49,90,23,151,3,2,66.7,1,33.3,76,242,96,1,3,1,4,1,94,28,Matches
82,Julien Duranville,be BEL,FW,Dortmund,18-148,2006,0.3,11,0,0,4,7,4,11,4,3,75.0,0,0.0,7,95,81,4,2,2,1,0,7,3,Matches
83,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-005,1995,1.0,76,2,26,39,11,3,76,0,0,,0,,26,70,39,0,0,0,0,0,45,2,Matches
