Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
120,Raphaël Guerreiro,pt POR,DF,Bayern Munich,30-283,1993,2.9,9,3.07,7,2,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
121,Morgan Guilavogui,gn GUI,FW,St. Pauli,26-204,1998,2.1,8,3.77,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Serhou Guirassy,gn GUI,FW,Dortmund,28-202,1996,2.8,5,1.79,4,0,0,0,1,0,2,0.72,1,0,0,0,1,0,Matches
123,Péter Gulácsi,hu HUN,GK,RB Leipzig,34-147,1990,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Christian Günter,de GER,DF,Freiburg,31-215,1993,4.8,10,2.09,10,0,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
125,Janik Haberer,de GER,"DF,MF",Union Berlin,30-181,1994,3.8,8,2.08,4,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Robin Hack,de GER,"FW,MF",Gladbach,26-034,1998,1.5,9,5.87,6,1,0,1,1,0,1,0.65,1,0,0,0,0,0,Matches
127,Amadou Haidara,ml MLI,MF,RB Leipzig,26-243,1998,3.2,5,1.57,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-257,1997,3.3,1,0.30,1,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
129,Ramon Hendriks,nl NED,DF,Stuttgart,23-074,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Benjamin Henrichs,de GER,DF,RB Leipzig,27-220,1997,2.6,8,3.06,7,1,0,0,0,0,1,0.38,1,0,0,0,0,0,Matches
131,Piero Hincapié,ec ECU,DF,Leverkusen,22-265,2002,4.4,4,0.90,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22-067,2002,2.7,3,1.13,2,0,0,0,1,0,1,0.38,1,0,0,0,0,0,Matches
133,Nicolas Höfler,de GER,MF,Freiburg,34-205,1990,0.6,3,4.82,3,0,0,0,0,0,1,1.61,1,0,0,0,0,0,Matches
134,Jonas Hofmann,de GER,MF,Leverkusen,32-078,1992,0.7,2,2.81,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Philipp Hofmann,de GER,FW,Bochum,31-184,1993,3.5,6,1.71,5,0,0,1,0,0,2,0.57,2,0,0,0,0,0,Matches
136,Lucas Höler,de GER,"MF,FW",Freiburg,30-082,1994,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Benedict Hollerbach,de GER,"MF,FW",Union Berlin,23-136,2001,3.9,5,1.28,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Lewis Holtby,de GER,MF,Holstein Kiel,34-012,1990,4.4,9,2.06,4,2,0,1,2,0,1,0.23,0,0,0,0,1,0,Matches
139,Franck Honorat,fr FRA,FW,Gladbach,28-050,1996,2.6,10,3.85,7,1,0,2,0,0,1,0.38,1,0,0,0,0,0,Matches
140,Mathias Honsak,at AUT,"MF,FW",Heidenheim,27-285,1996,0.9,3,3.21,0,2,1,0,0,0,1,1.07,0,1,0,0,0,0,Matches
141,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-311,1989,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Robin Hranáč,cz CZE,DF,Hoffenheim,24-245,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Hong Hyunseok,kr KOR,MF,Mainz 05,25-106,1999,2.4,9,3.68,7,0,0,2,0,0,2,0.82,1,0,0,1,0,0,Matches
144,Oscar Højlund,dk DEN,MF,Eint Frankfurt,19-270,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Jackson Irvine,au AUS,MF,St. Pauli,31-207,1993,5.0,10,2.00,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Ko Itakura,jp JPN,DF,Gladbach,27-247,1997,5.0,3,0.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Marko Ivezić,rs SRB,DF,Holstein Kiel,22-303,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Lee Jae-sung,kr KOR,MF,Mainz 05,32-051,1992,3.8,11,2.91,9,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
149,Kristijan Jakić,hr CRO,MF,Augsburg,27-139,1997,2.9,4,1.40,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Dominik Javorček,sk SVK,DF,Holstein Kiel,21-333,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Fredrik Jensen,fi FIN,"MF,DF",Augsburg,27-021,1997,1.2,3,2.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Moritz Jenz,de GER,DF,Mainz 05,25-153,1999,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Carl Johansson,se SWE,DF,Holstein Kiel,30-130,1994,3.9,5,1.30,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Anthony Jung,de GER,DF,Werder Bremen,32-332,1991,4.5,4,0.89,4,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
155,Yusuf Kabadayı,de GER,"MF,FW",Augsburg,20-241,2004,0.4,3,7.30,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
