Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
75,Peio Canales,ESP,MF,Athletic Club,19,2005,0.2,0,1,0,0.0,4.5,0.0,0.0,0.0,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0
76,Sergi Canós,ESP,"MF,FW",Valencia,27,1997,0.8,0,7,3,42.9,9.26,3.97,0.0,0.0,20.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
77,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
78,Irvin Cardona,FRA,"MF,FW",Espanyol,27,1997,2.5,0,3,1,33.3,1.18,0.39,0.0,0.0,19.5,1,0,0,0.7,0.7,0.22,-0.7,-0.7
79,Marc Cardona,ESP,FW,Las Palmas,29,1995,0.2,0,1,0,0.0,5.0,0.0,0.0,0.0,8.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1
80,Sergi Cardona,ESP,DF,Villarreal,25,1999,6.9,1,7,1,14.3,1.01,0.14,0.14,1.0,14.8,0,0,0,1.2,1.2,0.17,-0.2,-0.2
81,Johnny Cardoso,USA,MF,Betis,23,2001,1.7,0,3,0,0.0,1.8,0.0,0.0,0.0,18.5,0,0,0,0.5,0.5,0.16,-0.5,-0.5
82,Carmona,ESP,DF,Sevilla,22,2002,7.8,0,6,2,33.3,0.77,0.26,0.0,0.0,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
83,Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,16.6,0,0,0,0.0,0.0,0.02,0.0,0.0
84,Dani Carvajal,ESP,DF,Real Madrid,32,1992,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,3.4,0,0,0,1.3,1.3,0.44,-0.3,-0.3
85,William Carvalho,POR,MF,Betis,32,1992,2.7,0,3,1,33.3,1.09,0.36,0.0,0.0,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
86,Marc Casado,ESP,MF,Barcelona,21,2003,4.3,0,7,0,0.0,1.64,0.0,0.0,0.0,22.5,0,0,0,0.8,0.8,0.11,-0.8,-0.8
87,Catena,ESP,DF,Osasuna,29,1994,7.0,0,4,1,25.0,0.57,0.14,0.0,0.0,10.4,0,0,0,0.4,0.4,0.1,-0.4,-0.4
88,Dani Ceballos,ESP,MF,Real Madrid,28,1996,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,Raúl Chasco,ESP,DF,Valladolid,21,2003,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
90,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,26,1998,3.4,0,1,0,0.0,0.29,0.0,0.0,0.0,36.5,0,0,0,0.0,0.0,0.01,0.0,0.0
91,Walid Cheddira,MAR,FW,Espanyol,26,1998,2.4,0,3,1,33.3,1.27,0.42,0.0,0.0,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
92,Julián Chicco,ARG,MF,Leganés,26,1998,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
93,Chiquinho,POR,"FW,MF",Mallorca,24,2000,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,Andreas Christensen,DEN,DF,Barcelona,28,1996,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
95,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
