Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
79,Marc Cardona,ESP,FW,Las Palmas,29,1995,2,0,18,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.53,0.1,0.53,0.0,0.0,0.1,0.53,0,0,2,0.0,0.53
80,Sergi Cardona,ESP,DF,Villarreal,25,1999,7,7,625,6.9,1,0.14,1,0.14,2,0.29,1,0.14,0,0,2,0,1.2,0.18,1.2,0.18,1.2,0.18,2.4,0.35,8,19,32,0.29,0.35
81,Johnny Cardoso,USA,MF,Betis,23,2001,4,1,150,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5,0.28,0.5,0.28,0.0,0.02,0.5,0.3,1,9,6,0.0,0.3
82,Carmona,ESP,DF,Sevilla,22,2002,8,8,700,7.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.8,0.1,0.9,0.12,6,27,5,0.0,0.12
83,Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,4,3,237,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.8,0.31,0.8,0.32,6,8,23,0.0,0.32
84,Dani Carvajal,ESP,DF,Real Madrid,32,1992,7,6,519,5.8,1,0.17,0,0.0,1,0.17,1,0.17,0,0,1,0,1.3,0.23,1.3,0.23,0.1,0.02,1.4,0.25,9,23,35,0.17,0.25
85,William Carvalho,POR,MF,Betis,32,1992,4,4,247,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.0,0.01,0.2,0.06,1,20,2,0.0,0.06
86,Marc Casado,ESP,MF,Barcelona,21,2003,6,4,383,4.3,0,0.0,1,0.23,1,0.23,0,0.0,0,0,0,0,0.8,0.18,0.8,0.18,0.4,0.09,1.2,0.27,4,37,8,0.23,0.27
87,Catena,ESP,DF,Osasuna,29,1994,7,7,630,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.05,0.4,0.05,0.0,0.0,0.4,0.05,3,15,0,0.0,0.05
88,Dani Ceballos,ESP,MF,Real Madrid,28,1996,2,1,70,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,1,0.0,0.0
89,Raúl Chasco,ESP,DF,Valladolid,21,2003,1,0,40,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0
