Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
122,Marko Dmitrović,SRB,GK,Leganés,32,1992,2.0,1,0.5,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
123,Marc Domenech,ESP,FW,Mallorca,18,2006,1.3,1,0.79,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
124,Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,3.8,2,0.52,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
125,Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
126,Anastasios Douvikas,GRE,FW,Celta Vigo,25,1999,3.6,4,1.11,0,0,1,0,3,0,0,0.0,0,0,0,0,0,0
127,Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,1.6,5,3.15,4,0,0,1,0,0,1,0.63,1,0,0,0,0,0
128,Hugo Duro,ESP,FW,Valencia,24,1999,5.0,6,1.2,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
129,Chidera Ejuke,NGA,"FW,MF",Sevilla,26,1998,4.6,24,5.28,14,3,5,0,2,0,1,0.22,1,0,0,0,0,0
130,Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,2.7,3,1.1,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
131,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,5.3,11,2.07,5,4,0,0,2,0,0,0.0,0,0,0,0,0,0
132,Endrick,BRA,FW,Real Madrid,18,2006,0.5,3,6.0,1,0,1,0,1,0,2,4.0,0,0,1,0,1,0
133,Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,3.4,3,0.89,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0
134,Dario Essugo,POR,MF,Las Palmas,19,2005,1.6,1,0.62,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
135,Abde Ezzalzouli,MAR,FW,Betis,22,2001,6.2,20,3.23,12,0,3,4,1,0,1,0.16,0,0,0,1,0,0
136,Peter Federico,DOM,"MF,FW",Getafe,22,2002,1.5,3,1.93,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
137,Nabil Fekir,FRA,MF,Betis,31,1993,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
138,Kiko Femenía,ESP,DF,Villarreal,33,1991,7.0,14,2.0,11,1,1,0,0,1,1,0.14,1,0,0,0,0,0
139,Valery Fernández,ESP,"MF,FW",Mallorca,24,1999,0.9,1,1.15,0,0,0,0,0,1,1,1.15,0,0,0,0,0,1
140,Pablo Fornals,ESP,"FW,MF",Betis,28,1996,5.8,33,5.72,28,2,2,1,0,0,3,0.52,3,0,0,0,0,0
141,Héctor Fort,ESP,DF,Barcelona,18,2006,0.5,1,1.84,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
142,Dimitri Foulquier,FRA,DF,Valencia,31,1993,3.8,6,1.59,2,1,1,1,0,1,0,0.0,0,0,0,0,0,0
143,Alejandro Francés,ESP,DF,Girona,22,2002,4.9,6,1.22,5,0,0,1,0,0,1,0.2,1,0,0,0,0,0
144,Enric Franquesa,ESP,"FW,DF",Leganés,27,1997,4.0,4,0.99,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0
145,Jorge de Frutos,ESP,"MF,FW",Rayo Vallecano,27,1997,5.7,15,2.62,11,0,2,0,2,0,2,0.35,1,0,1,0,0,0
146,Manuel Fuster,ESP,"FW,MF",Las Palmas,26,1997,0.9,5,5.49,3,2,0,0,0,0,1,1.1,1,0,0,0,0,0
147,Javi Galán,ESP,DF,Atlético Madrid,29,1994,0.2,1,5.63,1,0,0,0,0,0,1,5.63,1,0,0,0,0,0
148,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,31,1993,2.0,3,1.52,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
