Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
362,Nahuel Molina,ARG,DF,Atlético Madrid,26,1998.0,5,300.0,60.0,41.7,3.3,4,66.0,1,1,37.0,3,1.4,1.0,1.0,0.0,0.0,2.6,4.1,-1.5,-0.45
363,Jon Moncayola,ESP,"MF,FW",Osasuna,26,1998.0,7,488.0,70.0,67.8,5.4,6,74.0,1,1,45.0,0,1.57,8.0,7.0,1.0,0.18,4.8,6.3,-1.4,-0.27
364,Gonzalo Montiel,ARG,MF,Sevilla,27,1997.0,2,2.0,1.0,0.3,0.0,0,0.0,0,2,1.0,4,3.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,4.35
365,Gerard Moreno,ESP,FW,Villarreal,32,1992.0,2,115.0,58.0,18.3,1.3,2,58.0,0,0,0.0,1,2.0,3.0,4.0,-1.0,-0.78,2.8,1.8,1.0,0.81
366,Mateu Morey,ESP,DF,Mallorca,24,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
367,Ilaix Moriba,GUI,MF,Celta Vigo,21,2003.0,6,257.0,43.0,35.7,2.9,3,65.0,0,3,20.0,2,0.67,5.0,7.0,-2.0,-0.7,3.5,5.2,-1.7,-0.61
368,Manu Morlanes,ESP,MF,Mallorca,25,1999.0,7,341.0,49.0,47.4,3.8,4,73.0,0,3,17.0,1,1.57,3.0,1.0,2.0,0.53,3.5,2.8,0.8,0.21
369,Raúl Moro,ESP,"FW,MF",Valladolid,21,2002.0,8,536.0,67.0,74.4,6.0,5,85.0,2,3,37.0,0,0.63,3.0,13.0,-10.0,-1.68,5.0,12.2,-7.3,-1.22
370,Morro,ESP,GK,Rayo Vallecano,24,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Cristhian Mosquera,ESP,DF,Valencia,20,2004.0,8,720.0,90.0,100.0,8.0,8,90.0,8,0,0.0,0,0.63,5.0,13.0,-8.0,-1.0,5.1,13.7,-8.6,-1.07
372,Santiago Mouriño,URU,"DF,MF",Alavés,22,2002.0,4,155.0,39.0,21.5,1.7,1,90.0,1,3,22.0,2,0.75,3.0,4.0,-1.0,-0.58,2.0,2.8,-0.8,-0.46
373,Abdul Mumin,GHA,DF,Rayo Vallecano,26,1998.0,8,720.0,90.0,100.0,8.0,8,90.0,8,0,0.0,0,1.25,9.0,8.0,1.0,0.12,7.7,8.2,-0.6,-0.07
374,Aihen Muñoz,ESP,DF,Real Sociedad,27,1997.0,3,128.0,43.0,17.8,1.4,1,90.0,1,2,19.0,5,0.33,0.0,1.0,-1.0,-0.7,0.6,1.5,-0.9,-0.66
375,Álex Muñoz,ESP,DF,Las Palmas,30,1994.0,5,370.0,74.0,58.7,4.1,4,81.0,2,1,45.0,2,0.4,5.0,7.0,-2.0,-0.49,4.1,7.2,-3.1,-0.75
376,Iker Muñoz,ESP,MF,Osasuna,21,2002.0,2,49.0,25.0,6.8,0.5,1,45.0,0,1,4.0,0,2.0,0.0,1.0,-1.0,-1.84,0.2,0.6,-0.4,-0.8
377,Javier Muñoz,ESP,MF,Las Palmas,29,1995.0,7,529.0,76.0,84.0,5.9,6,85.0,5,1,17.0,0,0.43,6.0,11.0,-5.0,-0.85,5.5,10.7,-5.2,-0.89
378,Vedat Muriqi,KVX,FW,Mallorca,30,1994.0,6,469.0,78.0,65.1,5.2,5,88.0,4,1,28.0,0,1.33,3.0,4.0,-1.0,-0.19,4.0,4.2,-0.2,-0.04
379,Juan Musso,ARG,GK,Atlético Madrid,30,1994.0,1,90.0,90.0,12.5,1.0,1,90.0,1,0,0.0,5,3.0,1.0,0.0,1.0,1.0,1.7,0.3,1.4,1.44
380,Matija Nastasić,SRB,DF,Leganés,31,1993.0,4,315.0,79.0,43.8,3.5,3,90.0,3,1,45.0,0,0.5,2.0,6.0,-4.0,-1.14,2.5,5.5,-3.1,-0.88
381,Natan,BRA,DF,Betis,23,2001.0,7,545.0,78.0,75.7,6.1,6,90.0,6,1,5.0,0,1.57,7.0,6.0,1.0,0.17,10.6,5.6,4.9,0.81
382,Pau Navarro,ESP,DF,Villarreal,19,2005.0,1,17.0,17.0,2.7,0.2,0,0.0,0,1,17.0,6,3.0,0.0,0.0,0.0,0.0,0.1,0.2,-0.1,-0.33
383,Roberto Navarro,ESP,"FW,MF",Mallorca,22,2002.0,5,287.0,57.0,39.9,3.2,3,76.0,0,2,29.0,0,2.4,4.0,2.0,2.0,0.63,4.2,3.2,0.9,0.29
384,Jesús Navas,ESP,"FW,MF",Sevilla,38,1985.0,7,201.0,29.0,27.9,2.2,2,64.0,0,5,15.0,1,1.29,3.0,3.0,0.0,0.0,4.3,2.4,1.8,0.83
385,Yvan Neyou,CMR,MF,Leganés,27,1997.0,5,374.0,75.0,51.9,4.2,4,82.0,2,1,45.0,0,1.0,3.0,2.0,1.0,0.24,2.8,4.4,-1.6,-0.38
386,Tanguy Nianzou,FRA,DF,Sevilla,22,2002.0,4,339.0,85.0,47.1,3.8,4,85.0,3,0,0.0,4,1.25,4.0,5.0,-1.0,-0.27,5.0,5.1,-0.1,-0.02
387,Saúl Ñíguez,ESP,MF,Sevilla,29,1994.0,4,320.0,80.0,44.4,3.6,4,80.0,2,0,0.0,0,1.0,3.0,4.0,-1.0,-0.28,3.4,2.8,0.6,0.17
388,Hugo Novoa,ESP,"DF,FW",Alavés,21,2003.0,4,222.0,56.0,30.8,2.5,2,90.0,2,2,21.0,2,1.5,4.0,6.0,-2.0,-0.81,4.5,3.3,1.2,0.47
389,Randy Nteka,ANG,FW,Rayo Vallecano,26,1997.0,7,291.0,42.0,40.4,3.2,3,68.0,0,4,22.0,1,1.0,1.0,3.0,-2.0,-0.62,3.5,4.1,-0.5,-0.17
390,Unai Núñez,ESP,DF,Athletic Club,27,1997.0,2,180.0,90.0,25.0,2.0,2,90.0,2,0,0.0,3,2.0,3.0,1.0,2.0,1.0,3.1,2.4,0.7,0.35
391,Ørjan Nyland,NOR,GK,Sevilla,34,1990.0,8,720.0,90.0,100.0,8.0,8,90.0,8,0,0.0,0,1.13,8.0,10.0,-2.0,-0.25,10.1,9.6,0.5,0.06
392,Jan Oblak,SVN,GK,Atlético Madrid,31,1993.0,7,630.0,90.0,87.5,7.0,7,90.0,7,0,0.0,0,1.86,11.0,4.0,7.0,1.0,10.1,6.2,3.9,0.56
393,Lucas Ocampos,ARG,FW,Sevilla,30,1994.0,2,175.0,88.0,24.3,1.9,2,88.0,1,0,0.0,0,0.5,3.0,3.0,0.0,0.0,2.8,2.0,0.7,0.37
394,Álvaro Odriozola,ESP,DF,Real Sociedad,28,1995.0,1,31.0,31.0,4.3,0.3,0,0.0,0,1,31.0,1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.13
395,Olasagasti,ESP,MF,Real Sociedad,24,2000.0,3,65.0,22.0,9.0,0.7,0,0.0,0,3,22.0,5,1.33,1.0,0.0,1.0,1.38,1.2,1.0,0.1,0.2
