Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
386,Chuky san jose,ESP,"MF,FW",Valladolid,20,2004,1.0,20,0,2,8,10,1,20,0,0,0.0,0,0.0,11,46,20,0,1,0,1,3,12,4
387,Oihan Sancet,ESP,MF,Athletic Club,24,2000,5.5,240,3,18,119,107,8,239,13,5,38.5,6,46.2,142,915,516,13,13,0,16,12,192,30
388,Antonio Sánchez,ESP,"DF,FW",Mallorca,27,1997,4.7,242,13,91,91,64,3,242,6,3,50.0,2,33.3,105,515,189,3,4,1,2,3,127,12
389,Iván Sánchez,ESP,"MF,FW",Valladolid,32,1992,4.0,192,5,38,76,81,6,192,13,8,61.5,2,15.4,112,818,405,12,4,2,8,7,124,22
390,Javi Sánchez,ESP,DF,Valladolid,27,1997,2.7,178,26,113,60,5,3,178,0,0,0.0,0,0.0,86,262,133,0,0,0,2,0,126,1
391,Juanlu Sánchez,ESP,"MF,DF",Sevilla,21,2003,3.4,127,1,25,65,38,7,127,5,0,0.0,5,100.0,62,297,158,3,2,1,2,3,80,13
392,Manu Sánchez,ESP,DF,Alavés,24,2000,5.5,269,20,82,116,75,2,269,8,2,25.0,4,50.0,98,618,402,11,5,0,6,3,104,14
393,Jesús Santiago,ESP,MF,Getafe,20,2004,1.9,69,3,17,34,18,3,69,3,0,0.0,3,100.0,26,93,22,1,0,0,4,0,25,3
394,Aleksandar Sedlar,SRB,DF,Alavés,32,1991,4.5,181,17,88,90,3,2,181,1,0,0.0,1,100.0,90,484,272,1,2,0,0,0,96,0
395,Sergi,ESP,DF,Leganés,32,1992,8.0,501,55,315,179,7,5,501,0,0,0.0,0,0.0,266,1283,641,3,1,0,0,0,322,1
396,Fábio Silva,POR,"FW,MF",Las Palmas,22,2002,2.1,94,1,8,40,46,13,94,12,4,33.3,6,50.0,51,347,126,5,3,4,9,4,64,17
397,Rui Silva,POR,GK,Betis,30,1994,8.0,282,209,282,0,0,0,282,0,0,0.0,0,0.0,167,763,340,0,0,0,0,0,141,0
398,Giuliano Simeone,ARG,"MF,DF",Atlético Madrid,21,2002,1.0,36,0,11,12,15,1,36,6,3,50.0,3,50.0,18,135,72,3,2,0,2,1,18,7
399,Daley Sinkgraven,NED,DF,Las Palmas,29,1995,1.0,77,4,22,35,20,1,77,1,1,100.0,0,0.0,46,262,95,2,2,1,1,1,50,7
400,Jailson Siqueira,BRA,"DF,MF",Celta Vigo,29,1995,5.0,398,49,169,207,25,6,398,4,3,75.0,1,25.0,269,1286,705,4,7,2,0,5,296,2
