Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
99,Santi Comesaña,ESP,MF,Villarreal,27,1996,6.3,1,0,0,5,5,1,3,6,9,0,0,0,42,3,9,25.0
100,Diego Conde,ESP,GK,Villarreal,25,1998,7.0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0.0
101,Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,4.0,2,0,0,7,4,1,18,3,2,0,0,0,20,7,7,50.0
102,Copete,ESP,DF,Mallorca,24,1999,2.4,1,0,0,6,1,0,2,1,4,0,0,0,4,7,2,77.8
103,Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,2.1,0,0,0,4,4,1,3,1,0,0,0,0,16,1,2,33.3
104,Thierry Correia,POR,DF,Valencia,25,1999,6.1,0,0,0,8,10,0,14,4,12,0,0,0,27,4,5,44.4
105,Logan Costa,CPV,DF,Villarreal,23,2001,4.2,0,0,0,1,1,0,0,3,2,0,0,0,13,9,4,69.2
106,Samu Costa,POR,MF,Mallorca,23,2000,8.0,2,0,0,19,17,1,5,6,12,0,0,0,36,21,10,67.7
107,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8.0,0,0,0,0,0,0,0,1,0,0,0,1,18,5,0,100.0
108,Juan Cruz Armada,ESP,DF,Osasuna,32,1992,2.3,1,0,0,3,1,0,5,0,0,0,0,0,6,1,0,100.0
109,Juan Cruz,ESP,"FW,MF",Leganés,24,2000,4.8,1,0,0,4,2,0,28,4,3,0,0,0,22,3,4,42.9
110,Pau Cubarsí,ESP,DF,Barcelona,17,2007,6.4,2,0,0,5,2,0,1,2,4,0,1,0,15,13,9,59.1
111,Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0
112,Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,3.0,1,0,0,3,3,3,13,1,3,0,0,0,11,0,1,0.0
113,Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,5.9,0,0,0,3,6,1,38,2,6,0,0,0,25,3,1,75.0
114,Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,3.8,1,0,0,3,8,0,16,1,2,0,0,0,19,1,1,50.0
115,Assane Diao,ESP,FW,Betis,19,2005,1.9,0,0,0,3,2,0,0,0,1,0,0,0,4,4,2,66.7
116,Moussa Diarra,MLI,DF,Alavés,23,2000,3.7,0,0,0,6,6,1,2,4,6,0,0,0,9,6,4,60.0
117,Brahim Díaz,MAR,"FW,MF",Real Madrid,25,1999,1.3,0,0,0,1,3,0,3,1,2,0,0,0,7,0,1,0.0
118,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,26,1998,0.6,1,0,0,1,0,0,2,1,1,0,0,0,4,0,1,0.0
119,Diego,ESP,"FW,MF",Leganés,24,2000,1.3,0,0,0,3,3,1,2,0,0,0,0,0,1,8,7,53.3
120,Álvaro djaló,ESP,FW,Athletic Club,25,1999,1.7,0,0,0,4,2,1,3,0,0,0,0,0,5,1,4,20.0
121,Djené,TOG,DF,Getafe,32,1991,7.7,2,0,0,8,5,0,7,9,1,0,0,0,27,15,8,65.2
122,Marko Dmitrović,SRB,GK,Leganés,32,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
123,Marc Domenech,ESP,FW,Mallorca,18,2006,1.3,0,0,0,3,0,0,2,0,0,0,0,0,3,5,4,55.6
124,Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,3.8,0,0,0,2,3,0,0,3,4,0,0,1,6,11,2,84.6
125,Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0
126,Anastasios Douvikas,GRE,FW,Celta Vigo,25,1999,3.6,0,0,0,3,16,3,1,2,1,0,0,0,7,5,6,45.5
127,Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,1.6,0,0,0,2,1,1,2,0,2,0,0,0,6,1,2,33.3
128,Hugo Duro,ESP,FW,Valencia,24,1999,5.0,1,0,0,8,9,1,1,3,4,0,1,0,13,8,20,28.6
129,Chidera Ejuke,NGA,"FW,MF",Sevilla,26,1998,4.6,0,0,0,2,6,2,12,1,2,0,0,0,26,2,1,66.7
130,Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,2.7,0,0,0,2,5,0,1,1,2,0,0,0,14,3,3,50.0
131,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,5.3,2,0,0,10,6,4,48,3,5,0,0,0,16,4,8,33.3
132,Endrick,BRA,FW,Real Madrid,18,2006,0.5,1,0,0,2,3,0,0,1,0,1,0,0,2,1,2,33.3
133,Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,3.4,1,0,0,9,8,0,10,7,9,0,0,0,15,6,3,66.7
134,Dario Essugo,POR,MF,Las Palmas,19,2005,1.6,0,0,0,2,2,0,0,2,5,0,0,0,10,1,2,33.3
135,Abde Ezzalzouli,MAR,FW,Betis,22,2001,6.2,0,0,0,5,16,2,15,3,7,1,0,0,28,8,9,47.1
136,Peter Federico,DOM,"MF,FW",Getafe,22,2002,1.5,0,0,0,3,2,1,3,0,1,0,0,0,7,3,3,50.0
137,Nabil Fekir,FRA,MF,Betis,31,1993,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0
138,Kiko Femenía,ESP,DF,Villarreal,33,1991,7.0,2,0,0,3,5,0,11,8,5,0,0,0,28,1,2,33.3
139,Valery Fernández,ESP,"MF,FW",Mallorca,24,1999,0.9,1,0,0,2,0,0,0,0,3,0,0,0,5,0,2,0.0
