Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0.0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,0,0,0,4,3,0,4,1,8,0,0,0,24,2,2,50.0
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,1,0,0,1,0,1,1,1,3,0,0,0,14,1,4,20.0
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,0,0,0,4,1,0,22,7,14,0,0,0,23,4,3,57.1
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,2,1,0,9,5,0,7,2,11,0,0,0,13,3,4,42.9
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,3,1,1,6,4,0,1,3,3,0,1,0,17,10,3,76.9
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,2,0,0,3,1,0,6,3,3,0,1,0,13,0,1,0.0
95,David Costa,POR,MF,Lens,23,2001.0,1.5,0,0,0,1,2,0,2,1,0,0,0,0,6,0,1,0.0
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,0,0,0,2,1,0,0,3,1,1,0,0,3,3,1,75.0
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,2,1,1,9,2,1,6,2,4,0,1,0,14,5,5,50.0
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,0,0,0,0,1,0,2,1,5,0,0,0,2,1,1,50.0
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,0,0,0,7,2,0,0,5,2,0,0,1,12,15,3,83.3
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,0,0,0,7,0,1,3,6,6,0,0,0,12,2,4,33.3
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,0,0,0,1,1,0,0,2,0,0,0,0,10,7,4,63.6
104,Dante,BRA,DF,Nice,40,1983.0,5.3,3,0,0,6,4,0,1,7,5,0,0,0,28,6,6,50.0
