Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
95,David Costa,POR,MF,Lens,23,2001.0,1.5,0,3,1,33.3,2.01,0.67,0.0,0.0,19.6,0,0,0,0.6,0.6,0.19,-0.6,-0.6
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,1,2,1,50.0,4.74,2.37,0.5,1.0,11.8,0,0,0,0.2,0.2,0.11,0.8,0.8
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,0,1,0,0.0,0.84,0.0,0.0,0.0,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,0,4,1,25.0,1.27,0.32,0.0,0.0,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,0,4,1,25.0,1.1,0.27,0.0,0.0,8.2,0,0,0,0.9,0.9,0.22,-0.9,-0.9
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,0,3,0,0.0,1.22,0.0,0.0,0.0,13.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,0,1,1,100.0,0.5,0.5,0.0,0.0,12.1,0,0,0,0.0,0.0,0.03,0.0,0.0
104,Dante,BRA,DF,Nice,40,1983.0,5.3,0,1,0,0.0,0.19,0.0,0.0,0.0,10.9,0,0,0,0.0,0.0,0.01,0.0,0.0
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,0,4,1,25.0,8.0,2.0,0.0,0.0,14.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,5,11,7,63.6,2.65,1.69,0.36,0.57,13.6,0,1,1,2.9,2.1,0.19,2.1,1.9
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,0,5,1,20.0,0.88,0.18,0.0,0.0,18.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,2,5,2,40.0,1.11,0.45,0.0,0.0,26.3,0,2,3,2.7,0.4,0.07,-0.7,-0.4
