Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
95,David Costa,POR,MF,Lens,23,2001.0,1.5,2,1.34,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,1,0.84,0,0,0,0,1,0,1,0.84,0,0,0,0,1,0
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,11,3.49,8,0,0,1,1,1,0,0.0,0,0,0,0,0,0
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,2,1.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,2,0.55,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,13,5.29,11,0,0,1,0,1,2,0.81,1,0,0,1,0,0
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
104,Dante,BRA,DF,Nice,40,1983.0,5.3,6,1.14,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,1,2.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,10,2.41,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,17,3.01,8,2,5,1,1,0,3,0.53,2,0,1,0,0,0
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,24,5.35,12,8,2,1,1,0,2,0.45,2,0,0,0,0,0
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,27,7.15,17,2,3,1,3,1,6,1.59,5,0,0,0,1,0
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,1,0.17,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,2,4.29,0,0,0,1,0,1,1,2.14,0,0,0,1,0,0
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,5,0.83,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,9,1.91,8,0,0,1,0,0,1,0.21,1,0,0,0,0,0
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,9,1.69,6,0,0,1,2,0,0,0.0,0,0,0,0,0,0
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,1,7.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
118,Kandet Diawara,GUI,FW,Le Havre,24,2000.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
119,Mahamadou Diawara,FRA,MF,Lyon,19,2005.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
120,Bamba Dieng,SEN,FW,Angers,24,2000.0,2.3,4,1.71,3,0,0,0,1,0,1,0.43,0,0,0,0,1,0
121,Sinaly Diomande,CIV,DF,Auxerre,23,2001.0,3.3,2,0.61,2,0,0,0,0,0,1,0.31,1,0,0,0,0,0
122,Lois Diony,FRA,FW,Angers,31,1992.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
123,Sofiane Diop,FRA,"FW,MF",Nice,24,2000.0,0.4,4,10.91,2,1,0,0,1,0,1,2.73,0,1,0,0,0,0
124,Andy Diouf,FRA,MF,Lens,21,2003.0,5.1,17,3.33,15,0,1,0,1,0,0,0.0,0,0,0,0,0,0
125,Yehvann Diouf,FRA,GK,Reims,24,1999.0,6.0,3,0.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
126,Assane Dioussé,SEN,MF,Auxerre,27,1997.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
127,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
128,Désiré Doué,FRA,FW,Paris S-G,19,2005.0,1.6,11,6.69,8,0,3,0,0,0,2,1.22,2,0,0,0,0,0
129,Guela Doué,CIV,DF,Strasbourg,21,2002.0,6.0,11,1.83,7,0,1,2,0,1,2,0.33,2,0,0,0,0,0
130,Douglas,BRA,MF,Nantes,27,1997.0,4.6,5,1.08,3,1,1,0,0,0,0,0.0,0,0,0,0,0,0
131,Ismaël Doukouré,FRA,MF,Strasbourg,21,2003.0,5.5,8,1.45,7,0,0,0,1,0,2,0.36,2,0,0,0,0,0
132,Kamory Doumbia,MLI,MF,Brest,21,2003.0,1.3,1,0.77,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
133,Jean-Kevin Duverne,HAI,DF,Nantes,27,1997.0,3.6,5,1.38,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0
134,Stefan Džodić,SRB,DF,Montpellier,19,2005.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
135,Aron Dønnum,NOR,"DF,MF",Toulouse,26,1998.0,4.1,5,1.21,3,0,0,0,2,0,0,0.0,0,0,0,0,0,0
136,Jacques Ekomie,GAB,DF,Angers,21,2003.0,2.5,2,0.81,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
137,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,22,2002.0,3.0,4,1.33,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
138,Breel Embolo,SUI,FW,Monaco,27,1997.0,3.7,10,2.71,8,0,1,1,0,0,2,0.54,2,0,0,0,0,0
139,Emanuel Emegha,NED,FW,Strasbourg,21,2003.0,5.6,11,1.97,8,0,1,0,2,0,1,0.18,1,0,0,0,0,0
140,Romain Faivre,FRA,"MF,FW",Brest,26,1998.0,2.9,9,3.07,5,1,1,0,1,1,0,0.0,0,0,0,0,0,0
141,Khalil Fayad,FRA,"MF,FW",Montpellier,20,2004.0,2.8,8,2.83,7,0,0,0,1,0,1,0.35,1,0,0,0,0,0
142,Zinedine Ferhat,ALG,"FW,MF",Angers,31,1993.0,1.8,6,3.33,3,2,1,0,0,0,0,0.0,0,0,0,0,0,0
143,Edimilson Fernandes,SUI,MF,Brest,28,1996.0,1.6,2,1.29,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
144,Matias Fernandez-Pardo,BEL,FW,Lille,19,2005.0,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
145,Jordan Ferri,FRA,MF,Montpellier,32,1992.0,3.0,7,2.32,5,0,0,1,1,0,1,0.33,0,0,0,1,0,0
146,Karol Fila,POL,MF,Strasbourg,26,1998.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
147,Malick Fofana,BEL,"FW,DF",Lyon,19,2005.0,2.1,6,2.81,4,0,1,0,1,0,1,0.47,1,0,0,0,0,0
148,Yahia Fofana,CIV,GK,Angers,24,2000.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
149,Lamine Fomba,FRA,MF,Saint-Étienne,26,1998.0,0.8,2,2.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
150,Przemysław Frankowski,POL,DF,Lens,29,1995.0,3.2,9,2.85,5,4,0,0,0,0,1,0.32,1,0,0,0,0,0
151,Angelo Fulgini,FRA,"MF,FW",Lens,28,1996.0,1.9,13,6.8,10,2,0,1,0,0,0,0.0,0,0,0,0,0,0
152,Ignatius Ganago,CMR,FW,Nantes,25,1999.0,0.3,3,11.74,1,0,1,1,0,0,0,0.0,0,0,0,0,0,0
153,Ulisses Garcia,SUI,"DF,MF",Marseille,28,1996.0,0.5,2,4.39,2,0,0,0,0,0,1,2.2,1,0,0,0,0,0
154,Jean-Philippe Gbamin,CIV,MF,Nantes,29,1995.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
155,Yann Gboho,FRA,"FW,MF",Toulouse,23,2001.0,5.8,20,3.44,11,0,4,1,4,0,1,0.17,1,0,0,0,0,0
156,Denis Genreau,AUS,MF,Toulouse,25,1999.0,0.0,1,90.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
157,Aleksandr Golovin,RUS,MF,Monaco,28,1996.0,2.8,16,5.69,11,1,2,2,0,0,0,0.0,0,0,0,0,0,0
