Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,154,128,24,6,0,0,12,6,8,1,6,0,120,2,0
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,196,165,31,12,0,1,31,6,13,5,6,0,134,0,10
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,198,187,11,1,1,0,20,1,9,2,4,0,155,0,13
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,175,127,48,15,0,0,0,0,0,0,0,0,136,0,0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,492,477,15,12,0,0,0,2,0,0,0,0,471,0,5
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,104,95,9,0,1,1,1,0,0,0,0,0,87,0,5
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,168,160,7,0,2,0,4,0,0,0,0,0,139,1,4
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,14,13,1,0,0,0,0,1,0,0,0,0,9,0,0
118,Kandet Diawara,GUI,FW,Le Havre,24,2000.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
119,Mahamadou Diawara,FRA,MF,Lyon,19,2005.0,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
120,Bamba Dieng,SEN,FW,Angers,24,2000.0,2.3,40,39,1,0,1,0,1,0,0,0,0,0,33,0,0
121,Sinaly Diomande,CIV,DF,Auxerre,23,2001.0,3.3,140,126,14,12,0,1,0,2,0,0,0,0,110,0,4
122,Lois Diony,FRA,FW,Angers,31,1992.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
123,Sofiane Diop,FRA,"FW,MF",Nice,24,2000.0,0.4,31,28,2,1,0,0,1,0,1,1,0,0,27,1,0
124,Andy Diouf,FRA,MF,Lens,21,2003.0,5.1,220,211,6,6,2,0,6,0,0,0,0,0,163,3,8
125,Yehvann Diouf,FRA,GK,Reims,24,1999.0,6.0,239,187,51,20,0,1,0,0,0,0,0,0,168,1,0
126,Assane Dioussé,SEN,MF,Auxerre,27,1997.0,0.1,17,17,0,0,0,1,0,0,0,0,0,0,16,0,0
127,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999.0,4.0,122,92,30,9,0,0,0,0,0,0,0,0,99,0,0
128,Désiré Doué,FRA,FW,Paris S-G,19,2005.0,1.6,81,76,5,1,1,0,7,1,1,1,0,0,66,0,2
