Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,202,260,77.7,3147,1177,107,128,83.6,74,85,87.1,14,25,56.0,0,0.3,0.4,-0.3,6,29,8,0,39
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,41,46,89.1,610,134,21,22,95.5,15,16,93.8,2,3,66.7,0,0.0,0.1,0.0,2,4,4,2,4
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,88,120,73.3,1460,361,45,56,80.4,33,42,78.6,8,10,80.0,0,0.2,0.2,-0.2,3,6,3,1,12
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,183,225,81.3,3194,844,79,99,79.8,91,102,89.2,10,17,58.8,1,0.2,0.1,0.8,3,18,2,0,29
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,251,278,90.3,4437,1625,107,110,97.3,116,125,92.8,23,35,65.7,0,0.0,0.1,0.0,0,12,2,0,14
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,201,237,84.8,4103,1513,64,69,92.8,110,118,93.2,26,48,54.2,0,0.0,0.0,0.0,0,6,0,0,4
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,98,132,74.2,1514,678,56,66,84.8,32,44,72.7,7,14,50.0,0,0.3,0.6,-0.3,6,5,3,3,2
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,1,2,50.0,25,25,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,27,51,52.9,390,67,18,29,62.1,9,15,60.0,0,0,0.0,0,0.2,0.2,-0.2,2,3,1,1,2
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,19,26,73.1,229,11,13,14,92.9,6,9,66.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,0,2
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,125,155,80.6,2882,2190,40,40,100.0,51,53,96.2,34,61,55.7,0,0.0,0.0,0.0,0,0,0,0,0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,333,394,84.5,6031,2069,140,153,91.5,144,165,87.3,40,62,64.5,1,0.3,0.3,0.7,5,50,5,1,48
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,87,99,87.9,1638,512,43,45,95.6,29,32,90.6,15,18,83.3,0,0.0,0.3,0.0,0,13,2,0,15
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,166,223,74.4,2854,1100,80,94,85.1,63,82,76.8,20,36,55.6,2,1.3,0.9,0.7,7,11,7,3,15
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,120,148,81.1,1914,740,62,65,95.4,51,62,82.3,5,17,29.4,0,0.1,0.1,-0.1,2,10,2,0,13
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,306,327,93.6,4908,2175,142,147,96.6,153,160,95.6,7,13,53.8,0,0.0,0.1,0.0,1,8,0,0,7
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,90,106,84.9,1754,748,44,47,93.6,29,33,87.9,17,24,70.8,0,0.2,0.1,-0.2,1,8,1,0,8
95,David Costa,POR,MF,Lens,23,2001.0,1.5,43,49,87.8,673,202,19,21,90.5,20,22,90.9,2,3,66.7,0,0.1,0.4,-0.1,2,2,2,1,9
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,47,56,83.9,845,482,20,20,100.0,23,26,88.5,4,9,44.4,0,0.5,0.0,-0.5,1,4,1,1,4
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,9,10,90.0,111,0,6,6,100.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,70,80,87.5,1592,495,19,20,95.0,38,41,92.7,13,19,68.4,0,0.0,0.0,0.0,0,1,0,0,2
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,64,88,72.7,810,166,44,52,84.6,15,24,62.5,1,5,20.0,0,0.4,0.2,-0.4,7,3,0,0,5
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,52,64,81.3,755,278,27,28,96.4,22,26,84.6,1,5,20.0,0,0.0,0.0,0.0,1,5,1,0,5
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,163,214,76.2,2869,952,59,72,81.9,92,105,87.6,10,32,31.3,0,0.5,0.2,-0.5,1,6,0,0,10
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,104,136,76.5,1624,436,56,65,86.2,39,47,83.0,5,12,41.7,0,0.2,0.2,-0.2,4,8,1,0,21
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,87,108,80.6,1570,683,45,52,86.5,32,35,91.4,10,18,55.6,0,0.0,0.0,0.0,1,3,0,0,6
104,Dante,BRA,DF,Nice,40,1983.0,5.3,356,410,86.8,5633,2329,179,192,93.2,162,172,94.2,10,34,29.4,0,0.0,0.1,0.0,0,31,3,0,33
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,19,24,79.2,215,55,11,14,78.6,5,7,71.4,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,96,119,80.7,1268,169,63,74,85.1,29,31,93.5,2,4,50.0,0,0.2,0.5,-0.2,4,4,4,0,10
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,120,154,77.9,1692,439,70,82,85.4,41,55,74.5,2,7,28.6,2,0.5,0.6,1.5,8,6,5,1,11
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,3,3,100.0,63,37,2,2,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,134,196,68.4,2324,883,65,87,74.7,43,62,69.4,19,35,54.3,1,0.5,0.9,0.5,11,16,8,2,19
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,155,198,78.3,2442,699,80,102,78.4,60,66,90.9,10,16,62.5,3,2.8,1.6,0.2,12,18,11,1,26
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,136,175,77.7,3441,2258,27,27,100.0,74,75,98.7,35,73,47.9,0,0.0,0.0,0.0,0,2,0,0,0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,10,12,83.3,121,12,4,4,100.0,4,6,66.7,0,0,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,471,492,95.7,8868,3213,143,151,94.7,288,292,98.6,32,34,94.1,1,0.1,0.1,0.9,1,35,0,0,23
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,87,104,83.7,1348,245,39,45,86.7,37,42,88.1,4,4,100.0,0,0.2,0.4,-0.2,2,6,6,0,18
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,139,168,82.7,2197,423,71,84,84.5,60,64,93.8,5,11,45.5,0,0.6,0.5,-0.6,3,14,2,1,17
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,9,14,64.3,176,103,1,4,25.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,3
118,Kandet Diawara,GUI,FW,Le Havre,24,2000.0,0.0,1,2,50.0,6,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
119,Mahamadou Diawara,FRA,MF,Lyon,19,2005.0,0.2,6,7,85.7,117,60,3,4,75.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
120,Bamba Dieng,SEN,FW,Angers,24,2000.0,2.3,33,40,82.5,356,49,23,26,88.5,6,9,66.7,0,1,0.0,0,0.0,0.1,0.0,0,0,1,0,2
121,Sinaly Diomande,CIV,DF,Auxerre,23,2001.0,3.3,110,140,78.6,2051,1033,38,44,86.4,60,66,90.9,11,21,52.4,1,0.2,0.1,0.8,1,12,0,0,12
122,Lois Diony,FRA,FW,Angers,31,1992.0,0.2,1,4,25.0,9,0,1,3,33.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
123,Sofiane Diop,FRA,"FW,MF",Nice,24,2000.0,0.4,27,31,87.1,397,138,16,17,94.1,9,11,81.8,1,1,100.0,0,0.0,0.1,0.0,1,5,1,0,4
124,Andy Diouf,FRA,MF,Lens,21,2003.0,5.1,163,220,74.1,2249,477,95,116,81.9,51,64,79.7,8,14,57.1,0,0.7,0.6,-0.7,6,10,5,1,21
125,Yehvann Diouf,FRA,GK,Reims,24,1999.0,6.0,168,239,70.3,4378,3054,22,22,100.0,96,98,98.0,48,116,41.4,0,0.0,0.0,0.0,0,1,0,0,0
126,Assane Dioussé,SEN,MF,Auxerre,27,1997.0,0.1,16,17,94.1,325,89,7,7,100.0,7,7,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3
127,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999.0,4.0,99,122,81.1,2158,1199,27,27,100.0,54,54,100.0,17,40,42.5,0,0.0,0.0,0.0,0,0,0,0,0
128,Désiré Doué,FRA,FW,Paris S-G,19,2005.0,1.6,66,81,81.5,1015,250,37,38,97.4,23,29,79.3,4,8,50.0,1,1.3,0.8,-0.3,6,7,3,2,13
129,Guela Doué,CIV,DF,Strasbourg,21,2002.0,6.0,336,408,82.4,6143,2841,127,134,94.8,174,207,84.1,29,55,52.7,0,0.0,0.1,0.0,2,22,2,1,24
130,Douglas,BRA,MF,Nantes,27,1997.0,4.6,213,248,85.9,3515,966,104,113,92.0,86,98,87.8,18,25,72.0,0,0.3,0.2,-0.3,3,21,1,1,21
131,Ismaël Doukouré,FRA,MF,Strasbourg,21,2003.0,5.5,191,224,85.3,3226,829,81,94,86.2,91,101,90.1,13,19,68.4,1,0.6,0.2,0.4,5,23,0,0,23
132,Kamory Doumbia,MLI,MF,Brest,21,2003.0,1.3,55,67,82.1,754,130,37,40,92.5,16,19,84.2,1,5,20.0,0,0.0,0.1,0.0,0,2,1,0,6
133,Jean-Kevin Duverne,HAI,DF,Nantes,27,1997.0,3.6,148,189,78.3,2487,1064,70,81,86.4,63,74,85.1,14,25,56.0,0,0.1,0.1,-0.1,1,14,2,2,14
134,Stefan Džodić,SRB,DF,Montpellier,19,2005.0,1.0,43,47,91.5,782,287,18,19,94.7,23,25,92.0,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,3
135,Aron Dønnum,NOR,"DF,MF",Toulouse,26,1998.0,4.1,113,149,75.8,1693,610,69,75,92.0,37,51,72.5,6,14,42.9,0,0.1,0.1,-0.1,2,7,4,1,19
136,Jacques Ekomie,GAB,DF,Angers,21,2003.0,2.5,61,91,67.0,780,367,42,47,89.4,16,26,61.5,1,7,14.3,0,0.0,0.0,0.0,0,3,0,0,5
137,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,22,2002.0,3.0,119,136,87.5,2176,705,53,61,86.9,53,56,94.6,12,17,70.6,0,0.0,0.2,0.0,2,14,4,0,18
