Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
151,Angelo Fulgini,FRA,"MF,FW",Lens,28,1996.0,1.9,3,3,1,0,2,2,3,66.7,1,4,1,3,0,3,1,0
152,Ignatius Ganago,CMR,FW,Nantes,25,1999.0,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
153,Ulisses Garcia,SUI,"DF,MF",Marseille,28,1996.0,0.5,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,4,0
154,Jean-Philippe Gbamin,CIV,MF,Nantes,29,1995.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
155,Yann Gboho,FRA,"FW,MF",Toulouse,23,2001.0,5.8,6,3,0,4,2,3,7,42.9,4,2,0,2,0,6,0,0
156,Denis Genreau,AUS,MF,Toulouse,25,1999.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
157,Aleksandr Golovin,RUS,MF,Monaco,28,1996.0,2.8,6,4,0,4,2,2,9,22.2,7,4,2,2,2,8,4,0
158,André Gomes,POR,MF,Lille,31,1993.0,1.7,3,3,1,1,1,1,5,20.0,4,0,0,0,1,4,0,0
159,Angel Gomes,ENG,MF,Lille,24,2000.0,3.2,3,2,0,2,1,1,5,20.0,4,0,0,0,0,3,0,0
160,Carlos Gómez,COL,MF,Rennes,22,2002.0,0.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
161,Amine Gouiri,ALG,"FW,MF",Rennes,24,2000.0,4.3,2,0,1,1,0,0,3,0.0,3,4,0,4,0,2,1,0
162,Jonathan Gradit,FRA,DF,Lens,31,1992.0,5.8,11,6,5,5,1,6,10,60.0,4,8,3,5,8,19,23,0
163,Samuel Grandsir,FRA,"MF,FW",Le Havre,28,1996.0,0.5,3,3,0,2,1,2,2,100.0,0,2,0,2,0,3,0,0
164,Mason Greenwood,ENG,FW,Marseille,22,2001.0,5.9,5,3,3,1,1,3,7,42.9,4,1,0,1,1,6,5,0
165,Albert Grønbaek,DEN,"MF,FW",Rennes,23,2001.0,4.4,9,5,4,4,1,5,13,38.5,8,3,0,3,3,12,2,0
166,Gabriel Gudmundsson,SWE,DF,Lille,25,1999.0,4.5,9,7,2,6,1,6,9,66.7,3,5,0,5,2,11,4,1
167,Evann Guessand,CIV,FW,Nice,23,2001.0,5.5,5,3,0,4,1,0,0,0.0,0,2,0,2,4,9,2,0
168,Herba Guirassy,FRA,FW,Nantes,18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0
169,Massadio Haïdara,MLI,DF,Brest,31,1992.0,1.9,3,2,1,2,0,1,3,33.3,2,0,0,0,2,5,7,0
170,Achraf Hakimi,MAR,DF,Paris S-G,25,1998.0,4.9,11,8,4,5,2,5,6,83.3,1,5,0,5,8,19,5,1
