stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,2.9,1,0,0,2,1,0,15,2,2,0,0,0,10,0,4,0.0
,,0.8,0,0,0,2,1,4,2,2,3,0,0,0,1,1,3,25.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
,,0.2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0.0
,,2.9,0,0,0,0,2,0,1,5,6,0,0,0,12,1,1,50.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0
,,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0
,,1.5,0,0,0,0,5,2,2,2,1,1,0,0,7,2,2,50.0
,,1.9,0,0,0,2,0,0,13,3,1,0,0,0,9,1,4,20.0
,,1.3,0,0,0,2,3,0,0,0,2,0,0,0,9,1,3,25.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0
,,0.9,0,0,0,0,2,1,0,0,1,0,0,0,3,0,1,0.0
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
,,0.2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.0
,,2.0,0,0,0,2,2,0,11,0,2,0,0,0,2,1,1,50.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0
,,1.0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,1,66.7
,,0.9,0,0,0,1,1,0,1,2,5,0,0,0,4,3,0,100.0
,,2.9,0,0,0,4,9,4,4,0,0,1,0,0,2,2,2,50.0
,,0.9,0,1,0,1,2,0,0,2,3,0,0,0,5,3,2,60.0
,,2.3,0,0,0,3,8,2,0,3,5,0,0,0,11,3,0,100.0
,,1.0,0,0,0,2,1,0,2,2,1,0,0,0,8,2,1,66.7
,,1.2,1,0,0,4,3,0,0,2,1,0,1,0,2,3,5,37.5
,,0.3,1,0,0,3,0,0,0,0,0,0,0,0,2,1,1,50.0
,,3.0,0,0,0,4,4,0,6,2,4,0,0,0,14,1,0,100.0
,,1.8,0,0,0,1,3,0,1,0,3,0,0,0,4,3,3,50.0
,,1.8,0,0,0,3,1,1,4,1,4,0,0,0,7,0,1,0.0
,,2.4,0,0,0,5,2,0,0,0,1,0,0,0,8,8,8,50.0
,,2.6,0,0,0,3,9,0,2,1,1,0,0,0,7,16,10,61.5
,,1.8,0,0,0,3,2,2,0,1,0,0,0,0,8,8,6,57.1
,,1.8,0,0,0,2,3,1,5,0,1,0,0,0,6,2,4,33.3
,,2.0,0,0,0,5,3,0,9,1,1,0,0,0,12,3,1,75.0
,,0.2,0,0,0,1,1,0,0,0,0,0,0,0,2,4,1,80.0
,,2.4,1,0,0,3,3,0,13,0,1,0,0,0,8,1,7,12.5
,,1.9,0,0,0,0,3,0,2,2,0,0,0,0,7,1,3,25.0
,,1.0,0,0,0,0,3,0,10,0,1,0,0,0,5,1,1,50.0
,,0.2,1,0,0,1,0,0,0,1,0,0,0,0,0,3,2,60.0
,,3.0,0,0,0,0,1,1,21,2,7,0,0,0,14,0,1,0.0
,,1.3,0,0,0,2,0,0,2,6,3,0,0,0,6,2,2,50.0
,,1.3,0,0,0,7,2,1,0,0,3,0,0,1,3,6,5,54.5
,,3.0,2,0,0,1,6,0,17,1,3,0,0,0,16,1,3,25.0
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
,,1.6,0,0,0,1,2,0,9,3,2,0,0,0,8,0,3,0.0
,,2.2,1,0,0,2,2,0,5,0,7,0,0,0,9,0,8,0.0
,,1.8,0,0,0,3,0,0,3,1,3,0,0,0,8,4,9,30.8
,,0.2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0.0
,,3.0,0,0,0,3,5,0,0,2,4,0,1,0,8,1,3,25.0
,,1.9,0,0,0,5,0,0,6,1,3,0,0,0,7,2,6,25.0
,,0.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
,,3.0,1,0,0,8,1,0,11,3,2,0,0,0,10,2,3,40.0
,,3.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
,,0.9,0,0,0,1,2,0,2,0,1,0,0,0,4,0,0,0.0
,,2.2,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0.0
,,0.7,0,0,0,1,1,0,6,0,1,0,0,0,6,0,0,0.0
,,0.5,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0.0
,,1.7,0,0,0,2,1,0,0,2,2,0,0,0,13,2,4,33.3
,,2.8,0,0,0,1,2,0,0,1,2,0,0,0,6,5,4,55.6
,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,3.0,0,0,0,3,5,0,5,0,2,0,0,0,13,0,3,0.0
,,1.9,0,0,0,5,1,0,1,2,1,0,0,0,12,3,3,50.0
,,0.2,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,100.0
,,3.0,1,0,0,1,3,0,0,4,3,0,1,0,9,10,8,55.6
,,1.8,2,1,1,6,2,0,2,2,6,0,0,0,10,7,0,100.0
,,3.0,0,0,0,2,6,2,9,0,1,0,0,0,13,4,3,57.1
,,3.0,0,0,0,5,1,0,1,5,2,0,0,0,17,3,2,60.0
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
,,2.3,0,0,0,5,9,1,11,3,2,0,0,0,11,0,3,0.0
,,1.4,0,0,0,2,0,0,1,2,3,0,0,0,10,0,0,0.0
,,2.3,0,0,0,1,1,2,1,2,1,0,0,0,3,6,4,60.0
,,0.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
,,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
,,0.6,0,0,0,0,1,0,1,2,0,0,0,0,3,3,1,75.0
,,3.0,1,0,0,4,9,1,13,1,0,0,0,0,13,1,3,25.0
,,2.9,1,0,0,6,3,0,0,3,6,0,0,0,19,10,3,76.9
,,1.0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,2,0.0
,,3.0,2,0,0,5,1,1,0,4,2,0,0,0,6,1,2,33.3
,,2.4,0,0,0,0,2,1,14,4,2,0,0,0,7,3,1,75.0
,,3.0,0,0,0,0,3,0,3,2,8,0,0,0,21,8,5,61.5
,,3.0,0,0,0,4,3,0,0,4,4,0,0,0,13,4,6,40.0
,,2.5,0,0,0,6,3,0,0,3,4,0,0,0,5,3,2,60.0
,,1.2,0,0,0,1,0,0,4,0,0,0,0,0,3,0,2,0.0
,,3.0,0,0,0,0,4,0,9,2,0,0,0,0,14,2,1,66.7
,,2.8,0,0,0,4,6,0,21,2,3,0,0,0,10,1,1,50.0
,,2.6,1,0,0,2,0,0,0,1,4,0,1,0,9,5,0,100.0
,,2.5,2,0,0,3,8,0,0,0,1,0,0,0,8,5,4,55.6
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.0,0,0,0,1,1,0,1,3,2,0,0,0,18,9,2,81.8
,,2.9,1,0,0,5,1,0,2,1,7,0,0,0,18,3,1,75.0
,,0.8,0,0,0,3,3,0,0,1,0,0,0,0,4,1,0,100.0
,,0.8,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,0.0
,,1.9,1,0,0,0,3,0,0,1,0,0,0,0,0,4,3,57.1
,,2.8,0,0,0,1,2,0,1,2,1,0,0,0,12,3,1,75.0
,,1.7,1,0,0,4,1,1,0,0,1,0,0,0,3,7,7,50.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,2.6,1,0,0,3,9,1,5,4,4,1,0,0,8,2,5,28.6
,,1.4,1,0,0,2,0,0,1,1,1,0,0,0,4,3,2,60.0
,,3.0,1,0,0,5,3,0,8,1,3,0,1,0,16,4,4,50.0
,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
,,3.0,0,0,0,3,3,0,9,0,1,0,0,0,16,1,4,20.0
,,0.8,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0.0
,,3.0,0,0,0,2,1,0,0,4,6,0,0,0,10,2,3,40.0
,,2.2,0,0,0,0,1,0,1,0,2,0,0,0,7,2,3,40.0
,,3.0,1,0,0,4,1,0,0,3,3,0,0,0,16,13,5,72.2
,,0.3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.0
,,1.2,2,0,0,2,0,0,2,1,1,0,0,0,6,1,3,25.0
,,1.2,1,0,0,1,1,0,9,1,1,0,0,0,4,2,1,66.7
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.0
,,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0
,,0.3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0
,,1.4,0,0,0,1,3,0,13,0,1,0,0,0,4,0,2,0.0
,,2.9,0,0,0,1,0,0,0,1,1,0,1,0,11,5,3,62.5
,,0.2,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0.0
,,2.0,1,0,0,3,3,0,2,0,2,0,0,0,11,3,1,75.0
,,3.0,0,0,0,0,4,0,3,3,2,0,0,0,8,5,7,41.7
,,2.4,1,0,0,2,2,0,4,0,4,0,0,0,9,0,0,0.0
,,2.8,1,0,0,1,2,0,1,9,1,0,0,0,10,0,2,0.0
,,3.0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0.0
,,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
,,3.0,1,0,0,3,6,0,8,1,5,0,0,0,8,6,2,75.0
