stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,257,2.9,3,86.0,2,0,0.0,0,1.33,4,7,-3,-1.05,3.5,4.9,-1.4,-0.48
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,267,3.0,3,89.0,2,0,0.0,0,1.0,5,5,0,0.0,4.3,5.8,-1.5,-0.51
,,3,270,3.0,3,90.0,3,0,0.0,0,2.0,8,4,4,1.33,6.0,4.5,1.4,0.48
,,3,239,2.7,3,80.0,2,0,0.0,0,1.67,3,3,0,0.0,3.0,2.3,0.7,0.25
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,200,2.2,2,83.0,1,1,34.0,0,2.0,7,4,3,1.35,6.4,3.1,3.2,1.46
,,3,142,1.6,2,63.0,0,1,17.0,0,1.33,3,4,-1,-0.63,2.2,3.8,-1.6,-1.01
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,110,1.2,1,90.0,1,2,10.0,0,2.0,3,4,-1,-0.82,3.5,1.7,1.8,1.48
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,87,1.0,1,87.0,0,0,0.0,0,1.0,0,0,0,0.0,1.2,0.4,0.9,0.9
,,3,170,1.9,2,74.0,1,1,22.0,0,1.0,3,8,-5,-2.65,2.4,5.7,-3.4,-1.78
,,1,30,0.3,0,0.0,0,1,30.0,1,0.0,0,2,-2,-6.0,0.4,1.7,-1.3,-3.87
,,2,24,0.3,0,0.0,0,2,12.0,1,1.5,0,1,-1,-3.75,0.6,0.7,-0.1,-0.28
,,2,90,1.0,0,0.0,0,2,45.0,1,0.0,1,2,-1,-1.0,1.1,2.4,-1.3,-1.26
,,3,251,2.8,3,84.0,1,0,0.0,0,1.33,4,7,-3,-1.08,3.5,4.9,-1.4,-0.5
,,2,43,0.5,0,0.0,0,2,22.0,1,0.0,1,1,0,0.0,0.8,1.2,-0.5,-0.98
,,3,270,3.0,3,90.0,3,0,0.0,0,2.0,8,4,4,1.33,6.0,4.5,1.4,0.48
,,2,63,0.7,0,0.0,0,2,32.0,1,3.0,2,0,2,2.86,2.5,0.4,2.1,3.01
,,3,100,1.1,1,56.0,0,2,22.0,0,2.33,3,0,3,2.7,2.1,1.3,0.9,0.78
,,3,225,2.5,3,75.0,2,0,0.0,0,3.0,9,2,7,2.8,5.7,2.9,2.8,1.12
,,1,1,0.0,0,0.0,0,1,1.0,1,3.0,0,0,0,0.0,0.0,0.8,-0.8,-70.67
,,1,90,1.0,1,90.0,1,0,0.0,0,1.0,1,1,0,0.0,0.6,1.2,-0.5,-0.54
,,3,199,2.2,3,66.0,0,0,0.0,0,2.0,4,2,2,0.9,4.6,2.7,1.9,0.86
,,3,270,3.0,3,90.0,3,0,0.0,0,1.33,5,7,-2,-0.67,4.4,5.0,-0.6,-0.2
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,5,0,0.0,4.7,6.0,-1.3,-0.44
,,3,233,2.6,3,78.0,1,0,0.0,0,2.0,5,3,2,0.77,6.0,2.3,3.6,1.41
,,2,158,1.8,2,79.0,1,0,0.0,0,1.5,3,5,-2,-1.14,3.6,5.1,-1.4,-0.82
,,3,270,3.0,3,90.0,3,0,0.0,0,2.0,9,6,3,1.0,8.4,3.6,4.8,1.59
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,6,2,4,1.33,4.9,3.5,1.4,0.48
,,3,88,1.0,0,0.0,0,3,29.0,0,1.67,1,1,0,0.0,0.8,1.0,-0.3,-0.29
,,2,153,1.7,2,77.0,1,0,0.0,1,3.0,6,0,6,3.53,3.8,1.1,2.6,1.54
,,3,169,1.9,3,56.0,0,0,0.0,0,0.0,0,2,-2,-1.07,1.6,2.0,-0.4,-0.2
