stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,3,235,2.6,3,1,0.38,0,0.0,1,0.38,0,0.0,1,1,0,0,1.9,0.74,1.1,0.43,0.2,0.08,1.3,0.52
,,2,53,0.6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.22,0.1,0.22,0.0,0.0,0.1,0.22
,,3,255,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.09,0.3,0.09,0.3,0.1,0.6,0.2
,,3,252,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.1,0.03,0.2,0.07
,,3,213,2.4,3,1,0.42,2,0.85,3,1.27,1,0.42,0,0,0,0,1.4,0.59,1.4,0.59,1.8,0.76,3.2,1.35
,,3,270,3.0,3,1,0.33,0,0.0,1,0.33,1,0.33,0,0,0,0,0.7,0.23,0.7,0.23,0.1,0.05,0.8,0.28
,,1,79,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.45,0.4,0.45,0.0,0.0,0.4,0.45
,,3,225,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.1,0.03,0.3,0.1
,,3,257,2.9,3,1,0.35,0,0.0,1,0.35,1,0.35,0,0,2,0,1.0,0.35,1.0,0.35,0.2,0.08,1.2,0.43
,,3,267,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,3,239,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,200,2.2,2,1,0.45,1,0.45,2,0.9,1,0.45,0,0,1,0,0.5,0.21,0.5,0.21,0.1,0.06,0.6,0.28
,,3,142,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.22,0.3,0.22,0.1,0.04,0.4,0.26
,,3,110,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.17,0.2,0.17
,,1,87,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,170,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.04,0.1,0.05
,,1,30,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,24,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.08
,,2,90,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.02,0.0,0.02,0.2,0.18,0.2,0.19
,,3,251,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,43,0.5,0,1,2.09,0,0.0,1,2.09,1,2.09,0,0,0,0,0.1,0.29,0.1,0.29,0.0,0.0,0.1,0.29
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,63,0.7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,100,1.1,1,2,1.8,0,0.0,2,1.8,2,1.8,0,0,1,0,0.5,0.42,0.5,0.42,0.1,0.13,0.6,0.55
,,3,225,2.5,3,1,0.4,2,0.8,3,1.2,1,0.4,0,0,0,0,1.8,0.72,1.8,0.72,0.8,0.31,2.6,1.03
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
