Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
167,Tim Kleindienst,GER,FW,Gladbach,29,1995.0,4.9,0,0,0,13,3,7,4,1,1,0,0,0,8,20,17,54.1
168,Lukas Klostermann,GER,DF,RB Leipzig,28,1996.0,3.2,1,0,0,1,0,0,1,2,2,0,0,0,19,4,4,50.0
169,Ansgar Knauff,GER,"MF,FW",Eint Frankfurt,22,2002.0,1.5,0,0,0,5,1,0,4,0,4,0,0,0,8,1,3,25.0
170,Magnus Knudsen,NOR,MF,Holstein Kiel,23,2001.0,4.7,2,0,0,9,2,0,0,5,5,0,0,0,26,2,12,14.3
171,Gregor Kobel,SUI,GK,Dortmund,26,1997.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0
172,Robin Koch,GER,DF,Eint Frankfurt,28,1996.0,5.0,1,0,0,5,1,1,0,2,1,0,1,0,17,18,11,62.1
173,Derrick Köhn,GER,DF,Werder Bremen,25,1999.0,1.6,1,0,0,2,2,1,2,2,1,0,0,0,4,1,1,50.0
174,Dominik Kohr,GER,"DF,MF",Mainz 05,30,1994.0,4.8,4,0,0,7,7,0,4,4,11,0,1,0,14,4,6,40.0
175,Marco Komenda,CRO,DF,Holstein Kiel,27,1996.0,1.0,0,0,0,3,2,0,1,0,1,0,0,0,3,3,3,50.0
176,Mert Kömür,GER,MF,Augsburg,19,2005.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0
177,Henri Koudossou,GER,DF,Augsburg,25,1999.0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
178,Konstantinos Koulierakis,GRE,DF,Wolfsburg,20,2003.0,1.6,1,0,0,1,0,0,3,1,0,0,0,0,6,4,2,66.7
179,Matej Kovar,CZE,GK,Leverkusen,24,2000.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
180,Andrej Kramarić,CRO,MF,Hoffenheim,33,1991.0,3.9,0,0,0,2,7,1,23,0,0,0,0,0,10,0,0,0.0
181,Frans Krätzig,GER,DF,Stuttgart,21,2003.0,0.6,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,100.0
182,Rasmus Kristensen,DEN,"DF,MF",Eint Frankfurt,27,1997.0,5.0,0,0,0,4,4,0,7,3,6,0,0,0,23,8,3,72.7
183,Lukas Kübler,GER,DF,Freiburg,32,1992.0,4.5,1,0,0,7,5,0,5,13,6,0,0,0,16,6,6,50.0
184,Moritz-Broni Kwarteng,GHA,MF,Bochum,26,1998.0,0.7,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0.0
185,Nediljko Labrović,CRO,GK,Augsburg,24,1999.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,66.7
186,Konrad Laimer,AUT,"DF,MF",Bayern Munich,27,1997.0,1.3,1,0,0,4,1,0,1,1,4,0,0,0,5,0,0,0.0
187,Stefan Lainer,AUT,DF,Gladbach,32,1992.0,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
188,Hugo Larsson,SWE,MF,Eint Frankfurt,20,2004.0,4.8,1,0,0,7,1,0,1,5,1,0,0,0,14,4,2,66.7
189,Diogo Leite,POR,DF,Union Berlin,25,1999.0,5.0,0,0,0,5,10,0,1,9,9,0,0,0,17,13,13,50.0
190,Maxim Leitsch,GER,DF,Mainz 05,26,1998.0,2.1,0,0,0,3,1,0,1,3,0,0,0,0,10,3,7,30.0
191,Jamie Leweling,GER,"FW,MF",Stuttgart,23,2001.0,4.7,1,0,0,5,7,1,13,2,1,1,0,0,22,1,0,100.0
