Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
98,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,4,89.0,22.0,19.8,1.0,0,0.0,0,4,22.0,1,1.0,0.0,1.0,-1.0,-1.01,0.5,1.4,-0.9,-0.94
99,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,5,398.0,80.0,88.4,4.4,5,80.0,1,0,0.0,0,0.8,4.0,5.0,-1.0,-0.23,4.3,5.6,-1.2,-0.28
100,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,5,421.0,84.0,93.6,4.7,5,84.0,3,0,0.0,0,1.8,8.0,7.0,1.0,0.21,9.2,4.4,4.8,1.03
101,Vitus Eicher,GER,GK,Heidenheim,33,1990.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,4,290.0,73.0,64.4,3.2,4,73.0,0,0,0.0,0,2.25,5.0,2.0,3.0,0.93,7.2,3.9,3.3,1.02
103,Agon Elezi,MKD,MF,Bochum,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Elif Elmas,MKD,"FW,MF",RB Leipzig,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,1.2,6.0,8.0,-2.0,-0.4,8.7,8.9,-0.2,-0.04
106,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,1,79.0,79.0,17.6,0.9,1,79.0,0,0,0.0,0,1.0,2.0,2.0,0.0,0.0,1.0,1.4,-0.5,-0.54
107,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,3,225.0,75.0,50.0,2.5,3,75.0,2,0,0.0,0,0.0,2.0,9.0,-7.0,-2.8,2.8,6.5,-3.7,-1.47
