Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,0,1,0,0.0,3.6,0.0,0.0,0.0,16.5,0,0,0,0.0,0.0,0.03,0.0,0.0
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,0,3,0,0.0,3.03,0.0,0.0,0.0,10.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,0,6,2,33.3,1.36,0.45,0.0,0.0,16.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,0,2,0,0.0,0.43,0.0,0.0,0.0,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,1,11,4,36.4,3.41,1.24,0.09,0.25,13.3,0,0,0,2.8,2.8,0.25,-1.8,-1.8
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,1,5,3,60.0,1.0,0.6,0.2,0.33,7.6,0,0,0,1.2,1.2,0.27,-0.2,-0.2
88,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4
89,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,2.5,0,2,0,0.0,0.8,0.0,0.0,0.0,9.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2
90,Samuel Essende,COD,FW,Augsburg,26,1998.0,3.6,2,12,4,33.3,3.31,1.1,0.17,0.5,14.9,0,0,0,1.5,1.5,0.13,0.5,0.5
91,Kilian Fischer,GER,DF,Wolfsburg,23,2000.0,5.0,0,2,0,0.0,0.4,0.0,0.0,0.0,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
92,Jonas Föhrenbach,GER,"DF,FW",Heidenheim,28,1996.0,5.0,0,3,1,33.3,0.6,0.2,0.0,0.0,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
93,Marco Friedl,AUT,DF,Werder Bremen,26,1998.0,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,Marvin Friedrich,GER,FW,Gladbach,28,1995.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
95,Jeremie Frimpong,NED,DF,Leverkusen,23,2000.0,3.7,1,4,2,50.0,1.07,0.54,0.25,0.5,13.6,0,0,0,0.5,0.5,0.13,0.5,0.5
96,Chris Führich,GER,"FW,MF",Stuttgart,26,1998.0,1.9,0,4,1,25.0,2.14,0.54,0.0,0.0,14.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3
97,Aleix García,ESP,MF,Leverkusen,27,1997.0,2.1,0,1,0,0.0,0.48,0.0,0.0,0.0,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0
98,Lutsharel Geertruida,NED,DF,RB Leipzig,24,2000.0,3.0,0,2,0,0.0,0.67,0.0,0.0,0.0,5.6,0,0,0,0.6,0.6,0.3,-0.6,-0.6
99,Dennis Geiger,GER,MF,Hoffenheim,26,1998.0,1.9,0,1,0,0.0,0.53,0.0,0.0,0.0,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0
100,Valentin Gendrey,FRA,"DF,FW",Hoffenheim,24,2000.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
101,Yannick Gerhardt,GER,"FW,MF",Wolfsburg,30,1994.0,0.5,0,1,0,0.0,2.2,0.0,0.0,0.0,22.0,0,0,0,0.0,0.0,0.02,0.0,0.0
102,Max Geschwill,GER,DF,Holstein Kiel,23,2001.0,2.9,0,1,0,0.0,0.35,0.0,0.0,0.0,15.9,0,0,0,0.0,0.0,0.02,0.0,0.0
103,Dimitris Giannoulis,GRE,DF,Augsburg,28,1995.0,4.8,0,4,1,25.0,0.84,0.21,0.0,0.0,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
104,Armin Gigovic,BIH,MF,Holstein Kiel,22,2002.0,2.0,1,6,1,16.7,2.97,0.49,0.17,1.0,19.9,1,0,0,0.3,0.3,0.06,0.7,0.7
105,Benedikt Gimber,GER,DF,Heidenheim,27,1997.0,5.0,0,1,0,0.0,0.2,0.0,0.0,0.0,7.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
106,Matthias Ginter,GER,DF,Freiburg,30,1994.0,2.7,0,2,0,0.0,0.74,0.0,0.0,0.0,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
107,Jamie Gittens,ENG,"FW,DF",Dortmund,20,2004.0,2.5,2,5,3,60.0,1.99,1.19,0.4,0.67,15.2,0,0,0,0.6,0.6,0.12,1.4,1.4
108,Serge Gnabry,GER,"FW,MF",Bayern Munich,29,1995.0,3.6,2,15,7,46.7,4.17,1.94,0.13,0.29,12.9,0,0,0,2.1,2.1,0.14,-0.1,-0.1
109,Leon Goretzka,GER,DF,Bayern Munich,29,1995.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
110,Robin Gosens,GER,DF,Union Berlin,30,1994.0,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0
111,Mario Götze,GER,"FW,MF",Eint Frankfurt,32,1992.0,2.5,0,1,1,100.0,0.41,0.41,0.0,0.0,8.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1
112,Jeffrey Gouweleeuw,NED,DF,Augsburg,33,1991.0,5.0,0,1,0,0.0,0.2,0.0,0.0,0.0,43.4,0,0,1,0.8,0.0,0.04,-0.8,0.0
113,Kamil Grabara,POL,GK,Wolfsburg,25,1999.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
114,Michael Gregoritsch,AUT,FW,Freiburg,30,1994.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
115,Vincenzo Grifo,ITA,"FW,MF",Freiburg,31,1993.0,4.5,2,16,5,31.3,3.57,1.12,0.13,0.4,18.4,2,0,1,1.9,1.1,0.07,0.1,0.9
116,Florian Grillitsch,AUT,"MF,DF",Hoffenheim,29,1995.0,2.3,0,3,0,0.0,1.33,0.0,0.0,0.0,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
