Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,6,4,3,1,2,3,5,60.0,2,8,2,6,3,9,16,0
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,2,0
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,17,7,11,6,0,9,12,75.0,3,6,4,2,1,18,7,0
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,3,2,0,2,1,0,4,0.0,4,2,0,2,0,3,7,0
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,4,1,3,1,0,2,3,66.7,1,0,0,0,0,4,3,0
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,6,4,1,4,1,1,4,25.0,3,3,0,3,10,16,6,0
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,4,1,2,1,1,2,2,100.0,0,2,0,2,3,7,3,0
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,9,5,4,2,3,6,6,100.0,0,10,8,2,8,17,18,0
