Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,144,3,13,66,72,18,144,28,14,50.0,13,46.4,85,661,327,14,7,5,14,5,98,23
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,412,66,225,169,18,7,412,0,0,0.0,0,0.0,222,994,523,5,4,0,2,0,264,2
88,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5
89,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,2.5,172,47,113,50,9,5,172,0,0,0.0,0,0.0,70,222,100,1,0,0,2,0,113,0
90,Samuel Essende,COD,FW,Augsburg,26,1998.0,3.6,110,1,4,48,63,26,110,5,2,40.0,3,60.0,67,354,156,8,7,5,16,6,80,26
91,Kilian Fischer,GER,DF,Wolfsburg,23,2000.0,5.0,254,15,88,111,59,5,254,3,1,33.3,2,66.7,86,460,189,5,5,2,11,2,100,6
92,Jonas Föhrenbach,GER,"DF,FW",Heidenheim,28,1996.0,5.0,269,15,97,128,47,5,269,6,2,33.3,4,66.7,116,682,364,12,6,2,3,0,136,11
93,Marco Friedl,AUT,DF,Werder Bremen,26,1998.0,2.7,167,26,97,67,3,0,167,0,0,0.0,0,0.0,101,402,123,0,0,0,2,2,104,0
94,Marvin Friedrich,GER,FW,Gladbach,28,1995.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
95,Jeremie Frimpong,NED,DF,Leverkusen,23,2000.0,3.7,150,4,30,49,75,15,150,9,3,33.3,6,66.7,81,524,291,8,9,1,5,2,94,31
96,Chris Führich,GER,"FW,MF",Stuttgart,26,1998.0,1.9,92,5,12,35,45,7,92,7,2,28.6,4,57.1,62,522,235,8,7,2,1,3,76,19
97,Aleix García,ESP,MF,Leverkusen,27,1997.0,2.1,221,7,32,115,75,1,221,0,0,0.0,0,0.0,93,444,153,1,3,0,0,0,180,5
98,Lutsharel Geertruida,NED,DF,RB Leipzig,24,2000.0,3.0,276,5,46,196,35,6,276,4,0,0.0,4,100.0,118,455,251,7,2,0,2,2,194,11
99,Dennis Geiger,GER,MF,Hoffenheim,26,1998.0,1.9,81,1,16,39,27,2,81,1,1,100.0,0,0.0,56,368,211,4,5,1,1,3,59,5
100,Valentin Gendrey,FRA,"DF,FW",Hoffenheim,24,2000.0,1.3,67,6,17,14,37,3,67,2,1,50.0,1,50.0,28,138,82,2,0,0,4,1,28,8
101,Yannick Gerhardt,GER,"FW,MF",Wolfsburg,30,1994.0,0.5,24,0,6,5,13,2,24,0,0,0.0,0,0.0,10,56,23,2,0,1,0,1,11,5
102,Max Geschwill,GER,DF,Holstein Kiel,23,2001.0,2.9,177,18,95,69,14,1,177,1,1,100.0,0,0.0,75,313,170,1,0,0,0,0,109,3
103,Dimitris Giannoulis,GRE,DF,Augsburg,28,1995.0,4.8,312,10,92,126,99,9,312,11,8,72.7,2,18.2,125,653,406,5,6,0,12,3,169,30
104,Armin Gigovic,BIH,MF,Holstein Kiel,22,2002.0,2.0,97,7,33,43,22,7,97,3,1,33.3,0,0.0,40,266,132,7,2,3,3,0,57,3
105,Benedikt Gimber,GER,DF,Heidenheim,27,1997.0,5.0,291,40,185,106,5,3,291,1,1,100.0,0,0.0,148,640,256,1,1,0,5,1,159,2
106,Matthias Ginter,GER,DF,Freiburg,30,1994.0,2.7,204,11,70,123,12,3,204,0,0,0.0,0,0.0,134,696,418,1,3,0,0,0,141,2
