Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
83,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23-353,2000,2.6,143,3,40,53,51,10,143,5,2,40.0,3,60.0,84,375,229,6,2,3,3,3,90,23,Matches
84,Dani Carvajal,es ESP,DF,Real Madrid,32-263,1992,5.8,451,24,113,198,142,11,451,5,2,40.0,3,60.0,227,1086,418,9,3,0,7,5,308,35,Matches
85,William Carvalho,pt POR,MF,Betis,32-176,1992,2.7,205,7,60,121,28,1,205,4,3,75.0,1,25.0,137,608,282,1,4,0,1,6,155,2,Matches
86,Marc Casado,es ESP,MF,Barcelona,21-016,2003,4.3,341,6,47,224,70,4,341,3,2,66.7,1,33.3,192,769,355,4,7,0,5,0,270,8,Matches
87,Catena,es ESP,DF,Osasuna,29-338,1994,7.0,321,58,172,143,8,6,321,1,1,100.0,0,0.0,129,714,427,3,0,0,1,0,163,0,Matches
88,Dani Ceballos,es ESP,MF,Real Madrid,28-054,1996,0.8,72,3,12,38,22,2,72,3,2,66.7,1,33.3,39,198,91,1,0,0,2,1,59,1,Matches
89,Raúl Chasco,es ESP,DF,Valladolid,21-017,2003,0.4,38,1,18,16,4,0,38,1,0,0.0,1,100.0,17,53,28,0,0,0,0,1,18,1,Matches
90,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,26-173,1998,3.4,244,12,74,108,64,4,244,4,1,25.0,2,50.0,127,649,310,10,6,3,8,1,141,16,Matches
91,Walid Cheddira,ma MAR,FW,Espanyol,26-252,1998,2.4,65,2,11,27,27,10,65,9,1,11.1,7,77.8,43,191,73,2,3,3,8,4,48,13,Matches
92,Julián Chicco,ar ARG,MF,Leganés,26-261,1998,1.2,56,1,11,37,8,1,56,2,1,50.0,0,0.0,28,119,67,2,4,0,5,2,31,2,Matches
93,Chiquinho,pt POR,"FW,MF",Mallorca,24-238,2000,0.3,21,0,3,6,12,0,21,2,0,0.0,2,100.0,13,57,16,1,0,0,7,3,15,3,Matches
94,Andreas Christensen,dk DEN,DF,Barcelona,28-173,1996,0.3,18,0,10,8,0,0,18,0,0,,0,,9,24,7,0,0,0,0,0,10,0,Matches
95,Jasper Cillessen,nl NED,GK,Las Palmas,35-161,1989,7.0,320,260,318,2,0,0,320,0,0,,0,,203,957,703,0,0,0,1,0,193,0,Matches
96,Pathé Ciss,sn SEN,MF,Rayo Vallecano,30-198,1994,3.2,199,19,65,108,26,2,199,6,3,50.0,3,50.0,77,306,143,2,2,0,3,1,106,2,Matches
97,Seydouba Cissé,gn GUI,MF,Leganés,23-233,2001,5.8,346,8,65,226,59,6,346,14,9,64.3,3,21.4,192,953,508,9,12,1,7,8,237,12,Matches
98,Eray Cömert,ch SUI,"DF,MF",Valladolid,26-239,1998,5.7,287,36,167,108,13,4,287,2,2,100.0,0,0.0,142,710,307,2,2,0,3,0,186,1,Matches
99,Santi Comesaña,es ESP,MF,Villarreal,27-361,1996,6.3,351,22,79,212,64,8,351,6,3,50.0,3,50.0,197,1212,711,11,7,1,6,10,233,13,Matches
100,Diego Conde,es ESP,GK,Villarreal,25-338,1998,7.0,205,185,204,1,0,0,205,0,0,,0,,112,602,370,0,0,0,0,0,98,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Tomás Conechny,ar ARG,"FW,MF",Alavés,26-184,1998,4.0,165,4,22,54,89,18,165,3,0,0.0,3,100.0,102,409,159,6,6,2,12,2,108,23,Matches
102,Copete,es ESP,DF,Mallorca,24-356,1999,2.4,133,28,75,51,7,4,133,0,0,,0,,56,255,164,2,0,0,0,0,68,1,Matches
103,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29-205,1995,2.1,99,0,19,30,53,20,99,11,8,72.7,3,27.3,59,343,178,6,5,5,6,2,67,19,Matches
104,Thierry Correia,pt POR,DF,Valencia,25-205,1999,6.1,418,23,138,155,131,9,418,16,6,37.5,9,56.3,191,1064,655,13,6,5,12,0,232,35,Matches
105,Logan Costa,cv CPV,DF,Villarreal,23-182,2001,4.2,232,54,142,89,3,2,232,0,0,,0,,126,666,342,0,0,0,1,0,151,0,Matches
106,Samu Costa,pt POR,MF,Mallorca,23-308,2000,8.0,499,37,119,287,96,11,499,5,2,40.0,3,60.0,273,1183,431,5,6,0,6,5,342,17,Matches
107,Thibaut Courtois,be BEL,GK,Real Madrid,32-142,1992,8.0,287,244,284,3,0,0,287,0,0,,0,,178,1002,707,0,0,0,0,0,179,0,Matches
108,Juan Cruz Armada,es ESP,DF,Osasuna,32-064,1992,2.3,108,6,30,52,29,2,108,2,0,0.0,1,50.0,41,175,130,4,2,1,1,0,59,5,Matches
