Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,0.2,0,1,0,0.0,6.0,0.0,0.0,0.0,13.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,1,4,1,25.0,0.78,0.2,0.25,1.0,25.3,0,0,0,0.2,0.2,0.04,0.8,0.8
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,1,3,1,33.3,1.73,0.58,0.33,1.0,11.9,0,0,0,0.8,0.8,0.27,0.2,0.2
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,0,2,0,0.0,0.41,0.0,0.0,0.0,21.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,0,1,0,0.0,0.26,0.0,0.0,0.0,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,3,20,8,40.0,4.34,1.73,0.15,0.38,14.3,0,0,0,2.5,2.5,0.12,0.5,0.5
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,3,17,7,41.2,3.42,1.41,0.18,0.43,17.2,0,0,0,1.6,1.6,0.09,1.4,1.4
