Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
110,Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,28,2,8,11,9,1,28,0,0,0.0,0,0.0,11,46,33,1,1,1,0,0,15,0
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,0.3,14,1,5,4,5,1,14,0,0,0.0,0,0.0,12,22,10,0,0,0,0,0,11,4
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,2.2,126,1,17,61,48,7,126,2,0,0.0,2,100.0,65,426,248,9,7,2,2,1,81,16
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,1.3,53,3,7,26,20,7,53,3,1,33.3,2,66.7,26,70,13,0,0,0,8,3,37,8
114,Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,2.8,125,16,59,57,10,1,125,1,1,100.0,0,0.0,73,358,184,1,1,0,1,2,80,2
115,Danilo,BRA,DF,Juventus,33,1991,1.1,106,6,35,55,17,0,106,0,0,0.0,0,0.0,68,307,165,3,1,0,1,0,92,2
116,Matteo Darmian,ITA,DF,Inter,34,1989,4.4,263,9,69,130,66,7,263,1,0,0.0,1,100.0,120,352,174,1,2,1,5,4,178,22
117,Juan David Cabal,COL,DF,Juventus,23,2001,2.3,181,7,76,88,18,3,181,5,3,60.0,0,0.0,104,501,315,6,2,0,2,2,130,7
118,Keinan Davis,ENG,FW,Udinese,26,1998,1.8,74,0,5,40,32,12,74,6,3,50.0,3,50.0,42,296,128,4,4,4,11,3,62,12
119,Paweł Dawidowicz,POL,DF,Hellas Verona,29,1995,4.2,243,22,90,144,9,1,243,1,1,100.0,0,0.0,144,793,493,2,2,0,0,1,163,1
120,Charles De Ketelaere,BEL,"FW,MF",Atalanta,23,2001,4.5,226,0,7,97,127,24,226,18,9,50.0,9,50.0,144,1115,651,18,17,7,8,9,178,41
121,Mattia De Sciglio,ITA,DF,Empoli,31,1992,0.0,3,2,3,0,0,0,3,0,0,0.0,0,0.0,1,5,0,0,0,0,0,1,1,1
122,Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,1.0,75,2,12,45,18,1,75,1,0,0.0,1,100.0,40,128,49,2,1,0,3,0,48,7
123,Koni De Winter,BEL,DF,Genoa,22,2002,6.0,350,32,148,171,35,14,350,0,0,0.0,0,0.0,184,1098,575,2,2,0,4,3,223,6
124,Alessandro Deiola,ITA,MF,Cagliari,29,1995,4.2,161,10,36,80,47,6,161,1,1,100.0,0,0.0,66,249,93,3,1,0,5,4,91,9
125,Enrico Del Prato,ITA,DF,Parma,24,1999,3.2,184,34,74,76,36,5,184,0,0,0.0,0,0.0,94,322,172,0,0,0,2,1,116,3
126,Fisayo Dele-Bashiru,NGA,MF,Lazio,23,2001,1.8,77,2,10,39,30,5,77,6,3,50.0,2,33.3,45,251,99,3,2,2,3,2,58,12
127,Ali Dembélé,FRA,DF,Torino,20,2004,0.6,29,2,7,19,4,0,29,1,0,0.0,1,100.0,15,68,43,2,1,0,0,0,16,0
128,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4.0,107,92,106,1,0,0,107,0,0,0.0,0,0.0,67,356,216,0,0,0,0,0,62,0
129,Giovanni Di Lorenzo,ITA,DF,Napoli,31,1993,6.0,385,23,109,174,105,13,385,7,3,42.9,3,42.9,203,932,480,7,8,2,4,2,268,30
130,Boulaye Dia,SEN,"FW,MF",Lazio,27,1996,3.7,108,0,12,49,49,15,108,11,6,54.5,5,45.5,75,376,117,5,2,3,8,7,86,16
131,Federico Dimarco,ITA,DF,Inter,26,1997,5.3,326,10,53,107,169,25,326,2,2,100.0,0,0.0,172,752,447,9,10,2,4,1,226,55
132,Berat Djimsiti,ALB,DF,Atalanta,31,1993,6.0,396,36,156,205,36,6,396,1,1,100.0,0,0.0,207,1246,713,8,10,0,2,0,253,10
133,Dodô,BRA,DF,Fiorentina,25,1998,6.0,377,14,92,169,124,12,377,28,12,42.9,9,32.1,230,1694,1024,34,21,4,13,7,239,40
134,Patrick Dorgu,DEN,"FW,DF",Lecce,19,2004,4.5,204,6,48,85,77,13,204,9,1,11.1,5,55.6,134,925,538,17,10,6,7,8,149,26
135,Alberto Dossena,ITA,DF,Como,25,1998,4.7,268,31,124,137,8,5,268,2,1,50.0,1,50.0,135,549,319,0,1,0,1,2,161,0
136,Issa Doumbia,CIV,MF,Venezia,20,2003,1.0,51,2,17,29,7,0,51,0,0,0.0,0,0.0,33,201,135,2,3,0,2,2,35,2
137,Artem Dovbyk,UKR,FW,Roma,27,1997,5.8,138,3,8,50,80,39,138,5,2,40.0,3,60.0,72,297,55,3,2,1,12,4,108,35
138,Ondrej Duda,SVK,MF,Hellas Verona,29,1994,3.4,175,4,34,104,42,0,175,3,3,100.0,0,0.0,90,461,184,2,5,0,5,4,97,4
139,Denzel Dumfries,NED,DF,Inter,28,1996,1.6,77,1,14,40,25,4,77,4,0,0.0,4,100.0,36,174,92,3,1,0,1,0,48,9
140,Alfred Duncan,GHA,MF,Venezia,31,1993,3.7,173,5,33,118,29,1,173,7,3,42.9,4,57.1,95,506,237,3,7,0,5,4,105,5
