Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
116,Matteo Darmian,ITA,DF,Inter,34,1989,4.4,13,7,5,5,3,5,10,50.0,5,2,2,0,1,14,11,0
117,Juan David Cabal,COL,DF,Juventus,23,2001,2.3,3,1,3,0,0,2,6,33.3,4,1,0,1,1,4,7,1
118,Keinan Davis,ENG,FW,Udinese,26,1998,1.8,1,1,0,1,0,0,0,0.0,0,0,0,0,1,2,0,0
119,Paweł Dawidowicz,POL,DF,Hellas Verona,29,1995,4.2,8,6,2,6,0,3,4,75.0,1,2,1,1,3,11,11,0
120,Charles De Ketelaere,BEL,"FW,MF",Atalanta,23,2001,4.5,1,1,0,0,1,0,0,0.0,0,1,1,0,0,1,0,0
121,Mattia De Sciglio,ITA,DF,Empoli,31,1992,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
122,Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,1.0,2,1,1,0,1,1,3,33.3,2,2,0,2,0,2,1,0
123,Koni De Winter,BEL,DF,Genoa,22,2002,6.0,12,9,6,5,1,4,6,66.7,2,0,0,0,6,18,23,0
124,Alessandro Deiola,ITA,MF,Cagliari,29,1995,4.2,9,4,3,6,0,3,8,37.5,5,4,2,2,2,11,7,0
125,Enrico Del Prato,ITA,DF,Parma,24,1999,3.2,1,1,1,0,0,1,3,33.3,2,4,3,1,2,3,15,0
126,Fisayo Dele-Bashiru,NGA,MF,Lazio,23,2001,1.8,2,2,0,1,1,0,0,0.0,0,2,0,2,0,2,0,0
127,Ali Dembélé,FRA,DF,Torino,20,2004,0.6,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,2,0
128,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
129,Giovanni Di Lorenzo,ITA,DF,Napoli,31,1993,6.0,17,10,9,8,0,11,13,84.6,2,2,1,1,4,21,18,0
130,Boulaye Dia,SEN,"FW,MF",Lazio,27,1996,3.7,3,1,1,0,2,2,3,66.7,1,1,0,1,0,3,0,1
131,Federico Dimarco,ITA,DF,Inter,26,1997,5.3,3,2,1,2,0,2,4,50.0,2,6,2,4,2,5,7,0
132,Berat Djimsiti,ALB,DF,Atalanta,31,1993,6.0,13,7,5,8,0,6,8,75.0,2,9,7,2,12,25,21,1
133,Dodô,BRA,DF,Fiorentina,25,1998,6.0,6,6,3,2,1,3,6,50.0,3,6,1,5,7,13,5,0
134,Patrick Dorgu,DEN,"FW,DF",Lecce,19,2004,4.5,10,5,3,4,3,5,10,50.0,5,5,0,5,2,12,6,0
135,Alberto Dossena,ITA,DF,Como,25,1998,4.7,10,6,7,3,0,5,7,71.4,2,1,0,1,7,17,20,1
136,Issa Doumbia,CIV,MF,Venezia,20,2003,1.0,2,1,1,1,0,2,3,66.7,1,3,1,2,1,3,1,0
137,Artem Dovbyk,UKR,FW,Roma,27,1997,5.8,0,0,0,0,0,0,0,0.0,0,3,0,3,0,0,3,0
138,Ondrej Duda,SVK,MF,Hellas Verona,29,1994,3.4,4,2,2,2,0,2,7,28.6,5,3,1,2,4,8,2,1
139,Denzel Dumfries,NED,DF,Inter,28,1996,1.6,2,2,1,0,1,1,3,33.3,2,1,0,1,0,2,1,0
140,Alfred Duncan,GHA,MF,Venezia,31,1993,3.7,9,3,3,6,0,2,7,28.6,5,1,0,1,5,14,2,0
141,Paulo Dybala,ARG,"FW,MF",Roma,30,1993,3.2,3,1,0,1,2,0,1,0.0,1,2,0,2,1,4,0,0
142,Éderson,BRA,MF,Atalanta,25,1999,5.8,3,2,1,2,0,1,2,50.0,1,2,0,2,7,10,6,0
143,Kingsley Ehizibue,NED,DF,Udinese,29,1995,6.0,10,7,7,3,0,6,14,42.9,8,9,4,5,7,17,16,1
144,Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
