Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,8,11,72.7,117,0,5,5,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
21,Emil Audero,ITA,GK,Como,27,1997,3.0,88,118,74.6,2061,1355,26,26,100.0,46,46,100.0,16,46,34.8,0,0.0,0.0,0.0,0,1,0,0,0
22,Tommaso Augello,ITA,DF,Cagliari,30,1994,4.5,180,263,68.4,3403,1337,71,80,88.8,87,122,71.3,22,48,45.8,0,0.6,0.8,-0.6,5,14,6,2,22
23,Carlos Augusto,BRA,DF,Inter,25,1999,2.1,110,122,90.2,1869,455,51,51,100.0,53,55,96.4,5,10,50.0,0,0.0,0.0,0.0,0,5,0,0,10
24,Yann Aurel Bisseck,GER,DF,Inter,23,2000,2.0,129,139,92.8,2211,495,53,54,98.1,70,76,92.1,4,5,80.0,0,0.0,0.1,0.0,0,6,1,0,10
25,Paulo Azzi,BRA,DF,Cagliari,30,1994,3.7,106,155,68.4,1879,730,51,65,78.5,42,58,72.4,11,25,44.0,0,0.9,0.7,-0.9,5,7,6,4,12
26,Milan Badelj,CRO,MF,Genoa,35,1989,4.4,167,215,77.7,2849,925,80,99,80.8,71,79,89.9,14,27,51.9,0,0.3,0.3,-0.3,7,15,2,0,20
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,7,9,77.8,109,22,2,3,66.7,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,1.7,52,63,82.5,694,150,34,38,89.5,17,20,85.0,0,1,0.0,1,0.1,0.2,0.9,2,2,2,0,4
29,Botond Balogh,HUN,DF,Parma,22,2002,4.8,167,187,89.3,3243,932,44,48,91.7,102,109,93.6,17,25,68.0,0,0.0,0.0,0.0,0,3,0,0,6
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,2.7,61,74,82.4,876,173,41,45,91.1,15,19,78.9,3,8,37.5,0,0.4,0.3,-0.4,6,0,3,1,4
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,2.5,101,125,80.8,1452,408,58,66,87.9,31,36,86.1,5,14,35.7,0,0.0,0.0,0.0,1,8,0,0,14
32,Mattia Bani,ITA,DF,Genoa,30,1993,3.5,115,132,87.1,2231,931,36,39,92.3,62,67,92.5,16,22,72.7,0,0.0,0.0,0.0,0,3,0,0,2
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,17,20,85.0,228,77,8,10,80.0,8,9,88.9,0,0,0.0,0,0.3,0.1,-0.3,3,1,1,0,2
34,Federico Barba,ITA,DF,Como,31,1993,2.0,101,113,89.4,1616,466,56,60,93.3,36,40,90.0,6,10,60.0,0,0.0,0.0,0.0,0,5,0,0,8
35,Nicolò Barella,ITA,MF,Inter,27,1997,3.5,167,201,83.1,2829,747,84,95,88.4,70,76,92.1,11,20,55.0,1,0.7,0.8,0.3,7,19,5,2,22
36,Davide Bartesaghi,ITA,DF,Milan,18,2005,0.1,3,3,100.0,53,15,1,1,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
37,Federico Baschirotto,ITA,DF,Lecce,28,1996,6.0,198,220,90.0,3676,1331,71,77,92.2,102,110,92.7,22,27,81.5,0,0.0,0.0,0.0,1,5,0,0,6
38,Daniele Baselli,ITA,MF,Como,32,1992,0.2,24,27,88.9,437,123,7,8,87.5,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4
39,Alessandro Bastoni,ITA,DF,Inter,25,1999,4.4,329,374,88.0,6058,1832,142,148,95.9,150,159,94.3,34,56,60.7,0,0.2,0.4,-0.2,3,21,10,4,28
40,Reda Belahyane,FRA,MF,Hellas Verona,20,2004,5.8,192,227,84.6,3090,885,99,109,90.8,68,77,88.3,17,29,58.6,1,0.2,0.2,0.8,2,23,2,0,26
41,Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,31,43,72.1,541,130,15,17,88.2,13,18,72.2,3,6,50.0,0,0.1,0.0,-0.1,1,1,0,0,0
42,Raoul Bellanova,ITA,DF,Atalanta,24,2000,3.3,109,137,79.6,1836,667,46,50,92.0,55,68,80.9,7,12,58.3,0,0.7,0.5,-0.7,3,8,4,3,14
43,Andrea Belotti,ITA,FW,Como,30,1993,2.2,30,39,76.9,368,65,15,19,78.9,9,11,81.8,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,3
44,Lucas Beltrán,ARG,"MF,FW",Fiorentina,23,2001,1.0,33,45,73.3,498,105,15,19,78.9,15,19,78.9,1,5,20.0,0,0.0,0.0,0.0,1,5,0,0,7
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,0.6,43,47,91.5,752,174,23,23,100.0,15,15,100.0,5,9,55.6,0,0.1,0.1,-0.1,1,4,0,0,4
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,42,53,79.2,760,240,20,22,90.9,13,16,81.3,8,13,61.5,0,0.1,0.2,-0.1,3,4,1,0,5
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,250,297,84.2,4868,1700,100,114,87.7,100,114,87.7,39,53,73.6,0,0.4,0.4,-0.4,8,35,5,0,39
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,349,396,88.1,7196,2216,91,102,89.2,219,233,94.0,34,46,73.9,1,0.6,0.2,0.4,4,39,2,0,33
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,112,128,87.5,2121,497,34,40,85.0,64,67,95.5,10,15,66.7,0,0.1,0.1,-0.1,3,13,0,0,11
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,9,12,75.0,191,17,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,186,232,80.2,3764,1383,56,66,84.8,108,121,89.3,22,41,53.7,0,0.0,0.0,0.0,1,8,0,0,10
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,250,300,83.3,4619,1637,100,108,92.6,122,132,92.4,25,50,50.0,0,0.2,0.4,-0.2,5,14,1,1,14
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,69,87,79.3,1130,290,36,41,87.8,27,33,81.8,5,9,55.6,0,0.0,0.1,0.0,1,4,2,2,5
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,29,37,78.4,467,71,15,18,83.3,11,11,100.0,2,2,100.0,0,0.1,0.0,-0.1,2,0,0,0,2
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,183,200,91.5,2913,397,89,97,91.8,83,87,95.4,7,11,63.6,0,0.0,0.1,0.0,1,17,0,0,7
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,67,88,76.1,914,183,34,40,85.0,26,31,83.9,2,4,50.0,1,0.9,0.4,0.1,10,1,4,0,8
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,78,95,82.1,1371,303,37,40,92.5,25,28,89.3,11,15,73.3,0,0.1,0.1,-0.1,4,7,2,0,11
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,3,4,75.0,34,0,2,3,66.7,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,47,53,88.7,847,198,21,23,91.3,20,21,95.2,5,7,71.4,0,0.0,0.0,0.0,0,5,0,0,8
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,14,15,93.3,189,68,9,10,90.0,1,1,100.0,2,2,100.0,0,0.1,0.1,-0.1,1,1,0,0,1
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,468,504,92.9,9245,3225,142,149,95.3,279,295,94.6,46,57,80.7,0,0.0,0.1,0.0,0,26,0,0,21
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,65,83,78.3,1128,231,31,34,91.2,23,29,79.3,10,13,76.9,2,0.5,0.1,1.5,4,5,1,1,4
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,91,112,81.3,1320,287,56,62,90.3,33,40,82.5,1,3,33.3,0,0.3,0.3,-0.3,3,5,4,0,13
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,201,230,87.4,3395,1238,89,96,92.7,97,105,92.4,12,23,52.2,0,0.0,0.0,0.0,2,14,0,0,19
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,69,89,77.5,1160,291,35,41,85.4,26,30,86.7,7,12,58.3,0,0.4,0.1,-0.4,5,7,2,0,8
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,21,31,67.7,278,132,13,14,92.9,4,9,44.4,2,5,40.0,0,0.1,0.1,-0.1,3,5,1,1,2
