Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
144,Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,0.4,14,14,0,0,0,0,1,0,0,0,0,0,10,0,1
145,Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,2.2,87,80,6,1,0,0,2,1,4,1,1,0,72,1,0
146,Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,0.4,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
147,Caleb Ekuban,GHA,FW,Genoa,30,1994,2.3,25,21,3,0,0,0,1,0,0,0,0,0,20,1,1
148,Mikael Ellertsson,ISL,MF,Venezia,22,2002,4.4,73,72,1,0,1,0,0,0,0,0,0,0,51,0,1
149,Emerson,BRA,DF,Milan,25,1999,4.0,240,209,31,9,0,1,11,22,0,0,0,0,208,0,6
150,Yannik Engelhardt,GER,MF,Como,23,2001,0.8,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0
151,Martin Erlic,CRO,DF,Bologna,26,1998,1.5,87,87,0,0,0,1,0,0,0,0,0,0,79,0,0
152,Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,4.1,124,118,6,3,0,1,5,0,2,0,2,0,76,0,8
153,Nahuel Estévez,ARG,MF,Parma,28,1995,1.8,55,50,5,2,0,0,3,0,3,0,1,0,44,0,1
154,Giovanni Fabbian,ITA,MF,Bologna,21,2003,2.8,47,45,2,1,0,0,1,1,0,0,0,0,36,0,3
155,Alieu Fadera,GAM,"FW,MF",Como,22,2001,2.8,88,86,2,0,1,0,5,2,0,0,0,0,68,0,8
156,Nicolò Fagioli,ITA,MF,Juventus,23,2001,3.3,246,242,4,4,1,2,3,0,0,0,0,0,223,0,1
157,Wladimiro Falcone,ITA,GK,Lecce,29,1995,6.0,167,122,44,16,0,0,0,0,0,0,0,0,105,1,0
158,Davide Faraoni,ITA,"MF,DF",Hellas Verona,32,1991,0.3,13,11,2,0,0,0,2,2,0,0,0,0,8,0,0
159,Jacopo Fazzini,ITA,MF,Empoli,21,2003,2.6,45,43,1,0,1,0,2,0,0,0,0,0,30,1,0
160,Mattia Felici,ITA,DF,Cagliari,23,2001,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
161,Youssouf Fofana,FRA,MF,Milan,25,1999,3.8,240,234,6,6,1,1,1,0,0,0,0,0,211,0,1
162,Michael Folorunsho,ITA,FW,Napoli,26,1998,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
163,Omari Forson,ENG,"MF,FW",Monza,20,2004,0.2,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
164,Davide Frattesi,ITA,MF,Inter,24,1999,2.9,81,77,3,2,2,0,0,1,0,0,0,0,69,1,2
165,Morten Frendrup,DEN,MF,Genoa,23,2001,5.8,193,184,8,7,0,0,0,1,0,0,0,0,167,1,4
166,Martin Frese,DEN,DF,Hellas Verona,26,1998,3.7,169,140,28,2,0,0,7,26,0,0,0,0,115,1,3
167,Remo Freuler,SUI,MF,Bologna,32,1992,6.0,373,349,22,19,1,0,2,3,0,0,0,0,345,2,2
168,Matteo Gabbia,ITA,DF,Milan,24,1999,3.0,167,165,2,2,0,2,1,0,0,0,0,0,150,0,2
169,Alessandro Gabrielloni,ITA,"FW,MF",Como,30,1994,0.6,14,12,2,0,0,0,0,1,0,0,0,0,8,0,2
170,Gianluca Gaetano,ITA,MF,Cagliari,24,2000,0.9,27,27,0,0,0,1,1,0,0,0,0,0,20,0,1
171,Roberto Gagliardini,ITA,"MF,DF",Monza,30,1994,1.0,51,48,3,3,0,0,1,0,0,0,0,0,48,0,0
172,Antonino Gallo,ITA,DF,Lecce,24,2000,5.9,248,202,45,4,0,1,31,33,8,5,2,0,173,1,3
173,Gaspar,ANG,DF,Lecce,27,1997,6.0,237,226,11,9,0,0,0,1,0,0,0,0,197,0,0
174,Federico Gatti,ITA,DF,Juventus,26,1998,3.9,274,267,7,6,0,0,0,0,0,0,0,0,264,0,0
175,David de Gea,ESP,GK,Fiorentina,33,1990,3.0,101,72,28,6,0,0,0,0,0,0,0,0,87,1,0
176,Valentin Gendrey,FRA,DF,Lecce,24,2000,2.0,55,41,14,0,0,0,3,14,0,0,0,0,42,0,0
177,Lautaro Gianetti,ARG,DF,Udinese,30,1993,3.3,134,110,24,10,0,2,0,0,0,0,0,0,110,0,1
178,Mario Gila,ESP,DF,Lazio,24,2000,3.0,184,171,12,4,2,3,0,0,0,0,0,0,166,1,1
179,Billy Gilmour,SCO,MF,Napoli,23,2001,0.2,25,25,0,0,0,0,0,0,0,0,0,0,22,0,0
180,Gvidas Gineitis,LTU,MF,Torino,20,2004,0.5,22,20,2,0,0,0,4,0,2,1,1,0,16,0,1
181,Ben Godfrey,ENG,DF,Atalanta,26,1998,0.3,10,8,2,1,0,0,0,1,0,0,0,0,8,0,1
182,Saba Goglichidze,GEO,DF,Empoli,20,2004,4.0,116,111,5,5,0,0,1,0,0,0,0,0,91,0,3
183,Edoardo Goldaniga,ITA,DF,Como,30,1993,1.4,76,69,6,5,0,0,0,1,0,0,0,0,70,1,1
184,Pierluigi Gollini,ITA,GK,Genoa,29,1995,6.0,203,144,59,15,0,0,0,0,0,0,0,0,163,0,0
185,Nicolás González,ARG,FW,Juventus,26,1998,2.5,79,76,3,0,1,0,4,3,0,0,0,0,59,0,5
186,Robin Gosens,GER,DF,Fiorentina,30,1994,4.0,212,176,36,5,0,0,8,31,0,0,0,0,166,0,4
187,Alberto Grassi,ITA,MF,Empoli,29,1995,3.3,119,117,2,2,0,0,1,0,0,0,0,0,90,0,4
188,Mattéo Guendouzi,FRA,MF,Lazio,25,1999,6.0,316,297,18,9,3,6,4,8,0,0,0,0,279,1,2
189,Frederic Guilbert,FRA,DF,Lecce,29,1994,2.3,103,82,20,4,0,0,4,16,0,0,0,0,76,1,2
190,Albert Guðmundsson,ISL,MF,Fiorentina,27,1997,1.3,47,44,3,1,0,1,1,2,0,0,0,0,38,0,1
191,Emmanuel Gyasi,GHA,"DF,FW",Empoli,30,1994,6.0,171,129,42,0,0,0,4,42,0,0,0,0,125,0,6
192,Christian Gytkjær,DEN,FW,Venezia,34,1990,1.7,26,22,4,0,0,0,0,0,0,0,0,0,14,0,4
