Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
91,Walid Cheddira,MAR,FW,Napoli,26,1998,1,0,12,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0,1,1,0.0,0.2
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1,1,90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,6,2,177,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.13,0.3,0.13,0.6,0.28,0.8,0.41,7,6,19,0.0,0.41
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,1,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4,4,360,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,1,0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.93,0.0,0.93,0.0,0.0,0.0,0.93,0,1,0,0.0,0.93
97,Saúl Coco,EQG,DF,Torino,25,1999,5,5,450,5.0,2,0.4,0,0.0,2,0.4,2,0.4,0,0,0,0,0.2,0.04,0.2,0.04,0.0,0.0,0.2,0.04,0,10,0,0.4,0.04
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,6,6,421,4.7,2,0.43,1,0.21,3,0.64,1,0.21,1,1,1,0,2.1,0.46,1.4,0.29,0.5,0.1,1.8,0.39,8,2,22,0.43,0.56
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,6,5,374,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.9,0.22,0.9,0.22,0.0,0.01,0.9,0.23,10,15,33,0.0,0.23
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,5,5,407,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16,2,0.0,0.0
101,Francisco Conceição,POR,FW,Juventus,21,2002,2,0,74,0.8,1,1.22,0,0.0,1,1.22,1,1.22,0,0,0,0,0.2,0.3,0.2,0.3,0.7,0.88,1.0,1.18,5,1,6,1.22,1.18
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,0.0,0.0
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,2,0,22,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.46,0.1,0.46,0.0,0.0,0.1,0.46,2,4,1,0.0,0.46
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,6,2,256,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.12,0.3,0.12,2,13,3,0.0,0.12
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.01,0.1,0.01,17,18,10,0.0,0.01
106,Bryan Cristante,ITA,MF,Roma,29,1995,6,6,503,5.6,1,0.18,0,0.0,1,0.18,1,0.18,0,0,2,0,0.4,0.06,0.4,0.06,0.1,0.02,0.5,0.09,6,32,3,0.18,0.09
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,3,0,37,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0.0,0.0
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,2,0,64,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.25,0.2,0.25,0.1,0.11,0.3,0.36,7,7,13,0.0,0.36
109,Patrick Cutrone,ITA,FW,Como,26,1998,6,6,472,5.2,4,0.76,0,0.0,4,0.76,4,0.76,0,1,0,0,2.4,0.46,1.6,0.31,0.3,0.06,1.9,0.37,13,4,42,0.76,0.52
110,Wylan Cyprien,FRA,MF,Parma,29,1995,2,0,28,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.63,0.2,0.63,0.0,0.0,0.2,0.63,1,2,0,0.0,0.63
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,3,0,25,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,5,3,200,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.06,0.1,0.06,0.3,0.12,0.4,0.18,9,10,16,0.0,0.18
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,4,1,118,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.22,0.3,0.22,0.1,0.04,0.3,0.26,0,0,8,0.0,0.26
