Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
89,Alberto Cerri,ITA,FW,Como,28,1996,0.7,0,0,0,3,1,1,0,0,0,0,0,0,3,3,1,75.0
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0.0
91,Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,2.0,0,0,0,1,2,0,9,0,2,0,0,0,9,2,1,66.7
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4.0,1,0,0,3,2,0,0,2,2,0,0,0,5,5,3,62.5
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97,Saúl Coco,EQG,DF,Torino,25,1999,5.0,0,0,0,6,3,0,0,10,5,0,0,0,17,9,11,45.0
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,4.7,1,0,0,5,4,2,2,0,3,0,0,0,12,10,20,33.3
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,4.2,0,0,0,6,10,0,5,1,2,0,0,0,8,3,3,50.0
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,4.5,1,0,0,6,0,0,1,2,5,0,0,0,23,16,11,59.3
101,Francisco Conceição,POR,FW,Juventus,21,2002,0.8,0,0,0,0,3,1,3,1,1,0,0,0,1,0,0,0.0
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6.0,3,0,0,11,0,0,0,13,4,0,0,0,13,20,19,51.3
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25.0
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,2.8,0,0,0,4,3,0,0,1,4,0,1,0,13,2,4,33.3
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5.0,0,0,0,3,3,0,1,3,4,0,0,0,22,2,5,28.6
106,Bryan Cristante,ITA,MF,Roma,29,1995,5.6,2,0,0,9,3,0,1,9,6,0,0,0,25,10,11,47.6
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,0.4,0,0,0,1,2,0,2,1,1,0,0,0,2,1,1,50.0
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,0.7,0,0,0,0,4,0,5,0,0,0,0,0,1,3,1,75.0
109,Patrick Cutrone,ITA,FW,Como,26,1998,5.2,0,0,0,4,4,4,12,1,5,0,0,0,13,5,22,18.5
110,Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0.0
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.0
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,2.2,0,0,0,1,3,0,7,0,2,0,0,0,12,3,5,37.5
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,1.3,0,0,0,3,2,1,0,0,2,0,0,0,6,6,3,66.7
114,Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,2.8,0,0,0,1,0,0,2,3,3,0,0,0,7,5,4,55.6
115,Danilo,BRA,DF,Juventus,33,1991,1.1,0,0,0,3,0,0,1,1,0,0,0,0,2,0,2,0.0
116,Matteo Darmian,ITA,DF,Inter,34,1989,4.4,0,0,0,7,6,1,8,1,7,0,0,0,4,4,2,66.7
117,Juan David Cabal,COL,DF,Juventus,23,2001,2.3,0,0,0,1,4,0,4,1,1,0,0,0,8,7,0,100.0
118,Keinan Davis,ENG,FW,Udinese,26,1998,1.8,1,0,0,5,5,2,0,1,1,0,0,0,12,5,4,55.6
119,Paweł Dawidowicz,POL,DF,Hellas Verona,29,1995,4.2,1,1,0,7,3,0,1,3,6,0,1,0,16,6,5,54.5
120,Charles De Ketelaere,BEL,"FW,MF",Atalanta,23,2001,4.5,0,0,0,4,11,0,7,0,1,0,0,0,17,9,10,47.4
121,Mattia De Sciglio,ITA,DF,Empoli,31,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,1.0,0,0,0,2,1,0,3,0,1,0,0,0,2,1,1,50.0
123,Koni De Winter,BEL,DF,Genoa,22,2002,6.0,4,0,0,10,4,0,1,6,9,0,2,0,24,24,10,70.6
124,Alessandro Deiola,ITA,MF,Cagliari,29,1995,4.2,1,0,0,6,3,0,4,2,4,0,0,0,15,7,8,46.7
125,Enrico Del Prato,ITA,DF,Parma,24,1999,3.2,1,0,0,1,0,0,3,2,1,0,0,0,10,2,2,50.0
126,Fisayo Dele-Bashiru,NGA,MF,Lazio,23,2001,1.8,0,0,0,2,0,0,2,0,2,0,0,0,13,0,2,0.0
127,Ali Dembélé,FRA,DF,Torino,20,2004,0.6,2,0,0,1,0,0,0,0,1,0,0,0,1,2,0,100.0
128,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
129,Giovanni Di Lorenzo,ITA,DF,Napoli,31,1993,6.0,0,0,0,11,6,1,9,4,10,0,0,0,12,10,6,62.5
130,Boulaye Dia,SEN,"FW,MF",Lazio,27,1996,3.7,0,0,0,6,3,1,0,0,1,0,0,0,7,3,7,30.0
131,Federico Dimarco,ITA,DF,Inter,26,1997,5.3,1,0,0,4,3,4,47,2,2,0,0,0,15,1,2,33.3
132,Berat Djimsiti,ALB,DF,Atalanta,31,1993,6.0,1,0,0,6,5,0,2,12,7,0,0,1,21,20,9,69.0
133,Dodô,BRA,DF,Fiorentina,25,1998,6.0,2,0,0,1,13,0,34,7,6,1,0,0,32,2,2,50.0
134,Patrick Dorgu,DEN,"FW,DF",Lecce,19,2004,4.5,1,1,0,4,15,1,6,2,5,0,0,0,18,6,4,60.0
135,Alberto Dossena,ITA,DF,Como,25,1998,4.7,0,0,0,5,3,0,1,7,6,0,1,0,18,21,9,70.0
136,Issa Doumbia,CIV,MF,Venezia,20,2003,1.0,0,0,0,0,1,0,1,1,1,0,0,0,5,1,2,33.3
137,Artem Dovbyk,UKR,FW,Roma,27,1997,5.8,0,0,0,7,3,5,0,0,0,0,0,0,10,10,12,45.5
138,Ondrej Duda,SVK,MF,Hellas Verona,29,1994,3.4,3,0,0,6,9,0,7,4,2,0,0,0,32,3,3,50.0
139,Denzel Dumfries,NED,DF,Inter,28,1996,1.6,1,0,0,6,1,0,5,0,2,0,0,0,4,2,1,66.7
140,Alfred Duncan,GHA,MF,Venezia,31,1993,3.7,1,0,0,7,7,0,6,5,3,0,0,0,23,3,3,50.0
141,Paulo Dybala,ARG,"FW,MF",Roma,30,1993,3.2,0,0,0,0,10,0,17,1,1,1,0,0,9,0,3,0.0
142,Éderson,BRA,MF,Atalanta,25,1999,5.8,2,0,0,10,8,0,6,7,2,0,0,0,31,10,6,62.5
143,Kingsley Ehizibue,NED,DF,Udinese,29,1995,6.0,2,0,0,11,9,2,13,7,7,0,0,0,23,6,5,54.5
144,Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,0.4,0,0,0,0,1,1,1,0,0,0,0,0,2,2,4,33.3
145,Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,2.2,0,0,0,3,1,0,2,1,3,0,0,0,11,0,2,0.0
146,Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,0.4,0,0,0,0,2,0,0,1,1,0,0,0,2,1,1,50.0
147,Caleb Ekuban,GHA,FW,Genoa,30,1994,2.3,0,0,0,3,5,3,1,0,1,0,0,0,9,4,6,40.0
148,Mikael Ellertsson,ISL,MF,Venezia,22,2002,4.4,0,0,0,3,9,0,0,0,1,0,0,0,6,1,4,20.0
149,Emerson,BRA,DF,Milan,25,1999,4.0,2,0,0,5,8,0,11,4,7,0,0,0,10,6,2,75.0
150,Yannik Engelhardt,GER,MF,Como,23,2001,0.8,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0
151,Martin Erlic,CRO,DF,Bologna,26,1998,1.5,0,0,0,2,2,0,0,0,0,1,0,0,6,2,4,33.3
152,Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,4.1,0,0,0,7,13,3,5,5,8,1,0,0,25,3,10,23.1
153,Nahuel Estévez,ARG,MF,Parma,28,1995,1.8,1,0,0,2,0,0,3,2,1,0,0,0,7,1,0,100.0
154,Giovanni Fabbian,ITA,MF,Bologna,21,2003,2.8,1,0,0,5,4,0,1,1,3,0,0,0,10,3,3,50.0
155,Alieu Fadera,GAM,"FW,MF",Como,22,2001,2.8,0,0,0,3,4,1,5,0,11,0,0,0,14,1,2,33.3
156,Nicolò Fagioli,ITA,MF,Juventus,23,2001,3.3,2,0,0,6,1,0,3,2,4,0,0,0,16,1,0,100.0
157,Wladimiro Falcone,ITA,GK,Lecce,29,1995,6.0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0.0
158,Davide Faraoni,ITA,"MF,DF",Hellas Verona,32,1991,0.3,0,0,0,1,0,0,2,0,1,0,0,0,1,0,2,0.0
159,Jacopo Fazzini,ITA,MF,Empoli,21,2003,2.6,0,0,0,3,5,1,2,1,3,0,0,0,11,4,4,50.0
160,Mattia Felici,ITA,DF,Cagliari,23,2001,0.3,0,0,0,1,0,0,0,2,0,0,0,0,4,2,1,66.7
161,Youssouf Fofana,FRA,MF,Milan,25,1999,3.8,2,0,0,2,5,0,1,2,1,0,0,0,13,1,5,16.7
162,Michael Folorunsho,ITA,FW,Napoli,26,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
163,Omari Forson,ENG,"MF,FW",Monza,20,2004,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
164,Davide Frattesi,ITA,MF,Inter,24,1999,2.9,0,0,0,1,4,0,0,1,3,0,0,0,10,3,5,37.5
165,Morten Frendrup,DEN,MF,Genoa,23,2001,5.8,2,0,0,11,6,0,0,11,9,0,0,0,25,4,8,33.3
166,Martin Frese,DEN,DF,Hellas Verona,26,1998,3.7,0,0,0,7,7,0,7,6,7,0,0,0,7,7,7,50.0
167,Remo Freuler,SUI,MF,Bologna,32,1992,6.0,1,0,0,6,4,0,2,4,9,0,0,0,18,4,5,44.4
168,Matteo Gabbia,ITA,DF,Milan,24,1999,3.0,1,0,0,1,0,0,1,2,0,0,0,0,9,6,3,66.7
169,Alessandro Gabrielloni,ITA,"FW,MF",Como,30,1994,0.6,0,0,0,2,1,0,0,0,0,0,0,0,4,0,6,0.0
170,Gianluca Gaetano,ITA,MF,Cagliari,24,2000,0.9,0,0,0,4,1,0,1,1,1,0,0,0,3,1,0,100.0
171,Roberto Gagliardini,ITA,"MF,DF",Monza,30,1994,1.0,1,0,0,3,4,0,1,1,0,0,0,0,2,4,4,50.0
172,Antonino Gallo,ITA,DF,Lecce,24,2000,5.9,1,0,0,1,4,2,31,4,7,0,0,0,29,3,3,50.0
173,Gaspar,ANG,DF,Lecce,27,1997,6.0,1,0,0,2,8,0,0,11,4,0,1,0,16,24,8,75.0
174,Federico Gatti,ITA,DF,Juventus,26,1998,3.9,0,0,0,3,8,0,0,4,4,0,0,0,20,7,3,70.0
175,David de Gea,ESP,GK,Fiorentina,33,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
176,Valentin Gendrey,FRA,DF,Lecce,24,2000,2.0,0,0,0,1,2,0,3,2,2,0,0,0,3,1,3,25.0
177,Lautaro Gianetti,ARG,DF,Udinese,30,1993,3.3,3,0,0,3,0,0,0,8,4,0,0,0,10,8,4,66.7
