player_id,player_name,nation,position,team_id,age,date_of_birth
,Pathé Ciss,SEN,MF,3,30,1994.0
,Seydouba Cissé,GUI,MF,3,23,2001.0
,Eray Cömert,SUI,"DF,MF",2,26,1998.0
,Santi Comesaña,ESP,MF,3,27,1996.0
,Diego Conde,ESP,GK,2,25,1998.0
,Tomás Conechny,ARG,"FW,MF",3,26,1998.0
,Copete,ESP,DF,2,24,1999.0
,Ángel Correa,ARG,"FW,MF",,29,1995.0
,Thierry Correia,POR,DF,3,25,1999.0
,Logan Costa,CPV,DF,1,23,2001.0
,Samu Costa,POR,MF,3,23,2000.0
,Thibaut Courtois,BEL,GK,3,32,1992.0
,Juan Cruz Armada,ESP,DF,2,32,1992.0
,Juan Cruz,ESP,"FW,MF",2,24,2000.0
,Pau Cubarsí,ESP,DF,3,17,2007.0
,Arnaut Danjuma,NED,FW,2,27,1997.0
,Sergi Darder,ESP,"MF,FW",3,30,1993.0
,Rodrigo De Paul,ARG,MF,3,30,1994.0
,Assane Diao,ESP,FW,2,19,2005.0
,Moussa Diarra,MLI,DF,3,23,2000.0
,Brahim Díaz,MAR,"FW,MF",2,25,1999.0
,Pedro Díaz,ESP,FW,3,26,1998.0
,Diego,ESP,"FW,MF",2,24,2000.0
,Álvaro djaló,ESP,FW,,25,1999.0
,Djené,TOG,DF,2,32,1991.0
,Marc Domenech,ESP,FW,1,18,2006.0
,Carlos Dominguez,ESP,DF,2,23,2001.0
,Sergi Dominguez,ESP,DF,3,19,2005.0
,Anastasios Douvikas,GRE,FW,2,25,1999.0
,Pablo Durán,ESP,FW,3,23,2001.0
,Hugo Duro,ESP,FW,2,24,1999.0
,Chidera Ejuke,NGA,"FW,MF",2,26,1998.0
,Aritz Elustondo,ESP,DF,2,30,1994.0
,Adri Embarba,ESP,"FW,MF",2,32,1992.0
,Endrick,BRA,FW,2,18,2006.0
,Alfonso Espino,URU,DF,2,32,1992.0
,Abde Ezzalzouli,MAR,FW,,22,2001.0
,Peter Federico,DOM,"MF,FW",3,22,2002.0
,Nabil Fekir,FRA,MF,3,31,1993.0
,Kiko Femenía,ESP,DF,1,33,1991.0
,Valery Fernández,ESP,"MF,DF",3,24,1999.0
,Pablo Fornals,ESP,"FW,MF",3,28,1996.0
,Héctor Fort,ESP,DF,2,18,2006.0
,Dimitri Foulquier,FRA,"DF,MF",2,31,1993.0
,Alejandro Francés,ESP,DF,2,22,2002.0
,Enric Franquesa,ESP,"FW,DF",2,27,1997.0
,Jorge de Frutos,ESP,"MF,FW",2,27,1997.0
,Manuel Fuster,ESP,"FW,MF",1,26,1997.0
,Iñigo Ruiz de Galarreta,ESP,MF,2,31,1993.0
,Conor Gallagher,ENG,MF,2,24,2000.0
,Álvaro García,ESP,"MF,FW",,31,1992.0
,Eric García,ESP,MF,2,23,2001.0
,Fran Garcia,ESP,DF,2,25,1999.0
,Joan García,ESP,GK,2,23,2001.0
,Rubén García,ESP,"FW,MF",3,31,1993.0
,Yarek Gasiorowski,ESP,DF,,19,2005.0
,Paulo Gazzaniga,ARG,GK,3,32,1992.0
,Bryan Gil,ESP,"FW,MF",2,23,2001.0
,Dani Gómez,ESP,FW,2,26,1998.0
,Moi Gómez,ESP,MF,3,30,1994.0
,Sergi Gómez,ESP,DF,3,32,1992.0
,Sergio Gómez,ESP,"MF,FW",3,24,2000.0
,Unai Gómez,ESP,"MF,FW",3,21,2003.0
,Fabio González,ESP,MF,2,27,1997.0
,Urko González,ESP,MF,3,23,2001.0
,Andoni Gorosabel,ESP,DF,2,28,1996.0
,José Gragera,ESP,MF,2,23,2000.0
,Dominik Greif,SVK,GK,2,27,1997.0
,Antoine Griezmann,FRA,"FW,MF",2,33,1991.0
,Vicente Guaita,ESP,GK,3,37,1987.0
,Sergi Guardiola,ESP,FW,3,33,1991.0
,Nemanja Gudelj,SRB,"DF,MF",3,32,1991.0
,Javier Guerra,ESP,"MF,FW",2,21,2003.0
,Ander Guevara,ESP,MF,2,27,1997.0
,Pape Gueye,SEN,MF,3,25,1999.0
,Hugo Guillamón,ESP,MF,2,24,2000.0
,Arda Güler,TUR,MF,2,19,2005.0
,Gerard Gumbau,ESP,MF,2,29,1994.0
,Jon Guridi,ESP,MF,2,29,1995.0
,Gorka Guruzeta,ESP,FW,2,28,1996.0
,Miguel Gutiérrez,ESP,DF,3,23,2001.0
,Munir El Haddadi,MAR,FW,3,29,1995.0
,Sébastien Haller,CIV,FW,3,30,1994.0
,Javi Hernández,ESP,DF,2,26,1998.0
,Jorge Herrando,ESP,DF,2,23,2001.0
